train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.0063347043,5.433927,0.3561407,0.008566635,5.351049,0.44058716,0
0.010647233,5.395802,0.56058264,0.010255424,5.300699,0.5541165,1
0.012975712,5.3193254,0.44351533,0.013277603,5.1666336,0.2052101,2
0.0154363075,5.2616415,0.38520914,0.01227343,5.245726,0.39862338,3
0.016069945,5.2469997,0.38139853,0.014171932,5.0984106,0.30253068,4
0.015928755,5.261085,0.3825404,0.012457348,5.1412215,0.34732386,5
0.016285433,5.2319317,0.36640793,0.014235383,5.080227,0.32205093,6
0.01689933,5.209587,0.35172874,0.01413932,5.111588,0.3163247,7
0.016606793,5.2152295,0.3537644,0.014158875,5.080449,0.24347992,8
0.0168999,5.2076097,0.35095015,0.012642868,5.163072,0.28811112,9
0.016804835,5.2042785,0.3508363,0.014611637,5.083092,0.28762993,10
0.016599856,5.2023816,0.35162005,0.014497069,5.0880327,0.3001745,11
0.016434709,5.2060432,0.35363945,0.014555132,5.076204,0.21919571,12
0.016695153,5.2021556,0.34233063,0.01455947,5.069687,0.30389017,13
0.017457409,5.1805773,0.34613502,0.014842955,5.0477777,0.24050105,14
0.017407855,5.1718163,0.32503536,0.01486813,5.043561,0.22962137,15
0.016715547,5.192275,0.33584914,0.013718399,5.1424556,0.25107905,16
0.016765485,5.1944036,0.34305847,0.014641405,5.071037,0.2871703,17
0.01678742,5.1819763,0.33480626,0.01318135,5.1457644,0.314513,18
0.016251922,5.2073617,0.3418376,0.012353742,5.1847963,0.36923376,19
0.01652743,5.1893225,0.3368176,0.014344245,5.0700493,0.29963812,20
0.017277185,5.1831794,0.3376595,0.014552353,5.07186,0.22184649,21
0.016904246,5.170786,0.33032948,0.014929293,5.0710864,0.25890338,22
0.0165409,5.192856,0.3401797,0.014857124,5.065759,0.22128154,23
0.016970767,5.1771946,0.33287662,0.015240796,5.053096,0.24524644,24
0.016283894,5.189101,0.35409403,0.014623263,5.0599937,0.25926778,25
0.016893458,5.1696405,0.34329966,0.014706482,5.04988,0.23447844,26
0.016879106,5.1736183,0.34751227,0.013454555,5.095881,0.36201304,27
0.01725417,5.1704745,0.33975556,0.015003216,5.05885,0.2965235,28
0.0174112,5.1506085,0.32813373,0.01456398,5.061752,0.2720528,29
