train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.022107515,5.4022512,0.7630537,0.02166765,5.2761364,0.7221649,0
0.027304078,5.293831,0.707601,0.025705632,5.10419,0.4016348,1
0.028770868,5.2373343,0.5085043,0.026441729,5.048453,0.4140166,2
0.02959238,5.208064,0.47460383,0.026236996,5.049986,0.3337364,3
0.03009536,5.186614,0.4507393,0.026654413,5.0253353,0.33272886,4
0.030247763,5.200941,0.4810331,0.025417723,5.0780296,0.38548702,5
0.029422253,5.1935964,0.47303304,0.025364552,5.079754,0.4299323,6
0.02945387,5.19617,0.46187168,0.025776409,5.0713153,0.452331,7
0.02963405,5.1862664,0.46222502,0.025525432,5.047901,0.42601573,8
0.028748969,5.179536,0.4548974,0.026152538,5.05795,0.41584015,9
0.029370649,5.173428,0.4619217,0.026919581,5.0327034,0.41145158,10
0.030212058,5.1576085,0.43597925,0.02678375,5.022589,0.382786,11
0.031453535,5.1496515,0.42797375,0.027476849,4.9982333,0.30013502,12
0.030863347,5.137707,0.41395867,0.027848871,5.002503,0.3236223,13
0.029563827,5.1457477,0.42274764,0.027242795,5.059437,0.36020398,14
0.031740084,5.128892,0.41645095,0.027579682,5.0378523,0.31330764,15
0.028516727,5.214558,0.51599044,0.018250283,6.231502,0.47840664,16
0.02975372,5.199616,0.5100773,0.025783509,5.05161,0.4662208,17
0.030817082,5.1608706,0.4488922,0.027123544,5.0102577,0.3219655,18
0.030357596,5.145756,0.425559,0.027199795,5.026739,0.36310774,19
0.030119346,5.1820664,0.45749047,0.025705116,5.092132,0.2661213,20
0.029598525,5.2062345,0.5119988,0.024054265,5.1436353,0.35999233,21
0.028335186,5.2806573,0.6471246,0.023298586,5.2033496,0.41917345,22
0.02927044,5.206383,0.5089262,0.026538754,5.045912,0.35876712,23
0.0300937,5.164551,0.44390327,0.027263824,5.092506,0.37354466,24
0.029618828,5.1541147,0.42052314,0.026708608,5.049123,0.31784087,25
0.030039819,5.159529,0.4371646,0.02373122,5.2478256,0.38982335,26
0.029513348,5.1530833,0.42716056,0.025278298,5.1627474,0.41249967,27
0.029973608,5.149408,0.42358708,0.026137834,5.166856,0.44923058,28
0.029664457,5.1500793,0.430622,0.027198257,5.0732427,0.36247212,29
0.03026566,5.133925,0.42081022,0.027106192,5.0225677,0.29655585,30
0.030267198,5.1397057,0.41807848,0.026684502,5.0653267,0.30095658,31
0.030231496,5.1426115,0.42129642,0.026170231,5.0320716,0.39308,32
0.030114735,5.147976,0.43182918,0.025943788,5.0850472,0.37980473,33
0.029863663,5.137337,0.41700727,0.025195125,5.0977683,0.42497277,34
0.03090886,5.1486316,0.44245395,0.026934197,5.079059,0.34277818,35
0.030482572,5.126054,0.4124704,0.026303932,5.1572676,0.4401922,36
0.02985058,5.130988,0.4092131,0.02679717,5.08802,0.3842181,37
0.031498384,5.1282725,0.41874158,0.02568674,5.1647778,0.45638224,38
0.030596312,5.115143,0.4123434,0.027274165,5.0350356,0.32499114,39
0.031134088,5.1169977,0.39884862,0.025394043,5.281985,0.43768162,40
0.031013222,5.110994,0.40104944,0.02595627,5.089235,0.28724897,41
0.030315874,5.112914,0.3997552,0.027150216,5.012723,0.27659774,42
0.02987388,5.1274185,0.41772228,0.027072513,5.057368,0.34170082,43
0.030517738,5.11842,0.40789306,0.027667306,5.036367,0.35472703,44
0.031364214,5.1424313,0.43427053,0.026913512,5.1118474,0.4001908,45
0.030573495,5.1279106,0.42009422,0.028245257,4.9878,0.30651537,46
0.03058538,5.119906,0.40659958,0.027338022,5.007897,0.37475407,47
0.030549768,5.107008,0.3924492,0.027652942,4.9971614,0.36284778,48
0.029954016,5.1314955,0.41502723,0.027423078,5.0243707,0.34585306,49
0.031210514,5.109137,0.40977046,0.027531728,4.9802885,0.29947466,50
0.031147514,5.0994577,0.39447713,0.028629934,4.958345,0.333856,51
0.030743042,5.112908,0.3966629,0.025623824,5.0899262,0.43804964,52
0.030242167,5.1478596,0.4345489,0.026883764,5.0304446,0.4240355,53
0.0312698,5.1297727,0.42637578,0.02784152,5.0094104,0.3600454,54
0.030311566,5.126212,0.4156838,0.027762104,4.9775186,0.34418875,55
0.030400405,5.1076975,0.4016423,0.028762862,4.9480767,0.29541117,56
0.03200331,5.101668,0.39423364,0.028220724,5.000513,0.34736603,57
0.031115007,5.1114216,0.41304952,0.028242778,4.986515,0.33754945,58
0.029351244,5.1023955,0.3957752,0.027931793,4.9506927,0.3389833,59
0.03171029,5.0935693,0.38684773,0.028688831,4.9563255,0.31018186,60
0.031919014,5.0821004,0.36909005,0.02945861,4.9153557,0.27072945,61
0.031145422,5.0817313,0.36946,0.028516753,4.9388943,0.25843573,62
0.03243408,5.0751934,0.3654538,0.027307678,5.000641,0.30558693,63
0.031258915,5.0821185,0.37277773,0.029446213,4.943268,0.2758576,64
0.03311618,5.068617,0.3566395,0.02823739,5.0043645,0.31893396,65
0.032240044,5.0763016,0.3666848,0.028748073,4.9545555,0.34441888,66
0.031582765,5.0696282,0.36265603,0.029044272,4.949024,0.30590248,67
0.031579193,5.069825,0.3670033,0.02822175,4.9327846,0.27255943,68
0.031031895,5.135675,0.4270344,0.027821347,5.0198917,0.34709835,69
0.031307966,5.1140146,0.4127906,0.028320398,4.9872446,0.29574168,70
0.030727372,5.0845284,0.3794481,0.02911736,4.947142,0.28803855,71
0.032183126,5.0635095,0.36651054,0.02948323,4.925308,0.27030113,72
0.032446653,5.065107,0.36082956,0.029002639,4.9205403,0.28307924,73
0.031925794,5.062342,0.3631276,0.029266784,4.940664,0.32516104,74
0.032142546,5.113285,0.39592525,0.027374182,5.0065026,0.35465413,75
0.030434318,5.118064,0.41197982,0.027466502,4.9781446,0.293846,76
0.030743545,5.0961223,0.39088476,0.028288001,5.0688286,0.32375082,77
0.030840086,5.097131,0.39317918,0.029005803,4.9350853,0.30879626,78
0.031146728,5.084923,0.38624102,0.028917156,4.942528,0.31852034,79
0.032112774,5.0678277,0.37240648,0.028300224,5.005689,0.35626522,80
0.03131173,5.076656,0.37253457,0.028553853,4.968767,0.3654885,81
0.031969678,5.0612383,0.3546974,0.028348947,5.019914,0.3395079,82
0.032676324,5.072525,0.3689896,0.025205895,5.274892,0.49021384,83
0.031263225,5.0830755,0.38007715,0.028121049,5.0471053,0.3043031,84
0.032120403,5.063237,0.36607593,0.029374667,4.944194,0.26622573,85
0.03037191,5.1384177,0.40876544,0.027451543,5.012283,0.32120246,86
0.031130213,5.1132383,0.40404788,0.028495723,4.954369,0.35085356,87
0.030763792,5.098641,0.38788578,0.029164892,4.9387856,0.3307019,88
0.03144518,5.1082206,0.39968243,0.02804967,4.9855824,0.3579084,89
0.031141415,5.0858555,0.383008,0.028122418,5.0012345,0.3230336,90
0.031632468,5.0742855,0.37616897,0.028777137,4.95779,0.26280233,91
0.03277548,5.06104,0.37794778,0.028683444,4.934307,0.2773955,92
0.032152906,5.0770802,0.38257396,0.029044358,4.9474525,0.2957465,93
0.032013517,5.0669065,0.36405277,0.02877628,4.9751015,0.3321351,94
0.031579126,5.0524883,0.3597964,0.029037092,4.928588,0.24401963,95
0.03215756,5.053399,0.35790622,0.029098213,5.0785913,0.31472027,96
0.030963253,5.0585585,0.36037743,0.028432209,5.019704,0.3409286,97
0.032110672,5.04559,0.3548163,0.029678984,4.945431,0.28458008,98
0.03307432,5.058616,0.36508012,0.029216265,4.9652367,0.34332663,99
0.03137855,5.0713887,0.3602847,0.02874089,4.962276,0.25244483,100
0.032058936,5.068206,0.3551213,0.027045583,5.135061,0.37262255,101
0.03227701,5.084773,0.38605922,0.028552573,4.939171,0.345476,102
0.03185604,5.094606,0.39408252,0.0291654,4.9484944,0.30693698,103
0.032082506,5.0846515,0.39339724,0.029017003,4.9905405,0.37187016,104
0.03191247,5.0632,0.36758998,0.029859357,4.9070034,0.270768,105
0.031079642,5.0713463,0.372075,0.029700017,4.9089875,0.28696188,106
