train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.012841042,5.4440846,0.61958236,0.017371248,5.355929,0.6001785,0
0.02058015,5.3614726,0.76889676,0.020544475,5.290361,0.72932804,1
0.025551464,5.24432,0.5554861,0.025352763,5.0980325,0.29381356,2
0.029886024,5.1395426,0.38155723,0.027119197,5.0234065,0.36267978,3
0.030543867,5.106518,0.37382957,0.02729332,5.0498576,0.41658944,4
0.031106135,5.0873194,0.37519443,0.026949242,5.008121,0.365968,5
0.03146466,5.07548,0.361485,0.028814161,4.98538,0.3515722,6
0.031688064,5.062179,0.35191527,0.027967239,5.0775943,0.335005,7
0.032496043,5.04553,0.34716126,0.027604282,5.016491,0.34921244,8
0.03282722,5.024631,0.33061075,0.028666506,4.9661317,0.30228427,9
0.03337478,5.004074,0.30457726,0.030104423,4.94985,0.23645765,10
0.033774674,4.9768915,0.2907095,0.028804054,5.0031147,0.32795864,11
0.03409491,4.9606967,0.27857754,0.030314468,4.9134054,0.26306787,12
0.034707867,4.943268,0.27283487,0.030482227,4.941109,0.2695033,13
0.035106096,4.9241743,0.2629114,0.030088091,4.9689,0.32907918,14
0.035230137,4.9094996,0.25772035,0.02837083,4.995367,0.28883097,15
0.035876762,4.893941,0.24988444,0.032433897,4.8966813,0.264306,16
0.035967983,4.877119,0.24071543,0.031225558,4.939026,0.27628893,17
0.03631102,4.867307,0.24192142,0.03139634,4.9107018,0.2774499,18
0.03665046,4.8506002,0.23675497,0.031897873,4.8731728,0.21969989,19
0.03653705,4.845168,0.23199518,0.031476807,4.902071,0.2654078,20
0.036958516,4.827645,0.22809078,0.03208862,4.9211316,0.28843498,21
0.037747953,4.8126116,0.22224487,0.031024901,4.9203353,0.2757876,22
0.037914205,4.7983994,0.21983974,0.03283837,4.876822,0.24501018,23
0.038068295,4.7869487,0.21300103,0.03145553,5.00757,0.2999933,24
0.038743973,4.767379,0.20796083,0.02747576,5.064443,0.28705662,25
0.03851101,4.7671514,0.2090209,0.025958516,5.177096,0.27602014,26
0.03887272,4.7542844,0.20510435,0.029441532,4.99667,0.30255696,27
0.039300155,4.739755,0.19775005,0.031496767,4.8990684,0.26043335,28
0.039367683,4.7262273,0.19284305,0.030284628,4.9340897,0.27243122,29
0.03968791,4.7198024,0.19223109,0.032627244,4.885263,0.24777353,30
0.04043273,4.7020297,0.18539533,0.031359933,4.9011016,0.28974044,31
0.040673915,4.694765,0.1879696,0.028535701,5.0441194,0.26621494,32
0.04017684,4.6929383,0.183824,0.030404812,4.9130025,0.26024923,33
0.040859476,4.6756206,0.17958413,0.032712758,4.8705034,0.24155185,34
0.04132998,4.659182,0.17384136,0.027926633,5.0711365,0.26991922,35
0.04118696,4.6647077,0.17353567,0.028574819,5.135881,0.26712272,36
0.041968755,4.645623,0.17168845,0.029079149,4.9866467,0.27524832,37
0.04243767,4.6357393,0.16600865,0.029727789,4.9510465,0.27830073,38
0.042559877,4.6249967,0.16660915,0.028098699,4.9851375,0.2526648,39
0.04328151,4.6097455,0.1628843,0.024662232,5.452241,0.41330403,40
0.04216054,4.6368957,0.16302428,0.0302396,4.939564,0.2777976,41
0.043240473,4.6125455,0.15888014,0.029212838,5.0011353,0.2549347,42
0.043771137,4.593641,0.15743981,0.02727442,5.0867,0.27704725,43
0.04382951,4.586611,0.15150048,0.02842639,4.983761,0.24012332,44
0.043738984,4.5864925,0.15049534,0.030104363,4.9058914,0.22226943,45
0.044753905,4.5613923,0.14592096,0.030571923,4.9504137,0.26697046,46
0.045134246,4.5502954,0.14091368,0.023825383,5.095587,0.2044262,47
0.044440713,4.5614862,0.14391412,0.026075875,5.0789266,0.26539692,48
0.04466572,4.5594134,0.14540082,0.030045167,4.9546266,0.2721825,49
0.045182902,4.5409293,0.1399864,0.029265894,5.014231,0.2647834,50
0.045872394,4.5197725,0.13492116,0.029870965,4.9266143,0.21747872,51
0.046299927,4.509785,0.12977807,0.030736988,4.891967,0.24967898,52
0.046280924,4.507055,0.1278758,0.025012279,5.098874,0.22987983,53
0.046002798,4.515756,0.13039112,0.028898628,4.9318457,0.24452086,54
0.046598982,4.4991384,0.12804183,0.030275807,4.91297,0.22056577,55
0.047171794,4.481071,0.12412712,0.029158438,4.932461,0.23301019,56
0.047405515,4.4830437,0.1246252,0.027150923,5.079779,0.23519218,57
0.046271622,4.502094,0.12750477,0.02938568,4.938566,0.19656983,58
0.047641736,4.467796,0.12037541,0.025013193,5.145792,0.20932187,59
