train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.007717118,5.450829,0.46734962,0.014147765,5.4466686,0.57903486,0
0.019118076,5.386029,0.728107,0.01710375,5.428708,0.7636771,1
0.020899924,5.34164,0.73456234,0.02114355,5.307036,0.62062687,2
0.02619948,5.23035,0.5244142,0.025447333,5.117718,0.46063077,3
0.029287066,5.148269,0.40252054,0.028368799,5.0215874,0.34808436,4
0.030191509,5.115371,0.38388866,0.029268691,4.9819865,0.32792163,5
0.03075784,5.104477,0.38079926,0.028913474,5.00924,0.36469316,6
0.031091873,5.0819025,0.36956134,0.029010616,4.9959154,0.3076985,7
0.032282945,5.0747023,0.37509826,0.028189706,5.0534153,0.34899926,8
0.03130188,5.0651736,0.36499786,0.029794065,4.9758835,0.32938927,9
0.030964425,5.053306,0.34755906,0.018815046,5.5366178,0.4297564,10
0.032163948,5.038943,0.32714337,0.03023149,4.9529343,0.31433636,11
0.03244122,5.017153,0.31311807,0.030489394,4.951087,0.27378982,12
0.033857994,5.0031433,0.30828798,0.030994007,4.935203,0.25184909,13
0.034467798,4.985966,0.29941386,0.030713746,4.8960395,0.27167216,14
0.03299627,4.9863815,0.30595013,0.031852238,4.9109893,0.2790935,15
0.03356669,4.9820385,0.30289182,0.031541396,4.8580427,0.27912852,16
0.033789475,4.964357,0.2975945,0.031742763,4.8968515,0.30200124,17
0.034329426,4.9706974,0.2946969,0.03183211,4.8939347,0.2695265,18
0.033638056,4.9550743,0.2943253,0.030640507,4.929613,0.29433733,19
0.034378372,4.9437256,0.28734115,0.032180764,4.931991,0.27170455,20
0.034055494,4.9417195,0.2931925,0.02316983,5.3609695,0.46424255,21
0.033837296,4.9493794,0.28478307,0.03179754,4.8813496,0.28114605,22
0.034222532,4.93464,0.28312346,0.026984647,5.1665654,0.4104764,23
0.034401085,4.933674,0.2859871,0.03113924,4.9176826,0.3258648,24
0.0347754,4.922525,0.28449914,0.030396108,4.923137,0.31937653,25
0.035503488,4.923918,0.28778926,0.030017018,4.976151,0.34981063,26
0.035193704,4.915762,0.28194356,0.030477172,4.925723,0.32893404,27
0.0349567,4.912198,0.28131917,0.03238963,4.905749,0.24435924,28
0.03610291,4.9042096,0.2766616,0.031818096,4.9144588,0.25719222,29
0.034965552,4.908696,0.28000665,0.031864576,4.9306564,0.2729124,30
0.03647183,4.8971853,0.27849615,0.0337235,4.858835,0.30193457,31
0.03510654,4.891091,0.26968867,0.033761162,4.826834,0.28811732,32
0.036285393,4.8886395,0.2782913,0.033419657,4.8697796,0.20849217,33
0.035581518,4.889594,0.2697129,0.028997453,5.0077276,0.3050575,34
0.035939164,4.880893,0.26947078,0.03270322,4.859529,0.24177797,35
0.03577076,4.8737116,0.264788,0.033899628,4.8470755,0.29644766,36
0.036405463,4.873555,0.26680154,0.034174066,4.8424077,0.21357805,37
0.036151577,4.865252,0.2594767,0.03525579,4.806959,0.21008527,38
0.03644335,4.860512,0.26137432,0.034049105,4.820894,0.2836073,39
0.035476755,4.8589144,0.254183,0.03139374,4.8513517,0.21208957,40
0.03631936,4.857269,0.25842664,0.03510679,4.792451,0.2567679,41
0.035610564,4.854215,0.25476965,0.03353767,4.859139,0.22743349,42
0.03546118,4.848813,0.2542753,0.02926498,5.00622,0.24135587,43
0.036715906,4.846448,0.25133595,0.035284396,4.771734,0.22552156,44
0.03793842,4.8286285,0.2528782,0.029328145,5.0264387,0.27702522,45
0.0366652,4.841875,0.25825056,0.035480198,4.791332,0.21332653,46
0.036298506,4.838885,0.25161165,0.026835881,5.0847282,0.23173513,47
0.037469994,4.835655,0.255137,0.033214405,4.847974,0.21948564,48
0.037774347,4.827606,0.25255013,0.035828102,4.79428,0.27576196,49
0.0373306,4.8180666,0.24898499,0.03616231,4.7653093,0.22991683,50
0.03774041,4.8177047,0.24894133,0.036330324,4.786214,0.20656408,51
0.03710095,4.815102,0.2470735,0.035197426,4.8033614,0.26060402,52
0.03765621,4.808876,0.24358565,0.032608908,4.900926,0.24321358,53
0.037756838,4.8138494,0.24262273,0.034444984,4.849049,0.28233987,54
0.036621124,4.8164024,0.24926977,0.035030495,4.794651,0.2992848,55
0.037817955,4.8005104,0.24506414,0.033236187,4.8551617,0.246745,56
0.03711665,4.7982273,0.24017233,0.035259675,4.8002243,0.22344919,57
0.037961323,4.800424,0.241998,0.0357897,4.7735496,0.22683764,58
0.037749108,4.797847,0.24320519,0.03714221,4.728495,0.23594093,59
0.037814956,4.790806,0.24152854,0.035437115,4.7950606,0.19899383,60
0.038565252,4.7785263,0.23758829,0.030704925,4.928848,0.25692454,61
0.038315527,4.7856846,0.23840296,0.0366344,4.743826,0.2278092,62
0.03825451,4.776638,0.23527244,0.03480426,4.79207,0.24746121,63
0.03847568,4.780299,0.23845875,0.028659968,5.1340055,0.26379046,64
0.037700977,4.8073244,0.24183963,0.032400746,4.885274,0.28243685,65
0.03813385,4.7828608,0.23691289,0.03479761,4.8073997,0.26101774,66
0.038645227,4.780327,0.23915726,0.03531767,4.782058,0.17792259,67
0.038921457,4.7774634,0.23750436,0.037310287,4.7462077,0.25683737,68
0.03853088,4.76776,0.23557009,0.03463639,4.765208,0.21190335,69
0.038193576,4.7691684,0.23479426,0.036509845,4.742466,0.22996536,70
0.03939122,4.765839,0.24010667,0.036810268,4.745964,0.22841561,71
0.03846729,4.767262,0.23201297,0.037076313,4.755355,0.22070356,72
0.03957954,4.758838,0.22862844,0.03709315,4.7422175,0.23005345,73
0.03874972,4.7680163,0.23358332,0.032261457,4.8936663,0.2458664,74
0.039119195,4.766654,0.22868387,0.036669582,4.749515,0.24007554,75
0.039339665,4.7762733,0.24046995,0.034983695,4.8317018,0.21899767,76
0.03977021,4.7676454,0.23742858,0.037292693,4.718029,0.2158976,77
0.038362112,4.757763,0.22955427,0.034679476,4.7948327,0.2275481,78
0.038390025,4.7605286,0.23243536,0.03128726,4.9718237,0.20347774,79
0.038730957,4.757756,0.23025593,0.039052993,4.670727,0.23074888,80
0.03889241,4.7499747,0.22620544,0.028456772,4.9639344,0.22643672,81
0.040029027,4.746333,0.22824754,0.037027,4.7227616,0.20950809,82
0.040273048,4.7387576,0.22389741,0.032357343,4.9140444,0.23854949,83
0.039939057,4.7512584,0.22537696,0.030675426,4.925562,0.23435079,84
0.038809825,4.7534647,0.22513984,0.036865037,4.73452,0.19508617,85
0.039703116,4.727455,0.2216988,0.034850776,4.7998323,0.24068183,86
0.03940475,4.739961,0.22266547,0.036600444,4.7743797,0.22573552,87
0.040185664,4.729295,0.22066098,0.039208155,4.669723,0.19274604,88
0.039839793,4.7306805,0.22450246,0.034454606,4.7779727,0.19079626,89
0.03940612,4.7355328,0.2233005,0.03874874,4.7000413,0.23527457,90
0.0406856,4.72738,0.2232435,0.033054497,4.8387074,0.22499095,91
0.040390626,4.726822,0.22164477,0.03260702,4.89417,0.22100298,92
0.03948583,4.7319775,0.225248,0.038577326,4.6857333,0.20449151,93
0.03985691,4.716714,0.21732813,0.027994106,5.1094775,0.26322773,94
0.039638013,4.729143,0.21824202,0.03898717,4.6851697,0.20341605,95
0.03950427,4.723834,0.22075044,0.037216224,4.696761,0.25912184,96
0.039501045,4.7207723,0.2164812,0.03851194,4.6963034,0.1897605,97
0.039750837,4.7195396,0.21661893,0.03574958,4.786983,0.22507162,98
0.040383566,4.716655,0.21758579,0.036598165,4.7551765,0.25118673,99
0.040391292,4.712192,0.21559383,0.036438234,4.754867,0.21827471,100
0.04072483,4.7071533,0.21246494,0.0370678,4.6980343,0.1710078,101
0.041530065,4.705297,0.21341443,0.027020743,6.268775,0.3136387,102
0.03872872,4.755519,0.22370954,0.036990393,4.726925,0.18765064,103
0.040177498,4.7175026,0.21580733,0.0380503,4.7102227,0.1949346,104
0.04171326,4.699809,0.21144257,0.035683304,4.73262,0.20827718,105
0.040894613,4.6920314,0.20976861,0.03815527,4.6825066,0.21006025,106
0.041123554,4.6999736,0.21092711,0.037997708,4.6947584,0.21904168,107
0.039911862,4.7066536,0.21248583,0.039234027,4.665101,0.18131563,108
0.040318344,4.6993456,0.20960495,0.037016746,4.7316957,0.2248333,109
0.041335855,4.696115,0.21040323,0.039147623,4.653723,0.21271206,110
0.041731633,4.6938357,0.21138085,0.031446226,4.8659987,0.21496029,111
0.040202666,4.699491,0.20805304,0.037796654,4.6867886,0.18528706,112
0.042182803,4.688094,0.2100848,0.03930247,4.663987,0.18485391,113
0.04093391,4.686406,0.2030695,0.038678095,4.673611,0.18314499,114
0.04163543,4.6791854,0.20706071,0.036540885,4.7410684,0.18190223,115
0.041484885,4.688876,0.20569454,0.037996475,4.7033343,0.24476884,116
0.04068964,4.688716,0.20892426,0.038476817,4.6811385,0.22155702,117
0.041343335,4.6793375,0.20410326,0.03694284,4.7009697,0.19031139,118
0.041795157,4.6867366,0.20899843,0.03600666,4.784609,0.22296521,119
0.04036496,4.6900206,0.20919712,0.037183415,4.7312484,0.21828207,120
0.040303726,4.6854606,0.20571557,0.039385166,4.6615868,0.19211183,121
0.041585796,4.6799107,0.20937094,0.03870673,4.6777616,0.18533066,122
0.041867338,4.671187,0.20069446,0.034333993,4.7566376,0.19016787,123
0.041547507,4.6846776,0.20585918,0.026257796,5.1967945,0.28285843,124
0.0399485,4.7280464,0.2148282,0.029003507,5.0364246,0.30241713,125
0.041504104,4.693593,0.21150154,0.034514803,4.844829,0.24432234,126
0.042473365,4.6692986,0.20677842,0.038584813,4.676403,0.20399812,127
0.04234948,4.676001,0.20927547,0.029975217,4.9879985,0.26416335,128
0.041272573,4.692978,0.20896369,0.035826795,4.733072,0.19541551,129
0.041785266,4.67046,0.20472382,0.038959708,4.672072,0.20134056,130
0.04182087,4.669295,0.20357205,0.035038292,4.7493095,0.19447048,131
0.042156916,4.6746492,0.20520064,0.039967645,4.6329985,0.19474025,132
0.041629575,4.659913,0.20536907,0.039369203,4.6305976,0.20980097,133
0.04174307,4.666848,0.20170681,0.039997917,4.659771,0.21702477,134
0.04243261,4.66255,0.20423657,0.0396136,4.6564574,0.2137794,135
0.04288885,4.6568823,0.19914033,0.038776267,4.669009,0.23774381,136
0.042871114,4.6561766,0.20091891,0.03587611,4.71988,0.2235444,137
