train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.011884294,5.4376297,0.5043708,0.017205361,5.3094177,0.5125976,0
0.022454878,5.25417,0.3990375,0.024846448,5.120383,0.38221586,1
0.028988618,5.158392,0.3698147,0.025687343,5.0654817,0.30732724,2
0.029974708,5.1245284,0.35859647,0.026037276,5.0692124,0.33473468,3
0.029739691,5.106177,0.3623231,0.026416553,5.0456333,0.31978744,4
0.029994817,5.0965686,0.360377,0.026623685,5.052058,0.35242525,5
0.031067,5.086937,0.37918243,0.026254926,5.113373,0.37326732,6
0.030454254,5.085562,0.3788052,0.027406799,5.0195613,0.32783172,7
0.031735882,5.071224,0.37813613,0.028860206,5.010868,0.31662917,8
0.03179799,5.0567107,0.36458495,0.027827147,5.01485,0.3216959,9
0.031783428,5.0372825,0.33329087,0.029312598,4.987074,0.32755366,10
0.033044327,5.0206566,0.3279469,0.02868646,4.98214,0.25645968,11
0.03249,5.0074286,0.32197198,0.02916928,4.971068,0.2876928,12
0.032142315,5.0031695,0.31775978,0.029274797,4.9679723,0.30920276,13
0.03364584,4.9847507,0.3078636,0.030312074,4.932445,0.2848356,14
0.03329337,4.985029,0.3119977,0.029093146,4.9758487,0.27937922,15
0.03370149,4.9847975,0.31269848,0.030348822,4.9234633,0.27566847,16
0.033546828,4.975011,0.30837578,0.029962866,4.919359,0.27797675,17
0.0343753,4.9711723,0.3061272,0.026858531,5.1792583,0.34421426,18
0.0336816,4.975034,0.31398374,0.030800242,4.9269576,0.28589058,19
0.033807542,4.9676356,0.30863994,0.03041178,4.911513,0.3078776,20
0.03437423,4.958193,0.30872655,0.030331686,4.906623,0.27189058,21
0.034343645,4.9515705,0.31502226,0.02788497,5.0020943,0.23479663,22
0.034553308,4.9507766,0.31050828,0.031574517,4.8808913,0.27174473,23
0.035050154,4.9418015,0.30075616,0.027578982,5.065957,0.26546678,24
0.03436607,4.9449906,0.3076354,0.03029198,4.8990226,0.25713053,25
0.034388155,4.9399457,0.306487,0.031101095,4.924084,0.27536935,26
