train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.00835098,5.44812,0.47430348,0.013779554,5.352085,0.389712,0
0.021361362,5.27023,0.3450325,0.025023023,5.114629,0.29353112,1
0.029618245,5.1294136,0.33564913,0.026255203,5.03885,0.35661736,2
0.030228123,5.079901,0.32673004,0.027757525,4.9914665,0.28363794,3
0.030834252,5.048503,0.3249635,0.028473541,4.9722176,0.32466087,4
0.031158084,5.022081,0.3198552,0.02812549,4.998579,0.30679706,5
0.032006025,5.0192146,0.331867,0.028675538,4.987971,0.3367957,6
0.031710297,5.013076,0.32701117,0.025197903,5.059185,0.32399273,7
0.032635905,4.991829,0.31667805,0.03061909,4.917922,0.26012528,8
0.033554386,4.9647636,0.29430634,0.030887645,4.9070625,0.23736055,9
0.034021296,4.953724,0.28478557,0.030288065,4.9805245,0.2827802,10
0.034366924,4.9405303,0.27245566,0.029835716,4.902517,0.296484,11
0.034243442,4.9385204,0.27271408,0.029958088,4.8858123,0.21960695,12
0.034092914,4.9299984,0.26996076,0.029225431,4.9122415,0.23886979,13
0.034073442,4.90964,0.26096624,0.031333715,4.845523,0.23360696,14
0.03483084,4.906657,0.26552975,0.032213043,4.8243785,0.22822762,15
0.03474485,4.8890514,0.25386718,0.03179394,4.8974395,0.27820593,16
0.03591169,4.8883977,0.251542,0.033058632,4.823918,0.20343404,17
0.035688113,4.886716,0.25439274,0.03238337,4.8425713,0.28004962,18
0.036104668,4.882267,0.25288314,0.03097275,4.886785,0.25713685,19
0.036159307,4.8741884,0.2582091,0.032483272,4.797647,0.22283238,20
0.036223378,4.8647804,0.2527802,0.03251343,4.816921,0.26011348,21
0.037284784,4.8598495,0.25394806,0.031021902,4.92239,0.2725751,22
0.03525566,4.8560653,0.25471723,0.033507254,4.809639,0.22631575,23
0.036565498,4.8505874,0.24670872,0.030811254,4.9119744,0.29948032,24
0.03679826,4.8478737,0.24509902,0.033849545,4.8294544,0.23874554,25
0.037617747,4.828388,0.24173994,0.032260098,4.812069,0.21266556,26
0.036978096,4.846112,0.24591476,0.033076834,4.790871,0.23259655,27
0.037416674,4.8341813,0.24488676,0.033998445,4.7602983,0.22163658,28
0.037868764,4.8373885,0.24768049,0.033680525,4.782116,0.23853666,29
0.036974903,4.829619,0.2501686,0.033794288,4.807837,0.2502202,30
0.03707365,4.824547,0.25035277,0.03105788,4.917299,0.1981281,31
0.0375596,4.819879,0.24513009,0.032247376,4.8524847,0.2624623,32
0.038277503,4.81372,0.24264908,0.032464813,4.890123,0.2956729,33
0.037726,4.820688,0.2418646,0.034631692,4.7840014,0.22979164,34
0.03873989,4.8186226,0.23989369,0.03356015,4.851892,0.25595108,35
0.03697713,4.818327,0.24606133,0.035105858,4.7419066,0.20865683,36
0.038193446,4.8089004,0.23955679,0.03375488,4.768582,0.24901786,37
0.038581673,4.800793,0.23864904,0.03435414,4.778009,0.23229991,38
0.03845797,4.7907715,0.2333117,0.033674467,4.7872233,0.19780755,39
0.038214087,4.7902617,0.23915978,0.029986996,4.8611665,0.27822524,40
0.038399383,4.794481,0.23659284,0.032006536,4.8197,0.24556673,41
0.0379523,4.788141,0.2293462,0.034943294,4.720923,0.2107209,42
0.0387684,4.7872853,0.23542826,0.035697088,4.710055,0.20423359,43
0.0380233,4.784762,0.22791398,0.033173718,4.82437,0.22377631,44
0.03856638,4.7872295,0.22826795,0.035621572,4.7235427,0.21244134,45
0.039407834,4.778731,0.23126487,0.033385564,4.834188,0.21145846,46
0.038169783,4.780307,0.23077096,0.03421297,4.7601247,0.21397763,47
0.038669113,4.763549,0.22406241,0.03203675,4.8397207,0.20101862,48
