train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.016183097,5.3540483,0.4029903,0.024461007,5.2030787,0.32487702,0
0.031183437,5.0943685,0.32673666,0.024672851,5.050401,0.24126978,1
0.03190866,5.0248537,0.2844331,0.024201361,4.983199,0.29056248,2
0.03326849,4.988055,0.2767848,0.027777635,5.00016,0.29398227,3
0.03211965,4.9740834,0.27660155,0.026831998,5.0574737,0.31891832,4
0.03427023,4.942952,0.25990587,0.029644668,4.915166,0.2070409,5
0.033307206,4.923362,0.25233084,0.024067897,5.1325808,0.22464137,6
0.036334466,4.884628,0.23829186,0.031700503,4.810833,0.19188899,7
0.035076585,4.871354,0.22682846,0.028731493,5.02406,0.3493022,8
0.036081586,4.851767,0.21821447,0.030932104,4.8057985,0.21426083,9
0.037273757,4.8204784,0.21303947,0.03334233,4.8010406,0.19429012,10
0.03656447,4.8259926,0.21411037,0.0327665,4.77542,0.19107303,11
0.037888996,4.81315,0.21050362,0.03136008,4.845979,0.24011998,12
0.03734144,4.8034105,0.21091042,0.032229904,4.759907,0.23243794,13
0.037598938,4.7977967,0.20705271,0.03334944,4.732156,0.20693795,14
0.037744742,4.784412,0.20326196,0.030511407,4.927254,0.21378022,15
0.036539882,4.7826815,0.19857486,0.031505533,4.772309,0.21215777,16
0.03804516,4.7729263,0.19924694,0.031925112,4.7565093,0.20789461,17
0.037640836,4.7709885,0.19528091,0.034377396,4.6868243,0.17968372,18
0.038802426,4.7589254,0.19646516,0.028438358,4.959562,0.20671882,19
0.03823996,4.753708,0.20393986,0.031284522,4.7673535,0.19274655,20
0.03811549,4.7517457,0.19667023,0.034486875,4.6895986,0.17961644,21
0.039024983,4.7401624,0.1881551,0.032469336,4.7809505,0.22833839,22
0.03935007,4.7530184,0.19625486,0.03245168,4.7723217,0.18302491,23
0.037857644,4.7519174,0.19348048,0.031498764,4.752005,0.18098705,24
0.03888518,4.737377,0.19717246,0.033532158,4.7383103,0.20201914,25
0.03935145,4.726133,0.1934864,0.032640062,4.700158,0.16158807,26
0.04023986,4.726338,0.1912956,0.036515985,4.6401677,0.16689228,27
0.040801637,4.723656,0.18740095,0.029702576,4.9468603,0.24212737,28
0.039497416,4.7086153,0.18586546,0.032981172,4.7204833,0.19691528,29
0.04063571,4.7030425,0.18303263,0.03177426,4.749093,0.1678443,30
0.03770225,4.725231,0.1915003,0.032406196,4.807067,0.2293214,31
0.03947968,4.6949635,0.18959461,0.035589878,4.6521487,0.14809084,32
0.04199878,4.685468,0.17774215,0.035569318,4.6824975,0.16763337,33
0.040372204,4.6909556,0.18175422,0.035720773,4.6770115,0.17239404,34
0.039114926,4.6969004,0.17914908,0.036511097,4.632898,0.17067346,35
0.041108057,4.683848,0.17959654,0.036593936,4.629233,0.16013685,36
0.04012798,4.6804314,0.17524983,0.03474644,4.7148027,0.16977899,37
0.040652923,4.6746917,0.17818494,0.03194096,4.996469,0.19988023,38
0.041354083,4.6750197,0.1754719,0.036593255,4.6511297,0.15843774,39
0.040050715,4.682176,0.17641516,0.03530505,4.6880555,0.16056548,40
0.039376713,4.66487,0.1726559,0.03696366,4.6336083,0.16027813,41
0.041828398,4.6603913,0.17468089,0.033574384,4.7432737,0.19487345,42
0.042073824,4.653455,0.17150515,0.034896433,4.749491,0.19121113,43
0.04028663,4.653551,0.17154324,0.034279913,4.791717,0.18638341,44
0.041227642,4.648833,0.16782257,0.03323987,4.721302,0.14830217,45
0.04247259,4.635663,0.16888456,0.03691295,4.65411,0.15857242,46
0.041576713,4.6431994,0.16797715,0.035725486,4.69961,0.19595699,47
0.041537832,4.6423483,0.17116761,0.039461438,4.560187,0.13222405,48
0.041894358,4.621769,0.16605395,0.03638175,4.5902505,0.14153954,49
0.04221928,4.6281304,0.16514674,0.031438377,5.2281294,0.26697198,50
0.04207657,4.6439857,0.17019017,0.035525374,4.618516,0.16874894,51
0.043469705,4.623759,0.16814627,0.036133755,4.663948,0.17100039,52
0.043014664,4.6141515,0.16057424,0.033446923,4.6716022,0.1649455,53
0.042798966,4.615981,0.16508923,0.036404196,4.594495,0.14253227,54
0.041206826,4.625408,0.15986519,0.038321085,4.568579,0.1508981,55
0.042530585,4.6154823,0.15967362,0.034248736,4.7351913,0.1619362,56
0.04261359,4.6099944,0.17097306,0.035877533,4.6699452,0.16921501,57
0.042159315,4.6134706,0.16021729,0.03233013,4.907312,0.2031588,58
0.042870577,4.601731,0.15838683,0.033551265,4.8064547,0.17716862,59
0.04157809,4.5970507,0.15274444,0.036789507,4.724866,0.17378286,60
0.043041218,4.605184,0.15693693,0.036781542,4.595987,0.1487542,61
0.042917605,4.596487,0.16090016,0.03596654,4.6434546,0.14314872,62
0.04288215,4.5885825,0.1577915,0.039086655,4.5532174,0.15398908,63
0.04283692,4.5805006,0.15351777,0.036484886,4.6147876,0.1546792,64
0.04249786,4.591201,0.15612869,0.03412212,4.7015815,0.16967186,65
0.042285927,4.5925474,0.16037665,0.036934707,4.5901275,0.15131347,66
0.043077625,4.590202,0.1574807,0.039523542,4.548542,0.13575892,67
0.043625362,4.5731273,0.15393427,0.040231716,4.522279,0.12620927,68
0.0444754,4.569562,0.15124317,0.039126232,4.5795593,0.14055361,69
0.044744384,4.573442,0.15627722,0.03336803,4.95178,0.24042247,70
0.0430061,4.58853,0.15685697,0.03664936,4.642292,0.16664201,71
0.042894825,4.580775,0.15697646,0.040103395,4.5134134,0.1509069,72
0.044496898,4.567183,0.15534288,0.03737082,4.6317296,0.17285779,73
0.042799223,4.566723,0.15234396,0.038794287,4.5649424,0.13822548,74
0.044263553,4.5631537,0.15414822,0.035373062,4.658071,0.18765791,75
0.0442268,4.5623107,0.15473099,0.037409626,4.571512,0.12525108,76
0.045109734,4.5551343,0.15395208,0.032854047,4.879091,0.17357226,77
0.043815017,4.5595536,0.14917758,0.039700177,4.52443,0.14883782,78
0.04403989,4.558516,0.15549117,0.03843099,4.5504484,0.13572824,79
0.044395734,4.547211,0.14975439,0.034874674,4.7607117,0.14652772,80
0.044217896,4.5655594,0.1524768,0.03765985,4.62141,0.15600714,81
0.045259643,4.5485663,0.15410188,0.037648458,4.6076603,0.14240342,82
0.04383746,4.5499845,0.1501163,0.037985712,4.574692,0.124560244,83
0.044766825,4.5422673,0.14880371,0.039999656,4.543614,0.16003558,84
0.044212926,4.5524383,0.15300436,0.03150673,5.0080247,0.19494155,85
0.044419974,4.541414,0.1435868,0.040006507,4.526537,0.13856019,86
0.045954373,4.535803,0.14896595,0.03891636,4.564072,0.13051163,87
0.044611346,4.552167,0.1499889,0.039830554,4.540748,0.13582599,88
0.0448799,4.5332646,0.1539286,0.041974884,4.48267,0.14061525,89
0.044863876,4.5336747,0.14806642,0.039070122,4.5191875,0.14382814,90
0.045535993,4.522756,0.15104268,0.03910028,4.5753508,0.14563346,91
0.045347452,4.5374236,0.14839588,0.03526144,4.762889,0.17377429,92
0.044173267,4.544761,0.1519763,0.041234836,4.4987497,0.12763023,93
0.046059314,4.5231934,0.14848118,0.04101948,4.506076,0.1283429,94
0.044937212,4.525158,0.14568096,0.03830472,4.577113,0.1534188,95
0.04513218,4.533929,0.15098056,0.034799807,4.7178397,0.15383175,96
0.04595969,4.546183,0.15443172,0.033822734,4.800263,0.16750298,97
0.0442585,4.549936,0.1499192,0.03756193,4.5795755,0.14672592,98
0.045000173,4.5278406,0.14749993,0.04207297,4.472027,0.124120496,99
0.046215482,4.5120335,0.14305985,0.03734863,4.5921307,0.14067069,100
0.045620114,4.5131655,0.14883575,0.03789311,4.565688,0.13075411,101
0.04640933,4.5218034,0.14557557,0.03984212,4.514255,0.14452802,102
0.044396754,4.534298,0.15117455,0.03918603,4.530922,0.15085478,103
0.04654331,4.5285444,0.14725058,0.03954984,4.5155845,0.13606201,104
0.04642792,4.5229535,0.15225136,0.040241655,4.5448937,0.15578704,105
0.045698497,4.5102487,0.14747562,0.034681074,4.7000594,0.14651644,106
0.04455309,4.519139,0.1499363,0.041232098,4.4937806,0.13486588,107
0.047854133,4.496311,0.14478937,0.04063648,4.493732,0.124992035,108
0.04566535,4.513185,0.14342527,0.039438047,4.538138,0.14752576,109
0.0454762,4.5145264,0.1454004,0.040077616,4.5062795,0.14907745,110
