train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.06508246,5.2862506,0.25789976,0.007898393,5.3173532,0.31064573,0
0.12102324,4.7992015,0.17642163,0.041613992,5.2519684,0.23844618,1
0.11469019,4.630935,0.16817765,0.13040127,4.606609,0.06651841,2
0.105290025,4.47823,0.13859078,0.1375737,4.3194776,0.04551498,3
0.119754225,4.245878,0.10778713,0.14136142,4.043109,0.05549924,4
0.12432808,4.113474,0.09461286,0.14183438,3.9176552,0.04552486,5
0.11960016,4.027215,0.09022841,0.14559127,3.7381468,0.053391635,6
0.11482144,3.9673367,0.08774334,0.1482484,3.6623354,0.059425984,7
0.114018805,3.8843048,0.077377446,0.14579146,3.6451263,0.040571894,8
0.11647402,3.8763206,0.07276333,0.15033668,3.5818586,0.031978354,9
0.11788221,3.8282943,0.066457525,0.14993252,3.5759385,0.068715796,10
0.115124054,3.7764266,0.054418243,0.1502093,3.529921,0.052524783,11
0.13030073,3.7164643,0.04934985,0.15273593,3.4816396,0.060813155,12
0.124465235,3.7261596,0.05392048,0.15085159,3.5718322,0.10116598,13
0.13406804,3.6658266,0.04351671,0.14653142,3.5722742,0.023095297,14
0.12718004,3.6873834,0.048752915,0.15474965,3.4476845,0.03549926,15
0.12079075,3.6681914,0.034750137,0.15480779,3.4447105,0.02256487,16
0.12076189,3.6661048,0.03979453,0.15462114,3.4050193,0.03169072,17
0.11833884,3.6507258,0.036198523,0.15326105,3.394927,0.03382554,18
0.12367544,3.6033213,0.031489857,0.15498625,3.365748,0.01849056,19
0.11517661,3.641386,0.029748797,0.15827191,3.3751404,0.040561333,20
0.13612895,3.5363598,0.02381255,0.15484752,3.3755019,0.03761817,21
0.12421741,3.5736704,0.028552722,0.15566474,3.3467126,0.035936918,22
0.12614763,3.5541358,0.022787297,0.15127042,3.4464698,0.02271371,23
0.12272014,3.6207862,0.027055614,0.14804067,3.5085914,0.014001504,24
0.12322973,3.5874133,0.021393776,0.15425892,3.370263,0.028551674,25
0.13711599,3.484751,0.01887763,0.1588137,3.3386276,0.009099119,26
0.13435176,3.4959028,0.019503968,0.15975453,3.3038878,0.017783605,27
0.12671715,3.5445294,0.02551435,0.15937477,3.2999778,0.009679772,28
0.12953289,3.5003722,0.019192403,0.15940651,3.2832448,0.009781274,29
0.124054916,3.5130873,0.01788336,0.15949662,3.30505,0.009787724,30
0.13653597,3.4467394,0.015689326,0.15779874,3.3319535,0.02287482,31
0.13584915,3.4497862,0.01614496,0.15137607,3.4373748,0.010988939,32
0.1324883,3.452166,0.016574351,0.16141623,3.2727928,0.010611903,33
0.13003473,3.4553401,0.01549693,0.15849166,3.2783601,0.010611684,34
0.12585357,3.4905162,0.019220158,0.16050337,3.2752047,0.008251795,35
0.13551556,3.446022,0.017283624,0.16224475,3.2613528,0.009282376,36
0.1305182,3.4422343,0.017092612,0.16238104,3.2746542,0.008899779,37
0.13043626,3.4700449,0.016899664,0.1606552,3.307068,0.007616328,38
0.13347557,3.4167168,0.016241934,0.15469927,3.3679612,0.010344498,39
0.13071957,3.441755,0.018465947,0.16249889,3.2343018,0.007778677,40
0.131472,3.4061973,0.012541904,0.15774104,3.34597,0.009061482,41
0.13047792,3.412128,0.011792002,0.1614584,3.2378988,0.008456074,42
0.13942258,3.4311168,0.0151294945,0.16292149,3.224145,0.00721141,43
0.1353197,3.396787,0.013411558,0.15834318,3.2943666,0.009861028,44
0.1301201,3.4078496,0.012064762,0.16223589,3.2332602,0.008745177,45
0.13313754,3.4100742,0.0168587,0.15705921,3.3156104,0.025469435,46
0.13357274,3.3898804,0.01299519,0.15783602,3.2884943,0.013203541,47
0.14235225,3.35187,0.013048239,0.16085759,3.2364311,0.007691786,48
0.13873552,3.3705044,0.01450962,0.16001754,3.2509146,0.008419585,49
0.13970989,3.3437061,0.012588406,0.16232887,3.2196543,0.010689874,50
0.13404672,3.3684382,0.015023725,0.16312923,3.1937683,0.006885564,51
