train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.060053036,5.277563,0.23896901,0.0067083184,5.576173,0.2702683,0
0.11419281,4.7871747,0.14567742,0.005757946,5.475843,0.27454904,1
0.10947611,4.6139383,0.13965929,0.118968844,4.974587,0.09549456,2
0.09924452,4.5202575,0.12456322,0.13324708,4.5745234,0.051293228,3
0.113653764,4.3151793,0.09139353,0.13708319,4.41507,0.17094873,4
0.11769275,4.1636567,0.0809794,0.1422341,4.2785215,0.05005723,5
0.11450149,4.0816827,0.07246,0.14324196,4.168192,0.06661785,6
0.110463955,4.01955,0.06356619,0.14475986,4.1113234,0.04214357,7
0.11009559,3.9461718,0.056129374,0.14539951,4.100755,0.035144486,8
0.111567095,3.8990178,0.051926225,0.14673562,4.235165,0.019150598,9
0.11370828,3.8595896,0.051129933,0.14696665,4.0619793,0.080471,10
0.11186296,3.7970262,0.045004193,0.15123469,4.0516205,0.064478464,11
0.128229,3.7288716,0.041667946,0.14962271,4.014116,0.08646589,12
0.12438249,3.7277746,0.04440996,0.1508931,4.0239086,0.07420265,13
0.13274863,3.6521778,0.042815223,0.15080322,4.032053,0.040659394,14
0.12413785,3.683758,0.0563916,0.15019931,4.0370364,0.06048361,15
0.11770121,3.6647205,0.03913826,0.15532182,3.9345543,0.072625965,16
0.11813401,3.6654277,0.039578915,0.15376109,4.0009646,0.058025643,17
0.117782414,3.6388872,0.0381875,0.1510598,4.0275826,0.02987147,18
0.120747186,3.6104474,0.035041567,0.15464911,3.9772348,0.029507317,19
0.114324816,3.6303322,0.02921392,0.15535377,3.9814827,0.06031327,20
0.13290742,3.5294054,0.02329772,0.15754838,3.9667504,0.06506638,21
0.12288461,3.556753,0.028202215,0.1554661,4.0436735,0.05235854,22
0.12612507,3.5341802,0.022395436,0.14161709,4.2076097,0.0347819,23
0.12409864,3.5785198,0.028106747,0.1517993,4.036053,0.015789011,24
0.12331201,3.5449314,0.023113253,0.15435968,4.0119843,0.012524251,25
0.13632262,3.4653609,0.015865257,0.15608709,3.992912,0.017121222,26
0.13169177,3.4817827,0.018177211,0.1571957,4.038786,0.01238442,27
0.12637194,3.5248659,0.024104275,0.15779719,4.0161815,0.012577203,28
0.12855859,3.4726186,0.01645879,0.1563825,4.0130615,0.0112786405,29
0.12476192,3.4921875,0.018556966,0.15522371,3.9572585,0.0106313685,30
0.13320224,3.4474337,0.016098447,0.1524201,4.0362015,0.008200088,31
0.13553117,3.43082,0.016294682,0.1572319,3.99951,0.009126917,32
0.13209043,3.4230576,0.015400203,0.15713114,4.0039515,0.010399181,33
0.13248754,3.4214714,0.014401158,0.15509832,4.0192356,0.009845569,34
0.12578672,3.4742873,0.017826594,0.15571666,4.030667,0.008568931,35
0.13447589,3.420094,0.01683509,0.16025147,3.9629211,0.0075452197,36
0.13288355,3.4039822,0.011350401,0.15283448,4.016254,0.026897525,37
0.12901157,3.4498928,0.017865302,0.1484579,4.0839496,0.00784981,38
0.13335176,3.3969388,0.013423165,0.15828413,3.993142,0.008407783,39
0.12923671,3.4216704,0.014463009,0.15522128,4.0744443,0.00794143,40
0.13077626,3.3947997,0.0131723955,0.14990745,4.0455155,0.012511359,41
0.1292041,3.4002998,0.011912333,0.15774304,4.017224,0.009281943,42
0.13982205,3.3709648,0.017229868,0.16044389,3.970379,0.007540339,43
0.13412386,3.3780365,0.012859182,0.15797408,3.960533,0.0071468563,44
0.13270475,3.3685832,0.013676457,0.15753196,3.9968598,0.009075233,45
0.13414875,3.3818018,0.01657312,0.15481734,4.031734,0.009506193,46
0.13317168,3.371415,0.011325914,0.15870094,3.9482076,0.008572273,47
0.13657583,3.3922849,0.01301723,0.15439208,4.0832505,0.008583321,48
0.13895509,3.3425364,0.010252589,0.15301202,4.0026083,0.009807045,49
0.1417195,3.3297703,0.011612753,0.15367919,4.0181155,0.010103717,50
0.13359694,3.3510923,0.012343603,0.15753528,4.036368,0.01016291,51
0.14128424,3.3121536,0.011707004,0.1576749,4.023888,0.009275129,52
0.14606933,3.3008661,0.010681292,0.15943915,4.0646873,0.007267714,53
0.13311832,3.34726,0.0115007395,0.15522128,4.0055623,0.0090536615,54
0.1394149,3.3341455,0.014182628,0.15098144,4.0908957,0.0069355983,55
0.13692956,3.316079,0.010326716,0.15770242,4.0666666,0.0070050615,56
0.13811387,3.314152,0.011104918,0.15287398,3.9954643,0.007141204,57
0.14268546,3.2822123,0.0114282565,0.1574747,4.077702,0.0072451606,58
0.14880054,3.2524486,0.009579144,0.16033094,3.9919984,0.007347338,59
0.14122467,3.3035216,0.011357229,0.15890048,4.022336,0.007297677,60
0.13516247,3.3140087,0.011497617,0.15992121,4.046532,0.00883962,61
0.14998218,3.2548826,0.010081153,0.16015026,4.07227,0.009524904,62
0.13599534,3.321657,0.013789862,0.15325972,4.0758724,0.008505398,63
0.13447502,3.3077781,0.010949178,0.16072465,4.107064,0.0072473357,64
0.14298618,3.294577,0.01109577,0.15390159,4.05318,0.01267125,65
0.14674813,3.2581217,0.011031536,0.15772884,4.008952,0.0064435676,66
0.1392212,3.2966318,0.010033469,0.16288109,4.040251,0.006854142,67
0.13371068,3.325214,0.013969535,0.155081,4.1157627,0.0069513274,68
0.13837703,3.3141682,0.0111387065,0.15985551,4.08203,0.006633228,69
0.13194126,3.3269892,0.009616417,0.15819979,4.132027,0.007357833,70
0.13315025,3.3060262,0.009364174,0.15586028,4.1095767,0.007115522,71
0.13538896,3.301222,0.010231306,0.15619007,4.0483747,0.007078464,72
0.1367206,3.2983065,0.009439194,0.15804534,4.0757937,0.0069039594,73
0.13703799,3.284185,0.010835855,0.1539169,4.076787,0.0068091764,74
0.13847592,3.274415,0.0088102445,0.16076194,4.0404115,0.0068674055,75
0.14037055,3.2788944,0.010863795,0.15222877,4.052241,0.006390247,76
0.13904265,3.2867806,0.010784629,0.15381569,4.215549,0.0067487587,77
0.15269658,3.2206907,0.010023323,0.16263694,4.070677,0.01100244,78
0.14349416,3.2444494,0.008941398,0.15772773,4.175182,0.0067631,79
0.1388317,3.2833467,0.010609076,0.16096391,4.112927,0.006868367,80
0.14936285,3.2266252,0.008938991,0.15971324,4.0358963,0.0067889793,81
