train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.05358276,5.2992864,0.2567593,0.008743341,5.3204436,0.25952545,0
0.099650666,4.843397,0.16548681,0.009248491,5.229652,0.26649487,1
0.09416972,4.653754,0.14935207,0.10638872,4.7188487,0.06291925,2
0.10434856,4.4231124,0.109344386,0.11283092,4.2641683,0.06330842,3
0.10822471,4.2603483,0.09931583,0.114887044,4.1520305,0.043314245,4
0.11400067,4.137448,0.0846249,0.11699152,3.9746423,0.044389747,5
0.10705734,4.068309,0.073403455,0.11864502,3.9236345,0.046742033,6
0.10887973,3.9897034,0.06748461,0.121022075,3.7977717,0.042337537,7
0.11476313,3.8966901,0.059322044,0.12382414,3.7423768,0.029142076,8
0.11386832,3.868381,0.06443899,0.12518443,3.6872458,0.064880006,9
0.115607694,3.8426745,0.0694444,0.12830323,3.6773405,0.022547448,10
0.097563766,3.8576412,0.05145382,0.12679732,3.6147194,0.053089563,11
0.11258978,3.755539,0.049338493,0.12257235,3.6214232,0.13814703,12
0.10806006,3.7546964,0.04428511,0.12584339,3.6100981,0.036432855,13
0.117277,3.7149992,0.043924663,0.12499778,3.5715308,0.02425896,14
0.12086923,3.6796992,0.03787904,0.12906094,3.5878005,0.03773138,15
0.11521165,3.6728845,0.033996053,0.12921719,3.5375,0.040044088,16
0.12411823,3.6359355,0.03319172,0.13033247,3.4761963,0.031419773,17
0.11860149,3.629974,0.029617188,0.13131303,3.488732,0.053585794,18
0.12062962,3.5912256,0.02592863,0.13128108,3.5004876,0.04678491,19
0.12309454,3.5914114,0.026185868,0.13140003,3.4997108,0.013009703,20
0.12246725,3.5696223,0.024021134,0.1291768,3.4846327,0.034549814,21
0.11848427,3.5929828,0.02928046,0.13357665,3.4140182,0.016965417,22
0.11893572,3.5568552,0.019119324,0.13162754,3.4557517,0.023154972,23
0.12391628,3.5532491,0.02416455,0.1228429,3.723852,0.12071789,24
0.12402151,3.55797,0.019614017,0.13385431,3.4113486,0.009773845,25
0.11735402,3.532309,0.017755006,0.1307646,3.4616792,0.01188489,26
0.12360976,3.5128183,0.02064385,0.1299414,3.4435873,0.01413649,27
0.12112038,3.5072348,0.015976595,0.13430996,3.3994977,0.04046242,28
0.13662913,3.426502,0.014263139,0.1343204,3.3923075,0.008417053,29
0.12260461,3.475004,0.019769471,0.13768822,3.3630364,0.0093305735,30
0.13247554,3.4386714,0.013426535,0.13583606,3.3780267,0.008703788,31
0.1279775,3.4388387,0.017250117,0.13753197,3.3600614,0.008128122,32
0.1302148,3.4374347,0.014962202,0.13503708,3.3878222,0.011525828,33
0.12471364,3.443373,0.015368068,0.13563143,3.375367,0.041407235,34
0.122797094,3.4598944,0.013223701,0.13387495,3.375334,0.010542789,35
0.11926484,3.4620063,0.013291442,0.13761497,3.330032,0.0105013875,36
0.13337298,3.370807,0.009700371,0.13603471,3.3702345,0.014053238,37
0.13341141,3.3726022,0.011905352,0.13848056,3.307531,0.0077820793,38
0.12719296,3.441608,0.016535139,0.13406627,3.3658607,0.013011224,39
0.1281849,3.3977926,0.01334396,0.1365656,3.3643591,0.008450485,40
0.12596849,3.4028604,0.012345642,0.13815673,3.3360803,0.019571595,41
0.13097867,3.3902125,0.013694171,0.13327415,3.382141,0.008132147,42
0.13448347,3.3527558,0.013033696,0.1361144,3.343086,0.010067958,43
0.12826702,3.3851964,0.016026707,0.13471326,3.3422759,0.008792028,44
0.124175005,3.388792,0.010257387,0.13902077,3.3182342,0.007359439,45
0.13409592,3.3593116,0.013831286,0.13864969,3.2948492,0.006846343,46
0.13108206,3.3376646,0.008504225,0.13774192,3.3383105,0.0086888485,47
0.13299456,3.3502433,0.010319686,0.13879906,3.311567,0.007550333,48
0.12463484,3.3805292,0.012265598,0.14051026,3.2739217,0.0066832216,49
0.11635856,3.3887126,0.008941481,0.13876864,3.3059607,0.037035972,50
0.12265296,3.3845093,0.010678252,0.13613637,3.3288567,0.007484935,51
0.13153416,3.3330486,0.010500288,0.1346298,3.3509927,0.009439448,52
0.12660968,3.377243,0.013465954,0.13594905,3.3583467,0.009113822,53
0.1373957,3.2993894,0.009217089,0.14092816,3.2683089,0.010260908,54
0.13443018,3.33265,0.011765291,0.14021263,3.3012223,0.014635392,55
0.13021885,3.3337243,0.010679785,0.1331938,3.3730974,0.008972562,56
0.1320113,3.3328462,0.009940706,0.13819137,3.302167,0.007824757,57
0.13279398,3.310626,0.009150105,0.13908936,3.3007996,0.007658403,58
0.12668398,3.3340952,0.008988441,0.14146219,3.2700205,0.006879426,59
0.13578807,3.2950916,0.01045449,0.13958652,3.2833204,0.006703961,60
0.12864009,3.3192766,0.01082501,0.1401194,3.2716675,0.0076480927,61
