train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.055912707,5.2983103,0.2681383,0.00857999,5.380239,0.283719,0
0.08717688,4.868497,0.17300902,0.022227893,5.199644,0.2832102,1
0.09139829,4.7150044,0.15703627,0.11561679,4.668821,0.08863825,2
0.09425239,4.5797057,0.13403438,0.12212891,4.488604,0.080233924,3
0.10451993,4.383391,0.1249047,0.123046875,4.161791,0.07073752,4
0.105632454,4.256013,0.11477913,0.12751976,4.049806,0.054809812,5
0.10008865,4.139643,0.10361299,0.129454,3.8504827,0.038447812,6
0.115021855,4.003944,0.082126044,0.13354869,3.8166857,0.03531551,7
0.10784989,3.955859,0.07103522,0.13417035,3.8182638,0.031721547,8
0.10631109,3.9297483,0.06300921,0.13615812,3.6039393,0.037844535,9
0.10698554,3.8963869,0.050085872,0.13050494,3.7143068,0.034958277,10
0.11428079,3.7913692,0.040239837,0.13607953,3.5658982,0.021449087,11
0.11471734,3.777726,0.041834585,0.13874178,3.528849,0.024265395,12
0.10722358,3.7760746,0.042379826,0.13822378,3.513856,0.022172369,13
0.11545048,3.7447605,0.039462194,0.14009944,3.5039597,0.016627392,14
0.12039135,3.7044451,0.035237234,0.14037086,3.491687,0.01822428,15
0.1194838,3.6644225,0.0339715,0.1392707,3.4911814,0.014703727,16
0.11826188,3.658691,0.035006676,0.13907292,3.500549,0.014184704,17
0.11088673,3.6689048,0.023387678,0.14040506,3.4477699,0.014695292,18
0.11852463,3.663821,0.031703725,0.13927644,3.5241163,0.014588356,19
0.116114624,3.696321,0.026886757,0.1415654,3.452211,0.010183604,20
0.122591384,3.6031098,0.026687343,0.1460123,3.37125,0.013736714,21
0.110459946,3.6181452,0.0200033,0.14428975,3.3724127,0.010348818,22
0.12082532,3.5691981,0.018144919,0.14582187,3.3820708,0.011117778,23
0.11838068,3.566365,0.021367872,0.14481114,3.3508377,0.009422712,24
0.1343654,3.4919078,0.020696286,0.14330743,3.4064736,0.009544454,25
0.120827675,3.5392861,0.015814103,0.1467638,3.3445296,0.009521253,26
0.12477155,3.5055425,0.016122343,0.14691429,3.3293936,0.00858529,27
0.11648029,3.54511,0.019500269,0.14388826,3.3649638,0.008953525,28
0.12280821,3.5007381,0.015187749,0.14848833,3.3144348,0.008075967,29
0.12546058,3.4981585,0.016159669,0.1458252,3.3402047,0.01065613,30
0.11656666,3.5378604,0.018055104,0.14482799,3.3754733,0.01126965,31
0.11451467,3.5251038,0.015031532,0.14560725,3.3219874,0.0110188,32
0.12926294,3.4406009,0.014070173,0.14492321,3.3785415,0.009224597,33
0.12766755,3.4522483,0.015836196,0.14606358,3.3508246,0.009280501,34
0.12757678,3.440104,0.016373148,0.14769377,3.3062003,0.0084875515,35
0.11987646,3.4761403,0.014781511,0.14860906,3.2657478,0.0075877234,36
0.12712936,3.4353201,0.013674183,0.14795366,3.2946703,0.007813217,37
0.12189348,3.4396012,0.013488989,0.15002552,3.267952,0.008310652,38
0.1292752,3.4029717,0.011041632,0.15001553,3.2692118,0.0074107205,39
0.1286906,3.4117944,0.012769111,0.14342839,3.3552878,0.008267667,40
0.12859514,3.425006,0.015838915,0.14412709,3.371564,0.007485062,41
0.12893133,3.401679,0.012149753,0.14857112,3.2728503,0.007614765,42
0.12797897,3.3973057,0.01360239,0.14775212,3.2909532,0.008282439,43
0.122978635,3.4111078,0.013893264,0.1462318,3.2939951,0.007279474,44
