train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.06774397,5.2734785,0.24831073,0.008564231,5.3566747,0.29037496,0
0.105861686,4.828227,0.16814998,0.019112438,5.2481856,0.2829632,1
0.09467909,4.6822224,0.17079929,0.123048425,4.668699,0.086966865,2
0.10810821,4.5039625,0.12941207,0.1282049,4.2419086,0.09287162,3
0.09249369,4.4130626,0.13308218,0.12913285,4.1247563,0.094597556,4
0.10957759,4.2132835,0.104486614,0.13474187,3.955239,0.045771275,5
0.104960546,4.1020427,0.09014724,0.13794456,3.805677,0.06007212,6
0.10363605,4.038668,0.075582586,0.14018443,3.8030632,0.05350236,7
0.10856896,3.9456272,0.06750816,0.14085782,3.6689787,0.041808177,8
0.10594767,3.9267058,0.058012635,0.14130948,3.680648,0.04635762,9
0.11112316,3.8518138,0.051080238,0.14241387,3.6266577,0.03595943,10
0.12190367,3.7738957,0.043139946,0.14420144,3.7200282,0.04271929,11
0.106748134,3.816654,0.04505423,0.14403653,3.5451095,0.04836793,12
0.11056362,3.7747884,0.04094302,0.1454359,3.5910668,0.020725714,13
0.1188556,3.7109807,0.03334254,0.14764716,3.528507,0.019740187,14
0.11176489,3.7284753,0.036214422,0.14437301,3.5805907,0.04293229,15
0.12070305,3.6832402,0.034676183,0.14719483,3.461023,0.020890517,16
0.12267757,3.655082,0.033811256,0.148396,3.436814,0.019007303,17
0.114792526,3.6380575,0.02987711,0.14526834,3.4711053,0.02787321,18
0.11970219,3.6355886,0.028055085,0.14803733,3.4368606,0.012686124,19
0.120478444,3.5984693,0.022852011,0.14661111,3.4778283,0.016380413,20
0.122607134,3.5952468,0.02575549,0.14958054,3.402884,0.017805943,21
0.1213394,3.5699372,0.020197395,0.15110774,3.3750093,0.0125728985,22
0.11904086,3.563257,0.02075808,0.15076794,3.3516047,0.011254586,23
0.1288732,3.540731,0.024405735,0.15106735,3.3924875,0.010513701,24
0.12708701,3.5330453,0.020729942,0.14845636,3.3734717,0.012493667,25
0.12471355,3.527824,0.019672072,0.15177979,3.3529775,0.010849278,26
0.12797692,3.5048513,0.017742146,0.1474951,3.4048827,0.016650094,27
0.1202648,3.507305,0.021002475,0.15170099,3.3299026,0.010785174,28
0.12714611,3.5131552,0.019027976,0.15179466,3.3367677,0.011022574,29
0.11549905,3.518038,0.01622778,0.15108489,3.3221128,0.0110258125,30
0.13060859,3.485058,0.018301645,0.15273571,3.3149621,0.008978761,31
0.13342942,3.4479506,0.019422365,0.15190762,3.340169,0.011631445,32
0.12881154,3.458742,0.020509748,0.15286086,3.3315852,0.008521079,33
0.13338888,3.419957,0.013848191,0.15438853,3.283956,0.010166382,34
0.11351889,3.5246663,0.019563176,0.15109575,3.3622465,0.012776899,35
0.1245203,3.4566877,0.015660027,0.15252751,3.3016846,0.009004285,36
0.124535635,3.4540331,0.015346278,0.15383878,3.2885134,0.010413815,37
0.1221318,3.4563735,0.012346161,0.1518255,3.312905,0.00908989,38
0.13091847,3.4148252,0.014980221,0.15249044,3.332422,0.012301412,39
0.12196096,3.4643767,0.01659634,0.15445957,3.2946844,0.008624674,40
0.1295238,3.389511,0.014749852,0.15734397,3.2732673,0.008390903,41
0.13570392,3.4047446,0.014176468,0.15528676,3.2645621,0.007923937,42
0.12535574,3.4277627,0.014480487,0.15597168,3.2627223,0.00782066,43
0.1224057,3.4307487,0.014795712,0.15570001,3.2462044,0.009106583,44
0.12592445,3.391535,0.01291019,0.15642712,3.247177,0.008966166,45
0.12383537,3.4171598,0.012855727,0.15053289,3.3317206,0.011255002,46
0.13262577,3.3624783,0.0129363965,0.157496,3.217929,0.008137434,47
0.12003149,3.4456542,0.0132899415,0.1575517,3.231722,0.008531999,48
0.1332042,3.3447769,0.012889544,0.15652944,3.229289,0.008000607,49
0.12343097,3.4090323,0.0145819215,0.15404096,3.2612307,0.008956305,50
0.12971678,3.3650267,0.011792484,0.15665038,3.2410645,0.008243192,51
0.1318739,3.3408957,0.011587226,0.1580227,3.2141097,0.006943208,52
0.12847336,3.3583813,0.013166725,0.15880793,3.208705,0.0088848965,53
0.12182369,3.3766994,0.010372439,0.15799028,3.2165213,0.00822655,54
0.13154806,3.3343785,0.009902566,0.15784913,3.2061431,0.009126097,55
0.13045739,3.3328416,0.009735741,0.15595104,3.2428398,0.007681857,56
0.12101486,3.3796036,0.0123483315,0.15733553,3.2151792,0.00745298,57
0.1322011,3.3395262,0.01675395,0.15789928,3.204172,0.009631402,58
0.13363394,3.306443,0.009942445,0.15711024,3.2239473,0.0070953188,59
0.12162547,3.389277,0.0121328775,0.15205878,3.2707994,0.00683137,60
0.12775362,3.3428588,0.011101849,0.15890892,3.1979063,0.0073970896,61
0.12070581,3.3531342,0.010464764,0.1591373,3.1780794,0.008187183,62
0.12824044,3.340058,0.014608897,0.15922163,3.1978896,0.008019571,63
0.12879989,3.3254244,0.010632129,0.15488791,3.2299128,0.0075679193,64
0.12868467,3.3402104,0.012743091,0.15878086,3.194861,0.0070911217,65
0.1327782,3.3082197,0.009892765,0.15850277,3.1870356,0.006208904,66
0.13363765,3.2965846,0.010503171,0.14961182,3.290789,0.0077359425,67
0.1390891,3.2760904,0.011206686,0.15660067,3.210747,0.010994629,68
0.12183644,3.3591447,0.011886951,0.15949176,3.1736245,0.0069254916,69
0.13143358,3.3044229,0.00873044,0.16113746,3.1537187,0.0063012512,70
0.12442804,3.353364,0.010145687,0.15844305,3.2163415,0.0067143547,71
0.13540405,3.281628,0.008800911,0.16044389,3.1715944,0.0073995944,72
0.13947073,3.2762072,0.009440381,0.1530491,3.3144271,0.009822889,73
0.13060214,3.3000607,0.010026707,0.15740345,3.201606,0.007261288,74
0.13370413,3.2885184,0.010324505,0.15818359,3.1900992,0.008274512,75
0.14003243,3.2555044,0.009299794,0.15707432,3.2139094,0.01183203,76
0.1393976,3.2614741,0.010062298,0.16205166,3.1373796,0.006417003,77
0.13726507,3.2621057,0.008033257,0.16139272,3.135129,0.0065659154,78
0.13443924,3.2751188,0.00989413,0.15728804,3.2051287,0.007910127,79
0.1377132,3.2742903,0.011842363,0.16122493,3.1452408,0.007042271,80
0.13598944,3.2885914,0.00957174,0.15633278,3.2472372,0.006959553,81
0.13475704,3.2730083,0.0088443095,0.15868053,3.1705058,0.005857801,82
0.13442208,3.2534418,0.008154433,0.16216597,3.128136,0.006495135,83
0.14464524,3.2316191,0.00905217,0.15760675,3.1854324,0.007243504,84
0.12718809,3.2978094,0.008357855,0.15802556,3.1760156,0.0070626587,85
0.1305026,3.2835498,0.007676244,0.15934104,3.1579971,0.007999764,86
0.1389493,3.2428215,0.008773332,0.15848567,3.19158,0.006090878,87
0.14062372,3.2293193,0.008225292,0.1568082,3.2112358,0.0067586945,88
0.12790738,3.3039494,0.00971601,0.15837936,3.1880186,0.0065258397,89
0.1273827,3.289356,0.0079209525,0.16150345,3.1450744,0.0067012403,90
0.13750485,3.2317245,0.0072635086,0.15884921,3.1697066,0.007043129,91
0.12892431,3.2835941,0.008375369,0.16237105,3.1371856,0.006675768,92
0.13553295,3.247945,0.0074635358,0.15820779,3.169883,0.006275207,93
0.12908934,3.2675736,0.008658553,0.15991144,3.1728377,0.0069493856,94
0.12699585,3.2856371,0.008404856,0.15817538,3.1880746,0.0065825437,95
0.12740883,3.2743418,0.007435464,0.15739702,3.191849,0.007340448,96
0.13336623,3.2535908,0.007824137,0.16232689,3.124031,0.0071045663,97
0.13125497,3.260713,0.008169632,0.1589502,3.1937468,0.008112352,98
0.13308361,3.2423608,0.007124147,0.15714067,3.1821177,0.0061512785,99
0.12557158,3.2859297,0.0076248962,0.16127998,3.153531,0.0072766114,100
0.13566773,3.2392495,0.007926356,0.16126442,3.1411173,0.006953322,101
0.14170179,3.2226458,0.0077460725,0.15594572,3.2200117,0.007171939,102
0.13203967,3.2530246,0.0067947195,0.15725341,3.18445,0.006206502,103
