train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.04242242,5.313882,0.27328393,0.008500311,5.438589,0.27865455,0
0.09297338,4.8575196,0.18257882,0.0074225413,5.3769917,0.26351878,1
0.09177894,4.6961627,0.14303312,0.121501915,4.7254343,0.089381434,2
0.09343969,4.5545464,0.11232087,0.12836736,4.4352593,0.062330604,3
0.108448744,4.374291,0.09078338,0.12790217,4.346189,0.055419732,4
0.10752925,4.233769,0.09412442,0.13396949,4.3610497,0.036012944,5
0.108078025,4.120362,0.08047058,0.13707164,4.0073476,0.0538249,6
0.104634926,4.065695,0.066466376,0.13874267,4.059983,0.02884192,7
0.11106698,3.953738,0.05627357,0.13942938,3.9829788,0.028551443,8
0.11238787,3.8925893,0.05107257,0.14150058,3.8867056,0.037370294,9
0.1136492,3.883667,0.04562137,0.14288574,3.8624773,0.027553368,10
0.10670267,3.8397982,0.0450888,0.14290749,3.8350477,0.022765176,11
0.10804137,3.8315613,0.038598657,0.14452125,3.7832067,0.03653468,12
0.11512048,3.7555056,0.036504395,0.14490123,3.7839968,0.020074252,13
0.11244756,3.7490892,0.035823368,0.14618719,3.8028822,0.019876998,14
0.12097092,3.702622,0.03406494,0.14621028,3.7743788,0.020049738,15
0.11849189,3.6613016,0.028757013,0.14330144,3.8651125,0.016518686,16
0.11662029,3.6718345,0.035382587,0.14397772,3.7717576,0.07164949,17
0.11968405,3.6375475,0.027782163,0.14879683,3.710903,0.016933953,18
0.1169466,3.6344514,0.0240996,0.14893,3.7001991,0.047399092,19
0.1227736,3.6160111,0.02555314,0.14698751,3.7456324,0.015904158,20
0.11352523,3.663159,0.026032113,0.14545389,3.7552323,0.0109268995,21
0.110478856,3.6393433,0.0249668,0.148117,3.7068963,0.012890592,22
0.12267789,3.5782986,0.018850338,0.14599143,3.7078185,0.0642777,23
0.12707356,3.5633957,0.023094747,0.14999445,3.694568,0.011592871,24
0.12417839,3.5150776,0.016112346,0.14654697,3.7063003,0.031215329,25
0.12753405,3.5259726,0.021755181,0.14640468,3.7394423,0.010871004,26
0.11848324,3.546705,0.01922079,0.15173073,3.6385217,0.025459116,27
0.12717678,3.5118208,0.019803459,0.15089132,3.645945,0.017223323,28
0.122172594,3.5116382,0.018498117,0.14974521,3.6776137,0.014441758,29
0.12364245,3.5034125,0.01683176,0.1525657,3.665577,0.011900811,30
0.12307344,3.52053,0.01817405,0.14964332,3.6909297,0.008851604,31
0.12706007,3.4676437,0.015239669,0.14822444,3.664946,0.014523244,32
0.12685682,3.458754,0.015376904,0.15338112,3.6583467,0.0102418335,33
0.1301246,3.4660518,0.017839216,0.14303912,3.7743096,0.011197489,34
0.12548886,3.498504,0.016986504,0.15015292,3.6805992,0.014520147,35
0.13569239,3.4130127,0.016269576,0.14627998,3.8031042,0.010253457,36
0.123859905,3.4769177,0.01958928,0.14873622,3.7050245,0.009313175,37
0.11950461,3.478598,0.018120391,0.14881259,3.6489275,0.010061123,38
0.13064086,3.4118083,0.013085625,0.1509486,3.6310327,0.010561681,39
0.14468849,3.3681421,0.016456144,0.14304842,3.7125528,0.012835572,40
0.13399461,3.3909044,0.016063746,0.14899303,3.674103,0.0124435285,41
0.13681127,3.384972,0.01599916,0.14970747,3.661868,0.009749584,42
0.13880523,3.375489,0.01553154,0.14678577,3.6800249,0.008447737,43
0.1319315,3.4082053,0.015091641,0.14998247,3.638753,0.008225306,44
0.13019978,3.4004736,0.016827565,0.15117742,3.6291769,0.008650272,45
0.114664316,3.45049,0.012084795,0.14478427,3.7660017,0.010812053,46
0.12753434,3.4008882,0.012000168,0.1484002,3.68238,0.0139518855,47
0.12854087,3.375129,0.012660273,0.15185946,3.6625733,0.008700728,48
0.12789716,3.3735752,0.008876221,0.15250334,3.650882,0.007897451,49
