train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.055307787,5.2903447,0.25385362,0.007480025,5.4212117,0.2580811,0
0.09770158,4.8421907,0.20006017,0.005752841,5.396294,0.25357416,1
0.092962936,4.7056036,0.16858515,0.10421986,4.952075,0.12486797,2
0.09635065,4.5621934,0.14188771,0.11183038,4.5823436,0.06946096,3
0.09905711,4.44084,0.11373689,0.11552846,4.4140644,0.054758087,4
0.09102669,4.2920823,0.10699265,0.11942604,4.228845,0.054470554,5
0.102834605,4.151403,0.092614494,0.118766874,4.25992,0.059388854,6
0.10438974,4.0714865,0.06563188,0.12406473,4.1448765,0.030224843,7
0.113810405,3.9593935,0.0604291,0.12307372,4.070424,0.052843805,8
0.1104118,3.9008307,0.053073592,0.12430065,4.146362,0.022481102,9
0.116419144,3.8425698,0.04284134,0.12618476,3.9917915,0.025993789,10
0.11217227,3.848959,0.042593356,0.12732135,3.967965,0.018010302,11
0.11604799,3.7691784,0.034909338,0.12784602,3.973497,0.019771017,12
0.111111306,3.7638524,0.032756742,0.1281878,4.021458,0.017299784,13
0.11321015,3.751209,0.02957235,0.13190319,3.9062243,0.015056997,14
0.115001604,3.727825,0.030295864,0.13244607,3.9286554,0.011327481,15
0.11854007,3.691889,0.027255476,0.13115856,3.9137337,0.0127230575,16
0.11584124,3.6556072,0.02112499,0.13325883,3.9121282,0.015421516,17
0.11830397,3.6571536,0.02418297,0.13238703,3.9355776,0.0105572725,18
0.11859952,3.6192186,0.025456814,0.1342709,3.8756762,0.03792545,19
0.11283069,3.702742,0.026725775,0.12939031,3.9121346,0.017709889,20
0.12576707,3.5830576,0.01722837,0.13688433,3.8450844,0.010266658,21
0.11945144,3.6074233,0.02180799,0.13605003,3.8748026,0.012129024,22
0.13119486,3.532907,0.019001322,0.13674672,3.8427458,0.008643431,23
0.11508326,3.5836275,0.017436123,0.13788353,3.827593,0.009996949,24
0.1141445,3.569571,0.019654421,0.13845325,3.8632379,0.012194613,25
0.11782,3.5303476,0.01637616,0.1363439,3.8534179,0.014570168,26
0.12571709,3.5129018,0.0219232,0.13966775,3.7994514,0.008965714,27
0.120234706,3.528294,0.014425904,0.13635875,3.8299825,0.01034539,28
0.12603971,3.4789143,0.015444199,0.1379146,3.832824,0.008900407,29
0.12547405,3.501348,0.015894223,0.13922873,3.8158042,0.0077809575,30
0.12771392,3.457603,0.014874767,0.13958074,3.8611872,0.008193951,31
0.1279166,3.4640956,0.014580464,0.13913862,3.81044,0.010231245,32
0.12653531,3.4859178,0.019927097,0.14060326,3.793352,0.009031714,33
0.12591599,3.4486938,0.013990348,0.13482554,3.8998373,0.008669067,34
0.12722568,3.4484339,0.013663113,0.13743342,3.8149865,0.011873745,35
0.12607974,3.4519706,0.014282458,0.13658936,3.848397,0.008475538,36
0.120526716,3.4689846,0.01525894,0.13994564,3.8283427,0.008491358,37
0.13064681,3.4070947,0.014266815,0.13869384,3.8115356,0.007523881,38
0.13738504,3.3810956,0.014278234,0.13755082,3.8310232,0.00841826,39
0.12587117,3.4375145,0.014229399,0.14021063,3.850509,0.0076841307,40
0.13125457,3.4134707,0.01405296,0.1375273,3.8845558,0.007523097,41
0.12796563,3.4088197,0.013031206,0.13884589,3.819708,0.0076628793,42
0.12751733,3.4282353,0.012262965,0.13780473,3.8454423,0.008001693,43
0.12821075,3.3988068,0.012731563,0.13995428,3.8086164,0.016143793,44
0.1304501,3.4002006,0.013603964,0.13668768,3.8301508,0.012962913,45
0.13290463,3.3497727,0.011018512,0.13913196,3.824627,0.008343066,46
0.13785943,3.3439605,0.011493129,0.14191629,3.803016,0.008082618,47
