train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.06816255,5.270304,0.24265614,0.0083660325,5.3574924,0.3026474,0
0.09307925,4.830953,0.19308211,0.03190807,5.1987514,0.25818703,1
0.100919895,4.6466556,0.18021451,0.12304754,4.5405517,0.09479115,2
0.10293554,4.537083,0.17600778,0.12946999,4.3591676,0.102024905,3
0.10341865,4.3837457,0.1640874,0.13141091,4.162766,0.16965334,4
0.111908,4.212434,0.13497862,0.13566118,3.9125633,0.07441465,5
0.114603154,4.079558,0.112282924,0.13566095,3.8443992,0.065345675,6
0.11094138,4.0391426,0.1011401,0.13679643,3.8271124,0.06579685,7
0.11804107,3.9506474,0.077560395,0.14127707,3.7091753,0.046588793,8
0.114327654,3.8773978,0.070438765,0.14116743,3.7270348,0.04017598,9
0.114384145,3.851646,0.06473886,0.14347856,3.5965798,0.03643976,10
0.11925369,3.8134003,0.0542899,0.14252086,3.5963857,0.03185225,11
0.119125396,3.7702715,0.049206797,0.14596678,3.5262077,0.029319556,12
0.117449015,3.7531006,0.044146087,0.14404273,3.5580795,0.028074918,13
0.1190016,3.7406926,0.038107187,0.14545965,3.606228,0.042408947,14
0.112374015,3.7187145,0.033851597,0.14614701,3.475173,0.018720895,15
0.119527034,3.7216208,0.03481287,0.14742011,3.4639285,0.021351106,16
0.11401358,3.7214231,0.028660357,0.14733689,3.4692657,0.015716862,17
0.11599226,3.6763103,0.02898918,0.14475074,3.568917,0.028812837,18
0.122924976,3.6410856,0.027756413,0.14999114,3.4188888,0.011987283,19
0.122984566,3.6597931,0.027117554,0.14976095,3.4098265,0.01740342,20
0.12603347,3.5823655,0.022205878,0.15063189,3.3884776,0.012579822,21
0.11659209,3.625752,0.02403867,0.15232931,3.3817728,0.010853865,22
0.11769022,3.5859358,0.021166451,0.15210627,3.3910463,0.011374897,23
0.12661988,3.545827,0.01974462,0.14917193,3.3740835,0.012802205,24
0.12516119,3.5596697,0.021725891,0.14995605,3.3925147,0.021542713,25
0.12506385,3.5638866,0.024802936,0.15080123,3.3662543,0.011548734,26
0.12786435,3.5245302,0.027530847,0.1483325,3.4019494,0.0107781,27
0.13219613,3.5061688,0.023478238,0.1485538,3.396914,0.010693081,28
0.12988326,3.4900048,0.017557101,0.14841108,3.395847,0.011215047,29
0.13305226,3.4604878,0.021202961,0.1522574,3.3604164,0.009784446,30
0.13705216,3.4432821,0.018324925,0.15373425,3.3359292,0.010719002,31
0.12980665,3.4870763,0.018923359,0.149727,3.3598776,0.0096062105,32
0.12100973,3.4984527,0.023122733,0.15252686,3.3258064,0.011273881,33
0.12135599,3.523416,0.018942373,0.15427846,3.2979424,0.0101490645,34
0.12491789,3.4869792,0.02302946,0.15001841,3.3819816,0.009773588,35
0.1252433,3.4536743,0.015999144,0.15600298,3.2670748,0.007984031,36
0.11533768,3.5357256,0.022245504,0.1552872,3.2987273,0.009176171,37
0.12675604,3.4415379,0.016974581,0.1497845,3.3974228,0.0094474815,38
0.12173306,3.4572546,0.013983198,0.15168923,3.316117,0.010285696,39
0.12170124,3.5226471,0.018320955,0.14994141,3.3646185,0.009001119,40
0.13989244,3.4298575,0.014801148,0.14975165,3.3685725,0.008298261,41
0.12856497,3.4263847,0.015939675,0.15373315,3.2992346,0.0378922,42
0.131636,3.4201348,0.018390499,0.15714687,3.2554407,0.009145849,43
0.1292933,3.4151163,0.014279743,0.15533803,3.2856202,0.008710078,44
0.13158384,3.4125807,0.016478106,0.1519065,3.325113,0.010596224,45
0.13197586,3.3787017,0.013898947,0.15683126,3.252877,0.013240329,46
0.1300042,3.3823037,0.011923084,0.1573473,3.2513049,0.013080495,47
0.12592542,3.4084756,0.015667988,0.14992276,3.35091,0.010879442,48
0.13883734,3.3504984,0.015046987,0.15112926,3.3365488,0.0087387785,49
0.13001646,3.3798568,0.012729694,0.15263027,3.2827423,0.009418356,50
0.13115223,3.3907518,0.020379042,0.15245093,3.2967398,0.008008913,51
0.12811187,3.403361,0.013803562,0.1521704,3.3012338,0.009116755,52
0.12781784,3.3829746,0.011304955,0.15548739,3.2654428,0.0077604954,53
0.12922072,3.3991315,0.011698367,0.15196909,3.2845666,0.008426846,54
0.14110518,3.314538,0.011683123,0.15613593,3.2518609,0.007747136,55
0.14210938,3.318374,0.011243025,0.158839,3.2309282,0.013364017,56
0.1369189,3.333466,0.013802646,0.15821911,3.2267127,0.012342742,57
0.12871906,3.3579817,0.0135730645,0.157235,3.2189202,0.008097265,58
0.13365677,3.3514297,0.0128282895,0.15831853,3.2436721,0.010962256,59
0.13091919,3.3550715,0.012606339,0.15714645,3.2182128,0.008021927,60
0.13078429,3.3628292,0.010788291,0.15927356,3.2055702,0.006914486,61
0.13539462,3.3177314,0.009283833,0.15860173,3.2081678,0.0065388484,62
0.12521568,3.3750815,0.01568707,0.1541182,3.25694,0.007661428,63
0.13638227,3.3209472,0.010661258,0.15806241,3.2077942,0.00807849,64
0.13337162,3.3243601,0.011159641,0.15788685,3.229323,0.007844079,65
0.13275506,3.334755,0.01016226,0.15978138,3.18935,0.007049018,66
0.13080323,3.3328893,0.010154152,0.15751332,3.2296133,0.007648076,67
0.13903312,3.3026588,0.009831231,0.15352517,3.27175,0.006862994,68
0.13750505,3.3122196,0.012128673,0.1560711,3.2180922,0.0071836677,69
0.12631246,3.3739624,0.01189371,0.15987194,3.202971,0.0066931667,70
0.14037639,3.2996173,0.010828849,0.15176557,3.2900918,0.0068374258,71
0.14332552,3.2740824,0.01035269,0.15798783,3.210498,0.006924698,72
0.14013276,3.2743044,0.011614641,0.15738815,3.2021606,0.007052454,73
0.13226794,3.3213596,0.01101885,0.15416239,3.265648,0.008704199,74
0.14024797,3.279312,0.011121438,0.15720992,3.2068284,0.0075526447,75
0.13458833,3.3012643,0.009622526,0.15900436,3.2105057,0.0070621413,76
0.13205062,3.3020127,0.009454905,0.15902989,3.19404,0.007820252,77
0.13013402,3.3350718,0.012650541,0.15668413,3.2213469,0.0075727846,78
0.1370509,3.2838302,0.008993311,0.15179822,3.28638,0.0076094745,79
0.12863879,3.332995,0.0106955385,0.15840954,3.1929276,0.0073978915,80
0.1316747,3.317292,0.010946868,0.1556776,3.2422502,0.0077782706,81
0.13501897,3.289375,0.012909443,0.15972523,3.1740274,0.0069340453,82
0.12868728,3.326653,0.0103161335,0.16121359,3.169538,0.006749806,83
0.13403806,3.293094,0.009946089,0.15564142,3.2193537,0.006687191,84
0.13209434,3.2944078,0.009271908,0.15886962,3.18594,0.0064907987,85
0.13372934,3.2891724,0.0095383525,0.15918812,3.1850176,0.007899941,86
0.1393454,3.2697344,0.010388744,0.15517822,3.237888,0.007462773,87
0.13429211,3.2863576,0.010250532,0.16023172,3.1794913,0.0076046633,88
0.14417477,3.2524657,0.009014009,0.15823597,3.1812394,0.0062498036,89
0.14204797,3.2355442,0.008454823,0.15512672,3.218521,0.0065322416,90
0.13527432,3.2775455,0.009876649,0.15755971,3.2012022,0.0065767537,91
0.12953644,3.3022008,0.009764238,0.16037975,3.167811,0.007077007,92
0.13751024,3.2694678,0.008968506,0.16013318,3.1667175,0.0067961644,93
0.1314302,3.296941,0.0088158455,0.15963511,3.1827905,0.0068969578,94
0.14161633,3.2314174,0.008649638,0.1564664,3.2330139,0.0071015325,95
0.13159677,3.3056405,0.0128214,0.16099209,3.1671555,0.006805808,96
0.14019543,3.254219,0.010564894,0.15878417,3.1958354,0.0069270656,97
0.13790831,3.2637093,0.009670189,0.16019131,3.1741164,0.007992108,98
0.13447858,3.2626379,0.008902924,0.1576507,3.1929817,0.007428011,99
0.13737589,3.2628307,0.008941462,0.16005284,3.1604667,0.0065793544,100
0.13498661,3.282286,0.008491131,0.1611792,3.1597838,0.0063298102,101
0.1326615,3.2860897,0.009396584,0.16203193,3.1472154,0.0065582152,102
0.13831413,3.2513003,0.008289339,0.15630016,3.2288847,0.009107831,103
0.14378415,3.2415843,0.0089152595,0.16036177,3.1620255,0.00662521,104
0.12713581,3.2772715,0.007237161,0.16182572,3.1516533,0.006255032,105
0.13780092,3.2244914,0.0070026354,0.16068226,3.159025,0.0062699616,106
0.13455334,3.2423122,0.009158968,0.16137296,3.1527407,0.006288355,107
0.13727358,3.2406664,0.007713719,0.16080189,3.1601057,0.010342637,108
0.1435028,3.2100735,0.0077036135,0.15637274,3.2337341,0.0071419836,109
0.13779536,3.2600405,0.008918124,0.15845971,3.1822774,0.0072035263,110
0.1371859,3.2480285,0.008377719,0.1597179,3.164627,0.006680817,111
0.13807747,3.245534,0.008325125,0.16058415,3.151293,0.0059534754,112
0.13920625,3.2464168,0.008370652,0.16192892,3.1489508,0.0064598527,113
0.1381307,3.2313962,0.008098256,0.16166149,3.1542456,0.006519316,114
0.13268541,3.2377622,0.008000988,0.16309148,3.1298406,0.0064915363,115
0.13570836,3.23161,0.007852134,0.16072711,3.1559167,0.006972574,116
