train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.061633177,5.297294,0.25827622,0.008458362,5.3571205,0.30183694,0
0.104295686,4.8477597,0.16413602,0.027565252,5.1746006,0.29418853,1
0.098696545,4.6891828,0.15945426,0.1305147,4.546468,0.078048564,2
0.106468335,4.495155,0.11932527,0.1354965,4.2918615,0.06245428,3
0.10591291,4.3685465,0.11346699,0.13869695,4.0146403,0.058173593,4
0.101671204,4.2442045,0.11884491,0.14105624,3.883436,0.0553874,5
0.11595358,4.0851483,0.0988567,0.14315607,3.9286108,0.0436078,6
0.110722646,4.0639834,0.08740172,0.14441162,3.7648954,0.032929193,7
0.1139677,3.94801,0.06981853,0.14586803,3.7176392,0.040184442,8
0.1240231,3.905809,0.07393558,0.14896551,3.6374032,0.04242069,9
0.11272052,3.893642,0.065297775,0.14916104,3.614475,0.032828573,10
0.12212549,3.820009,0.0611014,0.14685725,3.615185,0.03594842,11
0.114967555,3.7793067,0.057124723,0.15142044,3.5980346,0.03277849,12
0.107617304,3.7981,0.0708534,0.14871205,3.5285263,0.026678938,13
0.12685989,3.7405698,0.057387963,0.1494913,3.5150106,0.06824515,14
0.1151555,3.7694356,0.056347772,0.15148327,3.4548402,0.03969656,15
0.12784824,3.6773202,0.056650285,0.1518284,3.497078,0.028314918,16
0.12174551,3.6714077,0.05461195,0.14960206,3.4938116,0.06363511,17
0.123469405,3.6592882,0.04623394,0.15341908,3.4456375,0.06575036,18
0.1322514,3.601898,0.044723712,0.15047562,3.4615316,0.053213347,19
0.12329052,3.6365666,0.051036693,0.15607488,3.3650901,0.027696528,20
0.11685404,3.6411407,0.041022327,0.15596679,3.379297,0.018098276,21
0.1277451,3.575289,0.03418136,0.15395042,3.3952193,0.032079235,22
0.13548365,3.52869,0.031633984,0.15618761,3.4145944,0.014469189,23
0.12275804,3.5867028,0.031145567,0.15387672,3.3588035,0.014067102,24
0.12423703,3.573066,0.034310196,0.15810214,3.3330772,0.012326777,25
0.12336948,3.5668774,0.025567787,0.15870851,3.3316882,0.014520351,26
0.1290055,3.5397806,0.030999318,0.15821245,3.3410034,0.011692521,27
0.13273142,3.5201488,0.027040219,0.15807329,3.3244321,0.01365029,28
0.13077684,3.519669,0.026970262,0.15445735,3.3565307,0.013142705,29
0.13652676,3.486301,0.029806687,0.1547512,3.3567955,0.013088172,30
0.13241114,3.5489147,0.027560646,0.1535882,3.368268,0.012487101,31
0.12982291,3.483362,0.022665285,0.15937033,3.3105597,0.009887867,32
0.1268726,3.496628,0.029589044,0.15453103,3.3664024,0.017237186,33
0.12960987,3.4549832,0.02534554,0.15728648,3.3697395,0.010822202,34
0.12891155,3.4912558,0.030304046,0.15669456,3.3276281,0.009862074,35
0.13143076,3.4775045,0.028072221,0.15930353,3.2914965,0.011896803,36
0.13835019,3.425247,0.02176071,0.16103362,3.2715118,0.009355857,37
0.14005783,3.42086,0.020787586,0.15498757,3.3622625,0.009674842,38
0.13664487,3.4445348,0.031005085,0.16141468,3.269391,0.012820292,39
0.13707422,3.4212584,0.021520983,0.15991499,3.2787292,0.012507266,40
0.13476168,3.4303412,0.02210464,0.15309992,3.4223022,0.0572181,41
0.12974639,3.4771705,0.024946632,0.15277234,3.4477646,0.011864829,42
0.12779325,3.441624,0.019383583,0.16033848,3.2814612,0.010245598,43
0.124784864,3.463191,0.02261572,0.15023571,3.4618895,0.013231763,44
0.13390982,3.4194295,0.021889485,0.1604925,3.259651,0.009111558,45
0.12745322,3.4208612,0.019390551,0.15696068,3.305107,0.008441045,46
0.13329926,3.3988082,0.01878312,0.15748201,3.3036,0.008431409,47
0.13373712,3.38616,0.018624645,0.16252242,3.231539,0.007584195,48
0.123172946,3.4372716,0.019147342,0.16248247,3.2368798,0.008883626,49
0.13214697,3.385438,0.017054548,0.1617456,3.2331686,0.0076065166,50
0.135382,3.3853333,0.019931732,0.16079701,3.2420568,0.009888784,51
0.13640334,3.3714814,0.01699212,0.16043212,3.268237,0.008294065,52
0.13382292,3.3647523,0.01424009,0.16064364,3.2574654,0.008410876,53
0.13469516,3.353041,0.018224416,0.15469505,3.369536,0.009467368,54
0.13334477,3.3822038,0.016131986,0.16032736,3.261452,0.008016158,55
0.14560631,3.2980034,0.013917965,0.16466199,3.1930747,0.007566172,56
0.1471532,3.2997782,0.014803159,0.16331233,3.2167563,0.007214305,57
0.13325255,3.3753583,0.01648121,0.16297764,3.2075706,0.007885199,58
0.13463159,3.3584766,0.018670322,0.16325682,3.2062774,0.0086156195,59
0.14452472,3.3152907,0.01681503,0.16451083,3.1963334,0.0084762955,60
0.1297815,3.3678808,0.016670205,0.16123247,3.227697,0.007090448,61
0.14046244,3.3319643,0.015566196,0.16050538,3.2567866,0.007741684,62
0.13963144,3.322317,0.015570458,0.16047007,3.224894,0.010033378,63
0.14038283,3.318407,0.014364799,0.16042836,3.2371652,0.009661922,64
0.12905274,3.359891,0.014611828,0.15844193,3.2888007,0.0102500925,65
0.13035044,3.364699,0.016105898,0.16267332,3.2219484,0.008449136,66
0.14060806,3.312038,0.015752578,0.1624412,3.2192163,0.0085963495,67
0.14522128,3.3060365,0.0155866435,0.16548428,3.1859384,0.0071778027,68
0.13662685,3.3360825,0.016307635,0.16031605,3.2593398,0.010061871,69
0.13802111,3.3362844,0.017991018,0.16405095,3.20189,0.007433826,70
0.13202848,3.3322551,0.014992923,0.16237725,3.2319436,0.007695246,71
0.13796008,3.3175564,0.015462361,0.16158758,3.2128084,0.0080168,72
0.1366493,3.3285742,0.015101678,0.16165105,3.2358243,0.0067979023,73
0.13737175,3.316248,0.015357386,0.16339178,3.1826332,0.0073048514,74
0.12743829,3.3684688,0.0154925315,0.16319026,3.1899683,0.0078019057,75
0.14234005,3.273135,0.013584723,0.16590065,3.160775,0.007104965,76
0.13524541,3.3100073,0.012655795,0.16542791,3.188047,0.006221391,77
0.1383508,3.2988176,0.013456672,0.16469993,3.1813765,0.008315898,78
0.14049654,3.2842412,0.014497676,0.16214266,3.2000654,0.007974096,79
0.1427132,3.297925,0.014979768,0.16440119,3.161775,0.007690883,80
0.13573238,3.3004184,0.013915756,0.14985374,3.3947237,0.00852091,81
0.13345349,3.3075163,0.011733952,0.16235128,3.1977975,0.007467316,82
0.14451028,3.2657065,0.010435365,0.16460094,3.1707067,0.0067606512,83
0.14591287,3.2550848,0.012789765,0.16590399,3.1497421,0.006695014,84
0.12978953,3.3131957,0.012902291,0.16344039,3.1749265,0.007912662,85
0.15037501,3.2264054,0.010578368,0.1673049,3.1415594,0.0064000515,86
0.13868004,3.2916658,0.013708945,0.16320978,3.1962702,0.007738529,87
0.14197057,3.277906,0.014058931,0.16562146,3.1465385,0.0063805133,88
0.12978485,3.3303437,0.015282547,0.16544102,3.1681204,0.0063569886,89
0.13295881,3.296824,0.012886461,0.16058372,3.2185242,0.0065357042,90
0.13290693,3.2968063,0.010581238,0.16517247,3.1531205,0.0070795463,91
0.14099537,3.2390668,0.012783695,0.16159822,3.2104597,0.0069173095,92
0.13607338,3.2859929,0.012100178,0.16361684,3.1700666,0.0072030067,93
0.14381906,3.2564256,0.014416845,0.15989035,3.2447317,0.0073971148,94
0.13486147,3.3070128,0.014124014,0.15918702,3.2166772,0.0067735775,95
0.14442609,3.2421753,0.01087043,0.16578613,3.1506906,0.0070350585,96
0.14837688,3.2279067,0.012012737,0.16666393,3.141656,0.006964338,97
0.14333849,3.2497137,0.012210158,0.15957741,3.2640967,0.006770316,98
0.14001583,3.2840612,0.013148656,0.16474076,3.1784277,0.0068897586,99
0.13421345,3.2904088,0.012641517,0.15108266,3.4029868,0.008772885,100
0.13600245,3.270955,0.013199058,0.1674789,3.116417,0.0063086418,101
0.14544165,3.2391527,0.011329978,0.16497692,3.1713278,0.006431027,102
0.14656878,3.2413542,0.013993802,0.16441539,3.1648595,0.007625168,103
0.13977994,3.2621334,0.0115534635,0.1647279,3.155636,0.0068329554,104
0.1377701,3.2638133,0.011236814,0.16505927,3.1489954,0.0063966736,105
0.15100382,3.2190218,0.012826108,0.16645952,3.151676,0.007200882,106
0.15020332,3.2077339,0.010375251,0.16673695,3.1340258,0.0067540244,107
0.143086,3.2419245,0.01159708,0.16631503,3.1269941,0.0064110253,108
0.14064929,3.2515962,0.011663179,0.16397172,3.1582003,0.006449433,109
0.14523567,3.2211587,0.010505953,0.16463356,3.160655,0.006469439,110
0.14722924,3.2288568,0.010505702,0.16581899,3.1447184,0.006518448,111
0.14089018,3.2742167,0.013752011,0.16573952,3.1596534,0.0066234455,112
0.1445459,3.2205248,0.010562301,0.16038662,3.2566833,0.007298216,113
0.13662985,3.2399647,0.012408935,0.16450949,3.1591501,0.005953421,114
0.1352248,3.2682538,0.01233656,0.16451882,3.176111,0.006967895,115
