train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.08321789,5.2635694,0.2981322,0.008027787,5.3418317,0.29881743,0
0.156291,4.7353177,0.21276373,0.074507065,5.208492,0.20697708,1
0.14733681,4.542619,0.20750639,0.1292889,4.5837626,0.13282163,2
0.15505418,4.4244494,0.21881437,0.12914373,4.434126,0.12880316,3
0.14824095,4.3715324,0.22869739,0.13132635,4.339586,0.100882344,4
0.14938301,4.301529,0.18394472,0.1337429,4.270451,0.09070427,5
0.14786102,4.2671595,0.18250488,0.13663441,4.0625114,0.07597808,6
0.13944496,4.183414,0.15698376,0.1383192,4.0938463,0.10053289,7
0.15175623,3.99579,0.15808038,0.14077769,3.8231955,0.11556978,8
0.15054722,3.8744614,0.13561915,0.14360927,3.723036,0.08070744,9
0.14223102,3.8473842,0.1393808,0.14609908,3.6348228,0.060465075,10
0.1591424,3.7313082,0.10048426,0.14785312,3.5894294,0.0763712,11
0.15636215,3.6972399,0.102049366,0.14954013,3.5902917,0.035418097,12
0.16351691,3.6485422,0.08154175,0.14816783,3.5941203,0.03413214,13
0.16199791,3.6195893,0.08676024,0.15161355,3.5062883,0.033645973,14
0.17360255,3.5280995,0.075758465,0.15167436,3.5161428,0.05328747,15
0.16318782,3.5371118,0.06072851,0.15349364,3.4793007,0.022784699,16
0.16338977,3.5542104,0.06435542,0.15455988,3.4517913,0.030366711,17
0.16624163,3.5211504,0.05452168,0.15459584,3.4225135,0.023519782,18
0.17294165,3.4774604,0.054436658,0.15419322,3.4323602,0.027450789,19
0.16028039,3.4870021,0.050015863,0.15592773,3.402269,0.014634444,20
0.16131093,3.4712572,0.039179746,0.15536,3.361895,0.024678273,21
0.16902252,3.428446,0.045583803,0.15597434,3.3521638,0.046141114,22
0.15444587,3.4816165,0.04323542,0.15357001,3.422387,0.023159016,23
0.15564464,3.4620817,0.03473815,0.15535668,3.387909,0.01795691,24
0.17090884,3.4112802,0.041154254,0.15665017,3.3466194,0.014671675,25
0.17095773,3.3730674,0.03125163,0.15641645,3.3569634,0.017449362,26
0.17250447,3.3909063,0.03607862,0.15261342,3.4303858,0.028482996,27
0.17799304,3.3433146,0.03154586,0.15902522,3.3158073,0.009989314,28
0.1699141,3.3578143,0.029789155,0.15673696,3.3281014,0.011738089,29
0.16177557,3.3826978,0.030567892,0.15874845,3.3094697,0.017921401,30
0.1649711,3.3772879,0.03499723,0.1567718,3.3373437,0.01119903,31
0.17603837,3.3251135,0.02626912,0.16016136,3.2823646,0.008943423,32
0.16935739,3.3525293,0.02871522,0.15865543,3.3353071,0.0120227905,33
0.17858048,3.337947,0.0322026,0.16125244,3.267324,0.013431531,34
0.17126979,3.329975,0.028653469,0.16047674,3.2977486,0.008606877,35
0.18009225,3.2833564,0.02598012,0.16041905,3.2895834,0.009246218,36
0.16888823,3.3166566,0.026578944,0.16060346,3.265258,0.009216951,37
0.17429738,3.2968829,0.027402494,0.16192271,3.2504244,0.008775796,38
0.17433785,3.2844164,0.029278662,0.15946156,3.2736788,0.008094967,39
0.17365178,3.2983048,0.027837131,0.16098277,3.238825,0.009653004,40
0.1761218,3.2894342,0.028309016,0.16252352,3.2447836,0.015384526,41
0.17467298,3.2906513,0.03155649,0.16145264,3.261345,0.0075606373,42
0.17140314,3.2787592,0.025517825,0.16275612,3.2372766,0.013577023,43
0.18812437,3.218495,0.020910017,0.16255237,3.2176096,0.008700465,44
0.1724297,3.28003,0.024988083,0.16197465,3.2557244,0.0075093657,45
0.18060489,3.2298865,0.0208849,0.15979868,3.2605207,0.008495316,46
0.17763826,3.2327142,0.023792034,0.1604796,3.2419784,0.011031762,47
0.18102704,3.2239873,0.023988781,0.16113637,3.2350085,0.0072654155,48
0.17125784,3.2891438,0.0276914,0.16265203,3.2333565,0.007019301,49
0.17340596,3.2420058,0.02136749,0.16404963,3.1990442,0.007331811,50
0.17660198,3.234207,0.015961614,0.16186458,3.2209327,0.007666761,51
0.16686228,3.2717376,0.02107232,0.16376132,3.207818,0.0075987424,52
0.17589797,3.2335403,0.019620074,0.16322443,3.2018652,0.008713803,53
0.17458403,3.2570717,0.021596637,0.16304044,3.214722,0.010369333,54
0.1770965,3.224705,0.022724258,0.16293766,3.2099984,0.0071925833,55
0.1802541,3.196231,0.022733158,0.15480581,3.3507874,0.010300149,56
0.17670186,3.226376,0.020978885,0.16352494,3.1976233,0.0075277444,57
0.18606804,3.1981359,0.023614984,0.1635951,3.1996877,0.008055174,58
0.18570203,3.1664786,0.014762971,0.1659324,3.169909,0.006826547,59
0.17073174,3.1979845,0.016024213,0.16665572,3.1575277,0.0073604644,60
0.1704383,3.2335565,0.019191783,0.16488148,3.1722448,0.0069702375,61
0.18124112,3.1793032,0.018977406,0.16315097,3.1963885,0.008420586,62
0.17643028,3.1822767,0.016867504,0.1640514,3.1822145,0.007953557,63
0.18188766,3.165309,0.017506814,0.16186678,3.2072318,0.006722264,64
0.17128234,3.218203,0.017866286,0.16609465,3.1566648,0.0069192066,65
0.17012987,3.2235103,0.017250229,0.16342174,3.1999977,0.0067926478,66
0.17929998,3.182583,0.017491678,0.1626962,3.2096236,0.00697559,67
0.18313901,3.172065,0.018143732,0.1638572,3.1829169,0.0069786636,68
0.17904457,3.1987028,0.017880144,0.16683549,3.1534858,0.007883062,69
0.179896,3.1807048,0.02039367,0.16129683,3.2314918,0.007405582,70
0.1777283,3.196753,0.020163363,0.16288242,3.2103882,0.0063388194,71
0.18197076,3.162713,0.019861491,0.16540262,3.1595695,0.006895986,72
0.17678156,3.1794837,0.017951299,0.16365391,3.1884866,0.0071543125,73
0.18521863,3.14177,0.017358249,0.16380702,3.177673,0.007650022,74
0.1712731,3.2089388,0.016000617,0.16164929,3.2351763,0.0078513,75
0.18422304,3.133005,0.015059747,0.16646928,3.1461732,0.0067196847,76
0.17720227,3.1641772,0.014734394,0.16485241,3.176931,0.006466216,77
0.18301834,3.1536462,0.015370605,0.16373514,3.1709023,0.006645249,78
0.16191994,3.2300284,0.017532587,0.1641617,3.1703568,0.0068636714,79
0.18477914,3.130059,0.015501185,0.16433239,3.1917365,0.007401384,80
0.18391773,3.1270099,0.016407179,0.16535844,3.1599696,0.0065696086,81
0.17542785,3.1521611,0.013856001,0.16713291,3.1342018,0.006661844,82
0.17469367,3.1708696,0.017531063,0.16465265,3.1569173,0.006616391,83
0.1800998,3.1627533,0.022124363,0.16535376,3.1578674,0.006844822,84
0.18495178,3.1282952,0.014485561,0.16862284,3.1287658,0.005636497,85
0.17213328,3.180076,0.015108439,0.16587713,3.1469316,0.0062532066,86
0.1839945,3.122868,0.014525617,0.16497159,3.1627176,0.00857805,87
0.17015392,3.1829195,0.017602004,0.16905096,3.1242914,0.006676136,88
0.1921203,3.0938165,0.011718972,0.16467352,3.153163,0.0068214596,89
0.18764511,3.1211314,0.0136706615,0.1663239,3.132851,0.006444739,90
0.17635888,3.1468413,0.013517225,0.16735639,3.1377878,0.006293756,91
0.19480823,3.0762,0.014515854,0.16254683,3.2081482,0.007492579,92
0.18062249,3.1290276,0.016847637,0.16560079,3.1581025,0.006153373,93
0.17677392,3.1447942,0.012611748,0.1661763,3.1500983,0.0063362885,94
0.17387961,3.1604934,0.013459369,0.16508676,3.1634736,0.0067325025,95
0.18353143,3.1120403,0.012937111,0.16372158,3.163139,0.006688927,96
0.18524663,3.1035917,0.015720667,0.16628438,3.1320314,0.0060804724,97
0.18622123,3.1104212,0.012318342,0.16666637,3.1372452,0.005917211,98
0.1767859,3.15291,0.016417012,0.16527212,3.157169,0.0060506565,99
0.1818021,3.1204512,0.013925908,0.15932418,3.2596323,0.006945391,100
0.17193301,3.1475608,0.01370409,0.16419323,3.1922126,0.0070082247,101
0.19079879,3.092404,0.014459889,0.16619495,3.1362524,0.006208138,102
0.17473061,3.144978,0.016197454,0.16810304,3.1150942,0.0063507273,103
0.18060942,3.1353915,0.014471532,0.16617143,3.153123,0.0060131033,104
0.17419843,3.144668,0.0145502845,0.16709739,3.1414895,0.0061740275,105
0.17633681,3.1256232,0.01491324,0.16528365,3.1357565,0.006479567,106
0.17555462,3.1263156,0.012868071,0.1665463,3.1327195,0.005904973,107
0.17959484,3.115043,0.01399837,0.1668801,3.13814,0.00625523,108
