train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.070457056,5.268915,0.25084388,0.008843883,5.3352156,0.26316392,0
0.1007278,4.837928,0.23095644,0.06704013,5.173991,0.18738298,1
0.11298812,4.6140075,0.16424848,0.10445888,4.650493,0.08814085,2
0.11627723,4.519174,0.14873652,0.1077244,4.4467316,0.08817548,3
0.10288301,4.4364595,0.15023963,0.11176181,4.235378,0.096014,4
0.10716738,4.2768164,0.15424179,0.114498846,4.1520157,0.09296167,5
0.106511064,4.1836667,0.13604829,0.11752376,3.9901626,0.06328156,6
0.11510232,4.043416,0.10646175,0.12138317,3.956336,0.051627114,7
0.1203732,3.9524,0.08602696,0.12004506,3.808985,0.0384573,8
0.128824,3.8842146,0.068546616,0.117888406,3.7834845,0.043285225,9
0.1154368,3.862665,0.06271285,0.123168714,3.6783898,0.044203453,10
0.12395272,3.7802296,0.05490724,0.1254177,3.7791872,0.053260084,11
0.12532496,3.7611942,0.050798826,0.12630703,3.6540232,0.026853215,12
0.12095603,3.7402728,0.048966363,0.123017795,3.6359787,0.14473431,13
0.13377388,3.6990652,0.04855661,0.12702237,3.6013231,0.035787147,14
0.11527136,3.720031,0.041228317,0.12599076,3.579662,0.027242094,15
0.122891605,3.6823757,0.039818354,0.1304732,3.550161,0.01633948,16
0.12146632,3.6682336,0.029202325,0.13083805,3.507096,0.03063588,17
0.1294812,3.6201751,0.031717323,0.13033935,3.5322478,0.02421763,18
0.12249289,3.6425714,0.027369015,0.12803446,3.5428581,0.016440548,19
0.12899317,3.6159153,0.029331852,0.1283576,3.5115378,0.024263235,20
0.12594856,3.589767,0.028216239,0.1316726,3.494993,0.023115963,21
0.12967193,3.5856764,0.025892345,0.13360906,3.4551566,0.017146885,22
0.13152085,3.5437872,0.022941524,0.13205455,3.431064,0.021397168,23
0.12929086,3.52742,0.022589328,0.1336368,3.4361608,0.0129764,24
0.12136596,3.6004207,0.03345165,0.13172077,3.452751,0.011783432,25
0.12505043,3.5424557,0.022659466,0.1333667,3.4203224,0.011449522,26
0.12788573,3.546137,0.025172433,0.13396972,3.4273202,0.020987945,27
0.13054124,3.5101063,0.022816308,0.13190009,3.456617,0.023122584,28
0.12779233,3.5215642,0.021467052,0.13498758,3.387042,0.010605544,29
0.13339028,3.466744,0.019831602,0.1335285,3.387451,0.010936425,30
0.13595346,3.4437165,0.016184308,0.13027677,3.5042999,0.020231865,31
0.12264754,3.5157776,0.02431826,0.1305391,3.4862852,0.01394082,32
0.1314352,3.4855,0.022555443,0.13177048,3.4227011,0.00914539,33
0.13004309,3.4465718,0.016710635,0.13511764,3.367659,0.008374675,34
0.1321607,3.4475164,0.020916712,0.13558327,3.3690414,0.009221796,35
0.1328045,3.4438891,0.020757595,0.13398215,3.378492,0.011849022,36
0.1376094,3.4155765,0.01470071,0.13461958,3.388916,0.013559929,37
0.13594799,3.4068663,0.01949126,0.12996739,3.4458272,0.009454898,38
0.12547582,3.4529443,0.020140951,0.13650836,3.3658018,0.02156661,39
0.12852165,3.4544559,0.02021389,0.1364917,3.3534522,0.008738164,40
0.13545348,3.3945804,0.015451378,0.13742477,3.345774,0.012641242,41
0.13532177,3.3713384,0.013682238,0.13786377,3.3454611,0.010820954,42
0.14985278,3.327482,0.015208391,0.13439697,3.3531394,0.0107165575,43
0.13340297,3.4218175,0.018958485,0.13844928,3.3397715,0.008399252,44
0.13383979,3.4001203,0.014210236,0.1353469,3.353225,0.010729254,45
0.14094205,3.3648963,0.01615138,0.1365594,3.3621137,0.010109485,46
0.1391815,3.364013,0.0150175,0.13663219,3.3392136,0.009378821,47
0.14289714,3.343328,0.0152655775,0.13820511,3.3111162,0.009130087,48
0.13782153,3.3810244,0.01581823,0.13862215,3.3108568,0.008196942,49
0.13515377,3.3673742,0.015506087,0.1376203,3.3225553,0.011632794,50
0.13620307,3.3740742,0.014786837,0.13401079,3.3824022,0.013627115,51
0.14197916,3.335496,0.01694837,0.13795608,3.3153703,0.0100334175,52
0.14193456,3.3326066,0.013303779,0.13849719,3.3039024,0.0082762875,53
0.1326738,3.390293,0.017120386,0.14000066,3.2966661,0.011685615,54
0.1490537,3.2908697,0.012988766,0.13947576,3.3057597,0.016380168,55
0.13559675,3.3351915,0.012384947,0.13496937,3.3459082,0.007830705,56
0.13828991,3.3417404,0.014755752,0.14067028,3.2878435,0.010647104,57
0.14143214,3.332488,0.015641745,0.14041549,3.2711473,0.007706284,58
0.13775614,3.3426661,0.012859381,0.12898216,3.4594269,0.009591311,59
0.13937706,3.3285174,0.015149451,0.1334992,3.3667986,0.008308414,60
0.1365537,3.3196976,0.014039535,0.13846724,3.2910414,0.008786647,61
0.13328286,3.3337705,0.012937735,0.13999,3.2862349,0.007996075,62
0.13919064,3.3010497,0.012480764,0.1390401,3.2734156,0.007994527,63
0.143114,3.2989674,0.012997219,0.13423873,3.3458261,0.007870603,64
0.13166791,3.3397064,0.012417141,0.13855135,3.2944186,0.008576072,65
0.15315774,3.258875,0.012053371,0.13750088,3.3006907,0.008274928,66
0.14306414,3.293006,0.012445582,0.13750044,3.2952368,0.00775982,67
0.14129189,3.3004124,0.01288538,0.14150058,3.2561076,0.007712144,68
0.14231077,3.3034303,0.014791399,0.1404388,3.2743547,0.009338521,69
0.14292207,3.301822,0.011589781,0.13892533,3.2939117,0.008029852,70
0.13184772,3.3281243,0.010158431,0.14091288,3.2790792,0.007968736,71
0.13347913,3.3219573,0.012161784,0.13610262,3.3234649,0.008386146,72
0.13704328,3.2937922,0.009055082,0.1368011,3.3034394,0.00824739,73
0.13634554,3.3086088,0.011871355,0.13560236,3.310006,0.007276244,74
0.13906658,3.3118856,0.011808536,0.14183949,3.250506,0.007738645,75
0.1458728,3.2603247,0.010147856,0.13474032,3.33275,0.008090589,76
0.13509984,3.3201823,0.011288874,0.13567027,3.3144479,0.008381961,77
