train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.10701547,5.2277865,0.29954314,0.00780562,5.346108,0.29877445,0
0.1924404,4.6550956,0.1890214,0.008490766,5.2003202,0.31012622,1
0.17867649,4.4339204,0.17788018,0.12900901,4.613106,0.113117695,2
0.17651632,4.3108907,0.17804506,0.12989968,4.4928,0.1124378,3
0.1924516,4.1732078,0.16730386,0.1310043,4.3669353,0.11383141,4
0.18446974,4.166015,0.18194614,0.13102895,4.286016,0.103617676,5
0.19260615,4.054139,0.14787044,0.13438344,4.200274,0.09858524,6
0.1901131,4.026659,0.16500239,0.13516667,4.1153297,0.10017057,7
0.19958436,3.8837788,0.15308057,0.13773747,4.0516405,0.15496218,8
0.20001301,3.8407423,0.13883227,0.138932,4.0647726,0.07325703,9
0.18555193,3.8150787,0.14375152,0.13979758,3.8694308,0.109461695,10
0.20292395,3.6739836,0.13030514,0.14301625,4.0375257,0.06964225,11
0.19635439,3.641488,0.104931526,0.14784135,3.7895958,0.031782486,12
0.1895494,3.5974507,0.09247041,0.14723589,3.6219466,0.035700656,13
0.20705272,3.4856706,0.070163384,0.14920433,3.5743866,0.021681137,14
0.19685736,3.502832,0.08317801,0.15162463,3.5271838,0.018978832,15
0.20261829,3.4212272,0.06452541,0.14992765,3.528289,0.02481959,16
0.19307554,3.492105,0.06621998,0.15405783,3.4863646,0.017837362,17
0.20326585,3.4191625,0.06947401,0.15395753,3.4444895,0.017310457,18
0.19393075,3.399652,0.05973801,0.15542883,3.420106,0.018344728,19
0.20150226,3.3722773,0.06523231,0.15339844,3.4321244,0.014518324,20
0.20039223,3.3628712,0.052270196,0.15513651,3.4565,0.016700562,21
0.20271552,3.3432152,0.051019374,0.15451127,3.4088852,0.012159356,22
0.20532636,3.299003,0.046875823,0.15505992,3.3933907,0.014395457,23
0.20310545,3.2986448,0.056361146,0.15489304,3.3923523,0.017685417,24
0.21623477,3.2539265,0.051444475,0.15873624,3.3582327,0.010322068,25
0.20783713,3.2633638,0.039387673,0.15539306,3.391654,0.018494463,26
0.20142978,3.2934463,0.058321144,0.15685724,3.348459,0.014475086,27
0.21002261,3.2479157,0.051517498,0.15968041,3.33842,0.009919103,28
0.19979808,3.2810912,0.041185685,0.15642445,3.3639724,0.010545591,29
0.2126608,3.1993794,0.041353304,0.15917702,3.2991686,0.00979676,30
0.21125394,3.2221959,0.049374625,0.16025546,3.2794814,0.010693415,31
0.20374277,3.245953,0.055866428,0.15866476,3.2903726,0.010951526,32
0.20642333,3.1966305,0.036548737,0.15989281,3.2883947,0.009576151,33
0.21786751,3.1622472,0.0426492,0.15938942,3.296064,0.012833897,34
0.20693617,3.1793983,0.038241815,0.16093618,3.2736318,0.010080287,35
0.21662468,3.14798,0.045175478,0.15631837,3.440764,0.012253332,36
0.2053851,3.208302,0.045961868,0.16222635,3.2631202,0.011000074,37
0.21419689,3.1441,0.042201404,0.16050892,3.2787497,0.008177746,38
0.20825948,3.1856887,0.034195233,0.1630531,3.2861266,0.00771006,39
0.20825882,3.1693583,0.03399129,0.16001487,3.2762556,0.008563724,40
0.20816006,3.1669142,0.04015499,0.1620692,3.2597864,0.008567692,41
0.2108511,3.1346645,0.028483229,0.16345371,3.229762,0.009825801,42
0.20653026,3.1712835,0.03185385,0.16057993,3.2735832,0.00918731,43
0.19610123,3.1940796,0.037729718,0.16257457,3.2248144,0.0108442,44
0.21882881,3.1069126,0.027837472,0.1593719,3.2573576,0.008946718,45
0.20843703,3.1411746,0.031634156,0.16322398,3.2367623,0.009712809,46
0.20739713,3.145561,0.032865614,0.16021883,3.245001,0.008840326,47
0.21080813,3.1268198,0.035519995,0.16226561,3.2363431,0.0076504364,48
0.21757045,3.0781596,0.022250641,0.16060458,3.2415082,0.00945642,49
0.22578824,3.059471,0.026301779,0.16071601,3.3064291,0.008121828,50
0.2058569,3.1363804,0.02703439,0.1618042,3.2201715,0.008088238,51
0.20946148,3.125427,0.027977495,0.16188699,3.2418494,0.007988272,52
0.2260929,3.026858,0.020975783,0.16133034,3.2319422,0.00882719,53
0.21528159,3.0929132,0.02620782,0.16208163,3.2227075,0.007955759,54
0.2193849,3.048128,0.026080573,0.16078281,3.256209,0.0073971166,55
0.21270972,3.0924718,0.024035918,0.15566184,3.3592436,0.012395967,56
0.2243079,3.0309901,0.028393753,0.16518776,3.192626,0.0090796035,57
0.21500555,3.075172,0.027998058,0.16465244,3.1889982,0.007839247,58
0.20019728,3.1454804,0.03393911,0.16225941,3.2182014,0.008486197,59
0.21178506,3.07819,0.032237,0.1615787,3.2300005,0.008420103,60
0.21415977,3.049003,0.02915762,0.16196133,3.236959,0.00871631,61
0.22045618,3.0436683,0.022136502,0.16315652,3.199392,0.0073801237,62
0.22398287,3.033557,0.028515738,0.16517311,3.1934698,0.0074936585,63
0.22167307,3.0182703,0.024494382,0.16614614,3.183547,0.007411106,64
0.22458984,3.03118,0.036032517,0.16687125,3.1445801,0.007287755,65
0.21785195,3.0290177,0.024176633,0.16496316,3.179104,0.007281745,66
0.21366864,3.0618124,0.02534664,0.1644902,3.1991556,0.008024322,67
0.22688723,2.9994845,0.025259389,0.16362835,3.1991613,0.0081434315,68
0.2161433,3.0438683,0.027742144,0.16322576,3.2018156,0.007545432,69
0.21631303,3.055336,0.02365678,0.16279031,3.2185335,0.008214326,70
0.22228451,3.0328028,0.025690451,0.16393334,3.1828513,0.009260139,71
0.21088514,3.0608013,0.027503304,0.16166128,3.225278,0.006828713,72
0.23395793,2.9589667,0.022737257,0.16297786,3.1792543,0.007666581,73
0.22070275,3.0225914,0.021913674,0.16799162,3.1567507,0.007571851,74
0.21435207,3.0422282,0.02120233,0.16263427,3.2122285,0.007292446,75
0.2198758,3.0244775,0.021515,0.16458851,3.1839125,0.006896801,76
0.21202534,3.0449834,0.02216343,0.16278455,3.2159972,0.00634039,77
0.22294019,2.9847906,0.022559635,0.16640712,3.1659544,0.0073090587,78
0.20854855,3.0401433,0.02045171,0.16386187,3.1775613,0.0075113755,79
0.21842438,3.0148163,0.020423993,0.16602427,3.1416588,0.007331295,80
0.22925037,2.9638097,0.019500114,0.15547298,3.3585944,0.011321541,81
0.22373909,3.0093668,0.027885025,0.16620028,3.1473143,0.0076783136,82
0.21350849,3.023929,0.01894664,0.16809304,3.1345778,0.0067802905,83
0.22385132,2.9806285,0.021147486,0.16427623,3.17811,0.006592703,84
0.22167857,2.9815922,0.019541167,0.16868009,3.1257775,0.00701055,85
0.2151198,3.0211818,0.018545426,0.16799226,3.134649,0.007729131,86
0.2247296,2.9871764,0.020374343,0.16604781,3.1441844,0.007939118,87
0.21827267,2.998055,0.02354652,0.1640272,3.1868818,0.006732403,88
0.21668032,3.0310142,0.023097526,0.16715755,3.129218,0.006864645,89
0.22303058,2.9716618,0.019146355,0.16809504,3.130435,0.0068319156,90
0.21264489,3.0309858,0.02657272,0.16353737,3.165459,0.006793778,91
0.21464811,3.0111978,0.026541008,0.16532515,3.1612551,0.0069084214,92
0.21795906,2.988587,0.019762479,0.164907,3.1548471,0.005806933,93
0.22482033,2.9751506,0.0215385,0.16524059,3.154219,0.0070528416,94
0.21802746,2.9819372,0.018172422,0.16904563,3.1334624,0.006081733,95
0.2189505,2.9821928,0.02080315,0.16778742,3.133722,0.0066705286,96
0.21380888,3.0322633,0.027088061,0.1680087,3.120628,0.007009605,97
0.20081738,3.054101,0.024840875,0.16692738,3.1179743,0.0070229266,98
0.21853618,2.9882517,0.018910678,0.16652921,3.1457276,0.006620993,99
0.22792885,2.9334896,0.018448573,0.16398215,3.1923773,0.0071850372,100
0.23396702,2.9289982,0.018951004,0.16457254,3.159215,0.007896132,101
0.21508464,2.992905,0.020529794,0.16646905,3.1422067,0.0070213596,102
0.22002679,2.976517,0.018811595,0.17023948,3.1220744,0.007177037,103
0.22120558,2.9620204,0.019623104,0.16516846,3.1456466,0.0059942435,104
0.23551151,2.9084394,0.019267505,0.16604225,3.1315339,0.006038101,105
0.22996151,2.9271748,0.017652215,0.16914973,3.1028707,0.0067050303,106
0.2255432,2.9552941,0.021784103,0.16800047,3.1173568,0.0066356678,107
0.23619005,2.903757,0.01853925,0.16845416,3.1141894,0.006129071,108
0.21777491,2.970331,0.01747664,0.16788243,3.1071146,0.0065532476,109
0.21646425,2.9646463,0.020395163,0.16755062,3.1181936,0.006973536,110
0.23043855,2.9148304,0.017910361,0.16417125,3.1545622,0.006020569,111
0.22997986,2.9188383,0.019528143,0.16482268,3.1467385,0.007420471,112
0.21623234,2.9824371,0.019472552,0.16413884,3.189767,0.0075890017,113
0.22630452,2.9376657,0.019352749,0.16240257,3.1996794,0.007688112,114
0.22839215,2.9279945,0.020855948,0.1681676,3.11892,0.007714176,115
0.21507037,2.9899714,0.020722575,0.16584207,3.1500168,0.006531721,116
0.2242286,2.9544227,0.018545706,0.16868252,3.1041315,0.0069460375,117
0.21592867,2.9821634,0.020634705,0.16919567,3.1078672,0.0059031667,118
0.2115588,2.9907227,0.018923916,0.1619205,3.23645,0.008327605,119
0.21457814,2.9740357,0.018053519,0.1669196,3.1283991,0.0072149066,120
0.22386478,2.9289706,0.018381014,0.16864058,3.1062033,0.006451851,121
0.21840999,2.9548051,0.018027274,0.16890204,3.107772,0.006516899,122
0.2164188,2.9552798,0.015432474,0.16748446,3.1202867,0.006072198,123
0.23212199,2.8962529,0.01794335,0.17132081,3.0699492,0.0064604236,124
0.21704178,2.971643,0.01593697,0.16783093,3.1086016,0.006454617,125
0.22843468,2.9108562,0.019222252,0.16716507,3.1261415,0.0065107434,126
0.21826701,2.939449,0.016215995,0.1618488,3.2272303,0.008262524,127
0.21645726,2.9770255,0.01818801,0.16828658,3.0978434,0.006247238,128
