train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.123591654,5.1670723,0.26342684,0.008903366,5.340682,0.26432362,0
0.18930288,4.5785117,0.18898663,0.009418722,5.1739917,0.26271486,1
0.19191334,4.3256593,0.19958785,0.10390225,4.547183,0.087231055,2
0.18953338,4.284432,0.19234647,0.10480225,4.479437,0.17021626,3
0.18448249,4.2153864,0.19612345,0.10572865,4.4513993,0.11649012,4
0.19183098,4.12194,0.19750157,0.10710249,4.3312955,0.10062396,5
0.18880562,4.0598917,0.17821643,0.109857075,4.276576,0.13286692,6
0.18255454,4.0427446,0.16735236,0.11246493,4.1705837,0.12105682,7
0.20519102,3.8336027,0.1408126,0.11627264,4.0025983,0.08267427,8
0.19422045,3.7629156,0.12714326,0.11770685,3.9832952,0.056388065,9
0.19100767,3.6917775,0.13099292,0.120505355,3.8594217,0.057537924,10
0.18360023,3.6502934,0.13548954,0.123219326,3.7473974,0.033591386,11
0.18626018,3.6064794,0.106590465,0.12089777,3.7848687,0.03266087,12
0.19140507,3.5590947,0.09114482,0.12682527,3.6866324,0.052412465,13
0.19828945,3.4874594,0.08700606,0.12619807,3.6546304,0.051972687,14
0.21580957,3.3906844,0.09983962,0.12552999,3.6968482,0.033471014,15
0.20231143,3.4143786,0.10051868,0.1273575,3.5901728,0.021166772,16
0.21725455,3.3366401,0.067054,0.12944491,3.5503922,0.021309786,17
0.1968538,3.4187639,0.11625669,0.1264584,3.5845435,0.01872974,18
0.19974372,3.3834395,0.08090176,0.12550691,3.6567914,0.03590629,19
0.18972409,3.4063442,0.11245013,0.12920453,3.5751815,0.02818635,20
0.18548724,3.4020023,0.07995797,0.13001774,3.5531752,0.05335991,21
0.2146096,3.2577353,0.051914338,0.13032714,3.5094094,0.035756323,22
0.20461926,3.3213623,0.07621286,0.1325817,3.4583933,0.015724348,23
0.21030292,3.2488775,0.059061024,0.13116188,3.5467246,0.01569011,24
0.20100012,3.2808337,0.064776756,0.13246359,3.4471204,0.014526922,25
0.21856624,3.2000735,0.05013359,0.12983266,3.533245,0.016718676,26
0.19557369,3.305145,0.050948974,0.13330233,3.4224272,0.011068109,27
0.20196904,3.2592957,0.045408458,0.13213046,3.483447,0.013790488,28
0.20659304,3.2492468,0.05757939,0.1311237,3.455873,0.04323894,29
0.21262173,3.2147753,0.05612026,0.13372958,3.414483,0.0104565,30
0.19249597,3.284011,0.06853935,0.1331494,3.4214494,0.010334252,31
0.21333139,3.1922426,0.04347316,0.1351416,3.4404328,0.014510217,32
0.20576605,3.2060115,0.043580588,0.13621715,3.3697562,0.011245881,33
0.1988371,3.2531056,0.048379235,0.13554731,3.3837433,0.009802083,34
0.22297284,3.1326656,0.04225822,0.13514847,3.3909934,0.011910665,35
0.21867217,3.1185834,0.038562585,0.13022706,3.4944344,0.009498003,36
0.20804067,3.1813974,0.03603619,0.13577348,3.3835657,0.011476724,37
0.21324384,3.1461377,0.037057377,0.1346338,3.375027,0.011536296,38
0.22596359,3.0805593,0.030036528,0.13768332,3.3673666,0.009001985,39
0.20362625,3.186219,0.040385075,0.13702393,3.3544936,0.011910468,40
0.20619813,3.1677072,0.034098927,0.1328247,3.4408424,0.010663908,41
0.20959374,3.13891,0.03231314,0.1382506,3.3477209,0.010096842,42
0.20824793,3.1423342,0.03408501,0.13664883,3.335955,0.012763774,43
0.20732406,3.147296,0.035695583,0.1382129,3.3383896,0.00851604,44
0.2204568,3.095199,0.0356316,0.1334355,3.445202,0.009112477,45
0.21186993,3.1331885,0.03028291,0.13707785,3.3226576,0.008909938,46
0.20722884,3.1224053,0.029161315,0.13679753,3.329437,0.009985822,47
0.21283701,3.1193671,0.029536307,0.13902055,3.3194952,0.009056129,48
0.21472172,3.1006336,0.030998526,0.1381905,3.329425,0.011203231,49
0.22252287,3.0532842,0.034137323,0.13215888,3.4130456,0.021906976,50
0.20782615,3.114681,0.027514158,0.13877596,3.3115714,0.009541003,51
0.21274573,3.0986013,0.030773384,0.14065696,3.3028364,0.009025875,52
0.20767842,3.1054657,0.024418078,0.13656071,3.3636458,0.009592957,53
0.21210451,3.0985556,0.029570756,0.13956232,3.3205404,0.008255325,54
0.224059,3.0452957,0.031457957,0.13808528,3.3129501,0.009740918,55
0.21917352,3.0499442,0.031790607,0.14143287,3.2819457,0.007531905,56
0.20628104,3.1222925,0.025946025,0.1374041,3.3413649,0.0077795614,57
0.21123332,3.0843947,0.03227051,0.14166659,3.2765136,0.009472813,58
0.2035327,3.0959127,0.027714599,0.13889004,3.3315535,0.015455762,59
