train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.1463187,5.00671,0.26542157,0.010257976,5.3095407,0.3786809,0
0.18963978,4.4432635,0.24394242,0.19244792,4.265339,0.22619256,1
0.17894818,4.378513,0.29337013,0.19313721,4.268848,0.2117533,2
0.19536084,4.24048,0.31509376,0.19280447,4.065581,0.22628525,3
0.19276676,4.166431,0.31741053,0.19409224,4.049781,0.14333093,4
0.18728775,4.130058,0.33897108,0.19186385,4.026445,0.37130544,5
0.19106002,4.0558043,0.3236984,0.19495466,3.8685079,0.14077578,6
0.19553298,3.923707,0.2928426,0.19671227,3.7990937,0.12975009,7
0.19139194,3.8963869,0.27696314,0.19748558,3.6069024,0.19767475,8
0.19433925,3.7684624,0.24633506,0.19955008,3.574782,0.18176217,9
0.19023806,3.7066362,0.19437154,0.20380618,3.4667878,0.11435417,10
0.19949146,3.5956883,0.16266547,0.20704567,3.4415708,0.050981335,11
0.19048087,3.6110957,0.14718972,0.20844157,3.406467,0.03504029,12
0.2211784,3.4546647,0.11781289,0.21031272,3.3359838,0.01982324,13
0.21056163,3.46355,0.1109301,0.21105853,3.3112683,0.020496227,14
0.19304074,3.5360887,0.10321404,0.21059327,3.2729728,0.10068315,15
0.20777282,3.42043,0.0796971,0.21167083,3.2380157,0.070609346,16
0.19846898,3.4430475,0.0758688,0.21337263,3.2681892,0.026943011,17
0.2087592,3.372218,0.07386671,0.21040154,3.2892983,0.03785581,18
0.21245202,3.3625457,0.07406277,0.21463798,3.2364466,0.02593785,19
0.20495713,3.3513713,0.06141638,0.21419153,3.192268,0.018266154,20
0.22039033,3.2827756,0.06002953,0.21432026,3.2157044,0.036483794,21
0.20600064,3.3555346,0.06586216,0.21727853,3.152628,0.020785313,22
0.2085881,3.3051436,0.052594736,0.21546723,3.1487932,0.015580581,23
0.21433303,3.2698865,0.04921017,0.21583566,3.2048783,0.042201314,24
0.20149902,3.3269706,0.056498233,0.21460381,3.2321453,0.030888524,25
