train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.10746329,5.2715926,0.3360533,0.023637248,5.3517632,0.38650218,0
0.17705438,4.7131624,0.18422681,0.021504128,5.2671347,0.368768,1
0.18149137,4.4451694,0.18162827,0.1864147,4.43383,0.12471729,2
0.17903021,4.335978,0.18501984,0.19476141,4.1901197,0.1545757,3
0.18325378,4.258966,0.18255629,0.19154519,4.223065,0.13207358,4
0.177963,4.2198224,0.18047352,0.1950335,4.0608473,0.12881045,5
0.17884667,4.186286,0.1887236,0.19426714,4.0578184,0.1595499,6
0.18204194,4.1171784,0.19079068,0.19779676,3.968814,0.1682942,7
0.18248454,4.061017,0.19135441,0.19837956,3.875772,0.15280002,8
0.18475758,3.9775562,0.1796288,0.19862927,3.8361473,0.10946527,9
0.18616246,3.916541,0.1671014,0.20006657,3.863994,0.1539051,10
0.18568201,3.880051,0.15910928,0.20105848,3.7312057,0.112265535,11
0.18801863,3.8554807,0.15707876,0.2020408,3.7153647,0.106759876,12
0.19083071,3.8251035,0.15309063,0.20140514,3.7131524,0.10772093,13
0.19403411,3.7926524,0.15484276,0.20254551,3.697129,0.11035357,14
0.1904569,3.7678146,0.1430049,0.20351806,3.6478295,0.10089615,15
0.18920133,3.768926,0.13412343,0.20322533,3.6429346,0.08583995,16
0.1897466,3.7619426,0.14324561,0.20394844,3.623047,0.0987644,17
0.19127803,3.7395449,0.13709496,0.20418988,3.641713,0.09117972,18
0.18559864,3.7548115,0.13224702,0.20384699,3.632367,0.090982154,19
0.18866794,3.7279832,0.12984334,0.20369872,3.606508,0.082024366,20
0.1871579,3.725615,0.12583715,0.20261875,3.6232398,0.08272732,21
0.19337146,3.6878774,0.1218172,0.20379949,3.6092227,0.08805967,22
0.19498037,3.6803098,0.12776665,0.20427667,3.6182756,0.07731963,23
0.19667426,3.6674998,0.12871987,0.20457077,3.5920851,0.088189,24
0.1907799,3.666008,0.11742431,0.20438145,3.5750191,0.084412344,25
0.18849963,3.6790092,0.1167038,0.20502129,3.5622842,0.0751696,26
0.18883298,3.663758,0.11410986,0.20524903,3.557276,0.076120585,27
0.19814323,3.6298976,0.11749951,0.20548517,3.5592813,0.07329978,28
0.19688109,3.6378608,0.1160305,0.20500799,3.5533621,0.07234593,29
0.193679,3.6416667,0.11504794,0.20566097,3.550567,0.06922455,30
0.1942182,3.626202,0.108454995,0.20525724,3.5597672,0.07658349,31
0.19558595,3.618672,0.10622613,0.20533401,3.5553603,0.064944394,32
0.19252035,3.6356685,0.11197313,0.20598611,3.5436974,0.06611438,33
0.19622432,3.6055832,0.11127601,0.20583186,3.5301147,0.06840903,34
0.19097261,3.6232681,0.11135769,0.20499358,3.5780237,0.08100849,35
0.19307125,3.6097772,0.10644844,0.20632902,3.5360954,0.05977347,36
0.19659746,3.5989366,0.106245585,0.20614944,3.518148,0.07781918,37
0.1961477,3.5849855,0.0987364,0.20664217,3.5154998,0.07043194,38
0.19369176,3.5929852,0.101802796,0.20568317,3.5357957,0.078452915,39
0.19494952,3.5838718,0.10159677,0.20601763,3.5659246,0.06777426,40
0.19327652,3.589476,0.09689482,0.20421742,3.6397858,0.07063227,41
0.19034451,3.6028566,0.0962934,0.20599832,3.5132294,0.06489597,42
0.19707856,3.5714564,0.1002751,0.20474964,3.59299,0.06842398,43
0.19556023,3.5699568,0.097017094,0.20560414,3.5436785,0.071809106,44
0.19120649,3.58096,0.09673912,0.20647617,3.5095866,0.071035884,45
0.19836384,3.5460033,0.10046507,0.20607133,3.5471385,0.07027996,46
0.19698744,3.5505443,0.09834093,0.20663042,3.528514,0.071381696,47
0.19688396,3.5379763,0.092425294,0.20653076,3.5079277,0.06876719,48
0.19581416,3.5459127,0.09169968,0.20618896,3.5286386,0.05574371,49
0.19679797,3.5302217,0.08956633,0.20679465,3.5274432,0.06502528,50
0.19746388,3.5483103,0.09662532,0.20633188,3.5225565,0.071438864,51
0.20181729,3.5261273,0.09372376,0.20610285,3.5319986,0.07696391,52
0.19699563,3.5345216,0.09332493,0.20753597,3.5010626,0.06667524,53
0.19672468,3.5337245,0.092254885,0.2071098,3.5014715,0.05477458,54
0.1962266,3.5274122,0.08831082,0.2073533,3.4958212,0.057006154,55
0.19827038,3.5217428,0.08915647,0.20686148,3.5255938,0.057158504,56
0.19866702,3.5141928,0.08772747,0.20715041,3.520479,0.053355034,57
0.202473,3.5064206,0.093757175,0.20661844,3.5408685,0.061252177,58
0.1930035,3.5265803,0.09011103,0.20606336,3.5406923,0.05855225,59
0.20029229,3.4973948,0.0876291,0.20625113,3.53705,0.066679835,60
0.1959127,3.5189114,0.09484511,0.20677711,3.5044167,0.065729454,61
0.19473653,3.508575,0.08608763,0.20714955,3.4981585,0.054116175,62
0.19829166,3.4978464,0.08294734,0.20709829,3.490924,0.05742898,63
0.19611134,3.5000348,0.08343806,0.20715421,3.5000129,0.049952086,64
0.1951006,3.5081608,0.08637767,0.20727496,3.504454,0.05321704,65
0.19293453,3.5029001,0.08377027,0.20766646,3.494513,0.058573343,66
0.19726044,3.4930575,0.08382736,0.20254837,3.6554956,0.07755745,67
0.19442071,3.4998987,0.08157506,0.20757346,3.5130942,0.054560937,68
0.1991243,3.4811344,0.082690336,0.207334,3.4928503,0.07245903,69
0.19695435,3.4762022,0.08263709,0.2074017,3.4931617,0.049351897,70
0.19354387,3.5071452,0.08321707,0.20665683,3.51847,0.05965487,71
0.1954859,3.4814398,0.08058761,0.20749046,3.491559,0.058887843,72
0.20181724,3.4565463,0.08125303,0.20854625,3.470941,0.057518657,73
0.1997329,3.4621608,0.0788299,0.20744896,3.4967597,0.053704705,74
0.19750567,3.4613266,0.07592295,0.20764893,3.5098383,0.052071884,75
0.1941947,3.4822583,0.077435486,0.20794521,3.472998,0.05719115,76
0.19803108,3.4588287,0.0766301,0.20738216,3.4933197,0.052752435,77
0.19925466,3.4540899,0.07362565,0.20727606,3.5121512,0.0506509,78
0.1993923,3.4626923,0.07789498,0.20762095,3.4872727,0.049017407,79
0.20229791,3.4580626,0.08185457,0.20779008,3.4872465,0.058161724,80
0.19936964,3.4587057,0.08053702,0.20755194,3.49148,0.055815887,81
0.20031387,3.4422226,0.07807811,0.20760055,3.4778259,0.052685365,82
0.19921224,3.4572253,0.07704695,0.20825285,3.4713142,0.05189316,83
0.20296739,3.4329891,0.079754226,0.20659178,3.5291963,0.06447441,84
