train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.120157,5.162741,0.25865662,0.008405983,5.3998184,0.34939983,0
0.16798942,4.650586,0.19227728,0.011737615,5.2868686,0.33418936,1
0.1641674,4.453528,0.19502436,0.15962425,4.4498644,0.12422014,2
0.17323244,4.315844,0.17245375,0.16010433,4.208418,0.11143896,3
0.15977034,4.343858,0.18011041,0.16056953,4.256532,0.101420954,4
0.17125316,4.200806,0.14131275,0.16459717,4.102176,0.09453221,5
0.17493322,4.139297,0.13661247,0.16561256,4.0130734,0.08830503,6
0.17131318,4.04713,0.118463814,0.16799206,3.8762603,0.0767547,7
0.1866805,3.8649411,0.10432926,0.17172873,3.771198,0.07391543,8
0.1702535,3.8653886,0.09504753,0.17279118,3.680684,0.060359728,9
0.16912583,3.7866898,0.10362193,0.17274457,3.7656152,0.08393207,10
0.17865779,3.7355013,0.08715805,0.17601186,3.5839555,0.041277792,11
0.17365046,3.7234597,0.09171139,0.1753864,3.5621574,0.045534853,12
0.17255001,3.6930397,0.086783156,0.17713846,3.569443,0.046265602,13
0.18499169,3.6061172,0.07414604,0.17688832,3.4913132,0.04040646,14
0.16650754,3.6668377,0.085756354,0.1785216,3.5169296,0.054752447,15
0.17758739,3.5730424,0.07154162,0.17637739,3.4614463,0.046753254,16
0.17891827,3.5507355,0.06383045,0.17954125,3.413176,0.03178656,17
0.18757275,3.5095139,0.06042023,0.17700595,3.472597,0.052247822,18
0.1712351,3.5743442,0.071003936,0.17941873,3.427223,0.06239531,19
0.17354254,3.506331,0.06371877,0.18142645,3.3750708,0.055092856,20
0.1795804,3.5049658,0.06814009,0.18030673,3.4007988,0.03884782,21
0.18298937,3.4599729,0.05249448,0.18156604,3.3736207,0.02784766,22
0.18780175,3.4589682,0.05795415,0.1815938,3.387765,0.04399172,23
0.18109146,3.4664009,0.06693205,0.18109131,3.3478277,0.022801958,24
0.18588088,3.4273858,0.051703803,0.18194203,3.3429878,0.02771606,25
0.18500014,3.4338899,0.058753014,0.18121672,3.3612413,0.02597514,26
0.18980679,3.4227238,0.051287,0.18399215,3.3063433,0.020559117,27
0.18723428,3.3848097,0.05027186,0.18332785,3.3548949,0.016853185,28
0.18366645,3.4275515,0.054504436,0.1824718,3.3432283,0.02845494,29
0.18387996,3.401438,0.04590064,0.18410112,3.302671,0.017789913,30
0.17397213,3.436732,0.043227233,0.18348788,3.297213,0.021829557,31
0.18586849,3.3702734,0.042085253,0.18449816,3.2822218,0.01859094,32
0.18405929,3.3604538,0.0362623,0.18408981,3.2841218,0.020191155,33
0.1875245,3.3445907,0.038064506,0.18406495,3.3039377,0.015342244,34
0.18276995,3.3610556,0.03804174,0.18489814,3.2829926,0.01523506,35
0.18732144,3.3421922,0.03491444,0.18698885,3.2388895,0.01706372,36
0.19088407,3.330462,0.0367325,0.18386564,3.2986784,0.016953237,37
0.1894233,3.3284473,0.037331305,0.18494695,3.2760818,0.028154314,38
