train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.1570403,5.165365,0.3134577,0.006124601,5.4621277,0.422458,0
0.24902771,4.5098524,0.20605029,0.006369851,5.2737145,0.4265521,1
0.25633436,4.1808276,0.21927346,0.2060294,4.6547318,0.1994695,2
0.25372374,3.9944272,0.23987268,0.2095983,4.0540586,0.24308354,3
0.26769093,3.906341,0.2006689,0.20978671,4.0983033,0.32935038,4
0.24951914,3.8860095,0.1902126,0.21040016,4.0159593,0.22037335,5
0.25245866,3.8271747,0.20615071,0.21100365,3.879667,0.13162206,6
0.25010556,3.7622914,0.18464577,0.21361127,3.8373222,0.123229794,7
0.23739922,3.7766678,0.22088143,0.21321999,3.776776,0.16867745,8
0.24632837,3.6740057,0.2147434,0.21507789,3.7323449,0.1839974,9
0.24016014,3.7174222,0.24921837,0.21835627,3.6770437,0.12463608,10
0.2600518,3.505473,0.23336026,0.2203085,3.6081314,0.21471535,11
0.2526744,3.5215795,0.2525289,0.2232777,3.522357,0.22782607,12
0.25301525,3.4115787,0.26195306,0.22399749,3.358111,0.23435245,13
0.25111178,3.3443859,0.254542,0.22650613,3.5255508,0.05953195,14
0.2589719,3.2591655,0.17623015,0.23011407,3.3453498,0.040796995,15
0.26564372,3.1970098,0.1586676,0.23091707,3.1780303,0.09102385,16
0.26970974,3.1246638,0.14914306,0.23642378,3.1557646,0.027408857,17
0.27294645,3.068761,0.14839788,0.2363459,3.0955887,0.06264428,18
0.25796074,3.1460552,0.13951519,0.23679863,3.0610046,0.0940412,19
0.25039935,3.1443145,0.17186546,0.22698244,3.1194258,0.24790384,20
0.2515261,3.0973992,0.18566015,0.23804818,3.0334158,0.16942237,21
0.24220498,3.123032,0.17034394,0.23722634,3.0607674,0.1309877,22
0.25924742,3.021494,0.119375646,0.2373693,3.0444067,0.015985465,23
0.25851864,3.026261,0.12578677,0.2337296,2.9865758,0.24581426,24
0.27155894,2.9599516,0.11129911,0.23409644,3.2169187,0.05093411,25
0.278018,2.9368763,0.10478422,0.23123936,3.210927,0.07679988,26
0.26349008,2.9645598,0.12733123,0.24320889,2.9023263,0.037523624,27
