train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.18967837,4.7993064,0.22932434,0.006629972,5.4702764,0.48772192,0
0.2436638,4.1535206,0.19858915,0.17580079,5.291405,0.20405425,1
0.23057228,4.0639086,0.23842822,0.26053178,4.1097903,0.16205515,2
0.2275323,4.011933,0.24689691,0.26089755,3.8379264,0.25682393,3
0.23184638,3.9108124,0.26747486,0.2615767,3.6428702,0.26032522,4
0.22992422,3.8497322,0.2643208,0.26341885,3.6617103,0.18509203,5
0.24416637,3.6703546,0.18737395,0.26980558,3.3786476,0.08223412,6
0.2364618,3.6375139,0.19057962,0.27591085,3.2022002,0.050794277,7
0.2510316,3.3983052,0.16009861,0.27580255,3.1140401,0.10981634,8
0.2552029,3.3230133,0.15454997,0.27851564,3.0217896,0.08922783,9
0.23451678,3.3084571,0.15922803,0.27732158,3.0501928,0.038903587,10
0.25700516,3.2069957,0.12048079,0.28112218,2.9855638,0.07731066,11
0.25382376,3.1525013,0.09704412,0.28147817,2.8959806,0.04995946,12
0.25384158,3.183976,0.10591279,0.28326705,2.8681426,0.024370126,13
0.25404364,3.1311677,0.09338774,0.28375974,2.8681304,0.0134432465,14
0.2567016,3.0727353,0.10593184,0.2821893,2.8641322,0.022237584,15
0.24710198,3.0911603,0.08173362,0.28517935,2.83017,0.015212482,16
0.26699623,2.9922235,0.06381237,0.28861064,2.793766,0.011771527,17
0.26513,2.9956849,0.06582158,0.28863725,2.7965014,0.013041115,18
0.2540477,3.011355,0.05987898,0.2841433,2.8765566,0.022937335,19
0.25217098,2.986124,0.058073286,0.2890394,2.7759047,0.009681516,20
0.25695884,2.9732492,0.057940714,0.28955433,2.7267268,0.013068634,21
0.25793272,2.9293056,0.03917756,0.29232332,2.718243,0.010718653,22
0.24900927,2.999539,0.055990983,0.28572798,2.7694623,0.020915844,23
0.25566086,2.923122,0.0481598,0.29250088,2.7001839,0.009449662,24
0.24480201,2.9717042,0.042729292,0.29019174,2.6935768,0.009708199,25
0.26179284,2.9368417,0.056576308,0.28741392,2.7194865,0.008733287,26
0.25446156,2.91716,0.034418494,0.29392403,2.6485593,0.009344142,27
0.2640544,2.8677723,0.045247167,0.29219726,2.6626499,0.032509487,28
0.2724906,2.8380532,0.039276246,0.2934233,2.652666,0.008304856,29
0.2504832,2.9431756,0.041449558,0.2864267,2.917896,0.016533738,30
0.25824726,2.894707,0.038854703,0.29308328,2.6680586,0.0064579244,31
0.25318614,2.8913262,0.035529826,0.29258257,2.633417,0.023628129,32
0.27494326,2.80679,0.03379502,0.29497245,2.6190772,0.007928812,33
0.27267712,2.7932148,0.0306462,0.29344547,2.6246202,0.006740315,34
0.26077452,2.8525238,0.039145302,0.29755682,2.6437206,0.0060455,35
0.28059873,2.7479484,0.025755767,0.29355824,2.6480882,0.025447445,36
0.25357622,2.8447487,0.033952888,0.29443094,2.6258602,0.0074926643,37
0.25280878,2.849385,0.026101219,0.29382014,2.6256564,0.0072416607,38
0.2780031,2.781253,0.025212534,0.2977521,2.5888574,0.006522306,39
0.25774044,2.825501,0.038467392,0.29623315,2.6254804,0.007889467,40
0.26912025,2.7637045,0.024533676,0.2937864,2.62955,0.0084023215,41
0.27714038,2.754761,0.028966028,0.29645863,2.5853274,0.012048775,42
0.26296255,2.8356686,0.035033822,0.29658648,2.629173,0.0064416197,43
0.2674313,2.7523065,0.02667792,0.29537997,2.6205983,0.006101008,44
0.2669799,2.7781677,0.026165284,0.2963663,2.6159308,0.008350212,45
0.264313,2.7729526,0.023872767,0.29884502,2.6033978,0.005013618,46
0.24719575,2.8533323,0.027238173,0.2946671,2.6082041,0.0062154834,47
0.27931958,2.7229555,0.026539775,0.2960804,2.576425,0.007089864,48
0.259986,2.779292,0.021337468,0.29477808,2.6170297,0.0072909724,49
0.2633469,2.790992,0.025909018,0.29679954,2.583998,0.0054032407,50
0.2746082,2.710377,0.018316947,0.29821023,2.57399,0.0051563084,51
0.25854242,2.7886992,0.02677876,0.30132458,2.564355,0.0065483446,52
0.26849774,2.7463763,0.020869453,0.29956144,2.5483935,0.0049183085,53
0.2781388,2.6889243,0.017659906,0.2972976,2.550265,0.005880886,54
0.25540662,2.7763922,0.025450572,0.29987746,2.5462937,0.005902245,55
0.26154363,2.7800198,0.027106078,0.29093483,2.7061224,0.004761784,56
0.26669618,2.7223947,0.017496075,0.2954004,2.5865376,0.005589735,57
0.27912718,2.6729872,0.018873723,0.30141598,2.5133598,0.00508931,58
0.27641213,2.683298,0.01600645,0.29834697,2.5592666,0.005683758,59
0.27753252,2.6775239,0.020959396,0.29511365,2.6063857,0.0057235793,60
0.2727446,2.7009268,0.019638414,0.29217595,2.59779,0.00550113,61
0.25767022,2.7672248,0.019955402,0.29810727,2.5479078,0.0058940663,62
0.27620792,2.6783144,0.016829034,0.30238104,2.5137255,0.004883321,63
0.279343,2.6667364,0.018314473,0.30216444,2.5447366,0.005921957,64
0.25386468,2.7782931,0.020223802,0.30031338,2.5519907,0.0052192244,65
0.26482674,2.7165928,0.015937405,0.30209163,2.5229945,0.0050823474,66
0.281088,2.6476262,0.021585122,0.2961053,2.5589437,0.0053509357,67
0.2891048,2.6195874,0.0147439325,0.29865676,2.5642235,0.005303215,68
0.26303595,2.737328,0.017701149,0.30109376,2.5163665,0.004793061,69
0.2695826,2.6936553,0.018147508,0.29927734,2.5784605,0.0052041397,70
0.2636136,2.7351513,0.019467123,0.29664418,2.5735185,0.0055278502,71
0.27753264,2.6658728,0.021113444,0.2996449,2.5123281,0.0052002575,72
0.26003957,2.7195585,0.019897355,0.30341533,2.5000377,0.005033398,73
0.2676699,2.7038896,0.017166214,0.30231887,2.493622,0.0058289706,74
0.2605489,2.716122,0.018149532,0.29797494,2.5261288,0.0065762,75
0.282167,2.6510184,0.0209501,0.29946733,2.539627,0.0046336604,76
0.26715297,2.679908,0.016464073,0.3017995,2.5114985,0.004904453,77
0.27187732,2.6780717,0.017426884,0.29926133,2.5329473,0.005639933,78
0.2713123,2.6635964,0.01761257,0.30076438,2.5115986,0.0044009616,79
0.28506246,2.6156008,0.017151864,0.30128464,2.500575,0.0050754477,80
0.2765573,2.6511698,0.016858391,0.3004874,2.5022058,0.0052798353,81
0.27268454,2.6482053,0.016803147,0.30079013,2.5154164,0.0057590213,82
0.2782358,2.6458595,0.018935429,0.30188212,2.4898627,0.005104408,83
0.2570488,2.6991072,0.0113389585,0.30206764,2.4959095,0.0043868776,84
0.27852792,2.6398187,0.016226625,0.30276102,2.4884214,0.0047217254,85
0.26751146,2.6687963,0.016058618,0.30450106,2.471631,0.0043409807,86
0.27177042,2.6486688,0.0127143245,0.30528143,2.4891536,0.0055981036,87
0.2758777,2.6544511,0.015196007,0.305229,2.487634,0.005599354,88
0.2725187,2.6562858,0.014894096,0.29990858,2.534313,0.0048495806,89
0.27904433,2.629468,0.015695391,0.30377752,2.483251,0.0044802832,90
0.2714125,2.6323748,0.011539378,0.30485436,2.48343,0.00483203,91
0.27072906,2.6590405,0.015386081,0.29805753,2.5822446,0.0044804798,92
0.27017158,2.6822739,0.015464367,0.29818445,2.549495,0.0072294623,93
0.2743957,2.6433594,0.0112699885,0.30292973,2.4914618,0.005792916,94
0.26279417,2.6720986,0.016519267,0.30327946,2.5013642,0.00511259,95
0.27065212,2.6555142,0.013930768,0.30581763,2.4609823,0.0056815622,96
0.26303002,2.6922276,0.017206138,0.29507992,2.5609016,0.004251734,97
0.2769577,2.624371,0.0136167165,0.30123135,2.5306985,0.0049441233,98
0.27824286,2.6121902,0.011964852,0.29961202,2.5163434,0.004365797,99
0.27910697,2.5951262,0.014622351,0.302856,2.4839551,0.004056465,100
0.26929417,2.650807,0.01482903,0.30142403,2.4909463,0.0043444536,101
0.26899347,2.640143,0.013529178,0.30337712,2.4870055,0.0043267966,102
0.29921183,2.5173485,0.012211271,0.30298474,2.4706504,0.004886137,103
0.27148706,2.6205273,0.012499525,0.29495203,2.5715601,0.004225144,104
0.26562935,2.6581445,0.014323801,0.30062854,2.5098724,0.0040360535,105
0.27195194,2.5976698,0.011713809,0.30408823,2.4680293,0.004607435,106
0.2630327,2.6710887,0.013512468,0.30208454,2.468931,0.004519876,107
