train_loss,val_loss,curr_epoch
0.10795265,0.27312654,0
0.082025655,0.020084104,1
0.061526988,0.028565867,2
0.0530696,0.039550696,3
0.038592625,0.016101582,4
0.034434803,0.016900431,5
0.038733397,0.028340658,6
0.03430884,0.03699244,7
0.033498053,0.021043722,8
0.032702774,0.022069648,9
0.029243518,0.020531522,10
0.026476622,0.016255608,11
0.023573168,0.021071427,12
0.022819541,0.014173797,13
0.024327531,0.017025404,14
0.023518594,0.01516776,15
0.020301683,0.015235015,16
0.021613691,0.017237434,17
0.019053908,0.021652557,18
0.019867932,0.013940359,19
0.018551057,0.01732055,20
0.019178517,0.016940065,21
0.019391635,0.018648174,22
0.01891416,0.013950993,23
0.017685609,0.010732447,24
