train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.10902158,5.0012836,0.3234489,0.113764375,4.825153,0.18690832,0
0.1412781,4.6186647,0.32632262,0.14218184,4.5309615,0.5056471,1
0.14273274,4.5340714,0.5202456,0.14149234,4.263689,0.45737508,2
0.14268152,4.440599,0.5372496,0.14559822,4.1771545,0.31317383,3
0.13616006,4.4025655,0.54202724,0.144767,4.064421,0.44752237,4
0.14149332,4.3858967,0.6270309,0.14720362,4.101419,0.36328477,5
0.14129677,4.257528,0.5723171,0.14920722,3.984053,0.24293624,6
0.1474865,4.2020907,0.46182367,0.14952533,3.9402647,0.35252962,7
0.15551302,4.177613,0.40784052,0.15075488,3.888895,0.29671243,8
0.15146376,4.16701,0.37982914,0.1497469,3.9203415,0.14245126,9
0.15522696,4.1113224,0.3760661,0.15057085,4.0279107,0.20606963,10
0.14443082,4.153777,0.33752096,0.15464461,3.8234663,0.2680672,11
0.14589812,4.103924,0.31658742,0.15451726,3.7947586,0.25962487,12
0.14414108,4.098815,0.2825601,0.1529183,3.7820964,0.34467748,13
0.15406233,4.0596538,0.27501604,0.15671626,3.7841756,0.17574964,14
0.15276158,4.049751,0.2777659,0.15182921,3.7625403,0.4142511,15
0.15040961,4.061442,0.25278783,0.15344043,3.8157039,0.19734438,16
0.15657677,4.0237894,0.22103585,0.15582424,3.7765827,0.1889664,17
0.15675591,4.0026517,0.18670128,0.15415908,3.7216206,0.43614975,18
0.15300757,4.010881,0.19675004,0.15428184,3.7605827,0.1310204,19
0.14736627,4.0433235,0.22056498,0.1600328,3.693023,0.14561725,20
0.1480716,4.0378547,0.23392172,0.15366358,3.7047834,0.21828838,21
0.14999261,4.0508585,0.19613549,0.1521019,3.782841,0.12768395,22
0.14930238,3.9973795,0.17651877,0.15784037,3.6701653,0.07575885,23
0.1455752,4.037563,0.17439832,0.15978543,3.7106915,0.079072304,24
0.15918286,3.9422896,0.18338348,0.1586773,3.7583482,0.08880861,25
0.1521028,4.068536,0.26851994,0.15567178,3.8399153,0.20054756,26
0.15730548,4.0147514,0.24277815,0.15424594,3.7906394,0.2729385,27
0.14763053,3.9802015,0.21395853,0.15740174,3.6750865,0.26350126,28
0.15363221,3.934624,0.18292877,0.1536675,3.735166,0.14436898,29
0.14757726,3.9446733,0.18158486,0.15092905,3.8028822,0.1313545,30
0.14279906,4.0880437,0.26253033,0.15923317,3.7266822,0.15566643,31
0.15078479,3.945098,0.19330329,0.15083198,4.0350137,0.13219397,32
0.1484023,3.9517148,0.18697275,0.15888828,3.6831384,0.13340497,33
0.15427199,3.920847,0.18681891,0.16183391,3.6159687,0.12787323,34
0.15476897,3.9394329,0.17551675,0.15881301,3.6543615,0.08942368,35
0.15088423,3.9162095,0.15769373,0.16032742,3.619852,0.108177975,36
0.1488829,3.9484472,0.17282732,0.15629096,3.7375863,0.17663063,37
0.15159681,3.9909134,0.15671773,0.15785022,3.7559521,0.16037095,38
0.15027213,3.9770865,0.14671081,0.1578368,3.6956847,0.07126719,39
0.15714678,3.8670018,0.1350281,0.15942292,3.6112285,0.09304592,40
0.15402693,3.883173,0.15528467,0.16151531,3.6150444,0.07776273,41
0.15396963,3.9097924,0.156569,0.14748962,4.706869,0.21864711,42
0.1476924,4.097847,0.27036253,0.15613973,3.704683,0.22920573,43
0.15108119,3.9169083,0.16977015,0.15891375,3.6231785,0.088004164,44
0.1546371,3.849766,0.13991746,0.1582995,3.6983213,0.10702083,45
0.15189043,3.9138045,0.12384502,0.16164553,3.6527634,0.091795735,46
0.16199622,3.850617,0.13546214,0.16224994,3.5987175,0.081564136,47
0.15185663,3.8826036,0.15170076,0.1568281,3.6614175,0.13121349,48
0.14430304,3.9085732,0.13850072,0.16201311,3.5881164,0.1260186,49
0.15347612,3.856881,0.12704682,0.16133852,3.6159968,0.07211764,50
0.15394129,3.831652,0.12361266,0.16017827,3.601742,0.054145027,51
0.15756926,3.8022213,0.12377917,0.16141939,3.5586782,0.08304454,52
0.1574244,3.8224747,0.13918157,0.1614147,3.5775592,0.0694233,53
0.14320788,3.9598775,0.19255303,0.16156854,3.5972412,0.09428782,54
0.15343866,3.875005,0.15099448,0.15689409,3.6269443,0.085720025,55
0.15931724,3.8100204,0.140744,0.15892407,3.6914432,0.115618594,56
0.15707536,3.8519766,0.1485644,0.15444489,3.8426888,0.20360143,57
0.15205291,3.9013634,0.18453294,0.15977295,3.5955124,0.08229843,58
0.16059738,3.8073072,0.14597586,0.16289191,3.5484707,0.06905838,59
0.15307613,3.8302388,0.14760731,0.15888977,3.5787296,0.06639606,60
0.15381163,3.8762522,0.13957985,0.15996696,3.6208465,0.07359475,61
0.16163963,3.8080971,0.1349631,0.16181028,3.5785787,0.076184936,62
0.1644758,3.7951183,0.15373345,0.16355382,3.553117,0.063661106,63
0.15817297,3.8011951,0.14564817,0.16455835,3.5244157,0.058955256,64
0.15414873,3.8763437,0.17563817,0.16071084,3.5769863,0.1043407,65
0.1544184,3.8000562,0.14897849,0.1631971,3.5563958,0.07120774,66
0.15501818,3.8628662,0.15240487,0.16121392,3.5823505,0.07737095,67
0.15521798,3.833954,0.15516345,0.16107212,3.5644631,0.11477355,68
0.1586185,3.8056786,0.14427653,0.15838587,3.668698,0.06536756,69
0.15002136,3.9142265,0.1714062,0.16102256,3.5698922,0.0964927,70
0.15215929,3.8376412,0.15366147,0.15728278,3.662452,0.20228964,71
0.15800534,3.7882943,0.13950965,0.15890332,3.6112049,0.086510405,72
0.15373388,3.8088162,0.14195783,0.15867224,3.591005,0.09227167,73
0.16380101,3.758546,0.13704473,0.1538848,3.9301882,0.1230492,74
0.15533476,3.8342907,0.12519076,0.1605353,3.5982215,0.067401625,75
0.16116424,3.7496758,0.12689799,0.16074422,3.570985,0.069493115,76
0.16015063,3.7648938,0.12857036,0.1633708,3.5197008,0.08475188,77
0.15833017,3.9216769,0.12244268,0.15756558,3.7192593,0.07840446,78
0.15755607,3.857926,0.111657515,0.15622073,3.7117527,0.07196358,79
0.15022579,3.8788671,0.12873152,0.15458427,3.7175517,0.12718935,80
0.15444475,3.8491228,0.15992045,0.15743423,3.6134017,0.07601824,81
0.1535713,3.8193824,0.12418437,0.1618049,3.555636,0.079329796,82
0.16380996,3.7486281,0.11000461,0.16291924,3.5660071,0.05166098,83
0.15280826,3.7963383,0.1166562,0.16118892,3.612852,0.11381107,84
0.15891519,3.7618408,0.11788089,0.16155985,3.6219196,0.07696202,85
0.15259027,3.7861817,0.109762855,0.1577814,3.6267395,0.1046938,86
0.15993431,3.7528908,0.11683513,0.16097552,3.5549276,0.07295778,87
0.15680383,3.7598946,0.12738174,0.16345146,3.5282512,0.057944372,88
0.15657309,3.7692385,0.13532542,0.16133289,3.5354595,0.08260486,89
0.15403058,3.76174,0.10809593,0.16224314,3.5485961,0.05365643,90
0.15190805,3.791843,0.120842464,0.1580993,3.6610887,0.20018166,91
0.14687307,3.8236852,0.10083299,0.16254234,3.5308614,0.06295399,92
0.16187426,3.72692,0.104295775,0.16187097,3.5097415,0.10514154,93
0.15830694,3.7718248,0.11913815,0.16515113,3.5140657,0.048377477,94
0.1525051,3.7787988,0.10473503,0.16119695,3.557559,0.08574811,95
0.166611,3.7217796,0.11218353,0.16100846,3.542007,0.09842198,96
0.15972613,3.734037,0.1072374,0.16288711,3.505988,0.068129316,97
0.15532248,3.745828,0.1116624,0.1605647,3.6555831,0.049904123,98
0.16209036,3.7271435,0.12666018,0.16309959,3.5056705,0.11638533,99
0.15149482,3.7628527,0.12068134,0.16238931,3.5095637,0.08464181,100
0.1593412,3.8187437,0.1482509,0.16309442,3.510488,0.08445618,101
0.15854912,3.7278166,0.111532286,0.1614327,3.5519426,0.079810895,102
0.15203623,3.8301604,0.12639771,0.1611788,3.5652297,0.09280707,103
0.1654035,3.7376845,0.12299526,0.16158484,3.548571,0.08445231,104
0.16434428,3.702473,0.11545067,0.16180086,3.5230842,0.14658278,105
0.15418553,3.7887673,0.103967145,0.15522686,3.7008238,0.1095646,106
0.1536539,3.767351,0.10281876,0.16404851,3.5053222,0.06804435,107
0.16048501,3.7293615,0.099136405,0.16212174,3.5449219,0.10403563,108
0.16630982,3.6964324,0.1057323,0.16338894,3.4905806,0.09752766,109
0.1598631,3.6962793,0.09676761,0.16382582,3.4593143,0.05403645,110
0.15142626,3.9856994,0.18683672,0.16101775,3.6408925,0.08429383,111
0.16174674,3.83818,0.15465754,0.16087098,3.569769,0.11288894,112
0.16086495,3.7755628,0.13100003,0.16342013,3.5204155,0.0745245,113
0.16487654,3.7446482,0.1261954,0.16121691,3.582016,0.08142838,114
0.16084608,3.744766,0.11735591,0.16145542,3.5363252,0.120258145,115
0.15766332,3.7616563,0.12292806,0.16235948,3.488816,0.11997632,116
0.15858378,3.7352242,0.12085501,0.16262633,3.5232081,0.06674735,117
0.16164985,3.7472775,0.14540529,0.16480422,3.4815338,0.090004906,118
0.1584932,3.7136374,0.12140671,0.16338435,3.4917455,0.06998953,119
0.16048545,3.7075264,0.12831229,0.16361277,3.4789104,0.07858401,120
0.1554657,3.8223708,0.13612597,0.1607338,3.6471822,0.14323217,121
0.15312883,3.7854397,0.13202405,0.16392793,3.5485198,0.0975138,122
0.16021079,3.7217765,0.10574244,0.16391966,3.5429447,0.07394769,123
0.15910399,3.7153869,0.11168509,0.16071922,3.5363152,0.12051023,124
0.16010997,3.7098613,0.10756108,0.16458279,3.4841554,0.06792325,125
0.16349716,3.7113965,0.11802566,0.16182864,3.5127916,0.07285383,126
0.15780085,3.7517188,0.13681911,0.16011897,3.5173087,0.11600597,127
0.16139938,3.7294576,0.12953661,0.16432935,3.4740834,0.056975346,128
0.16249192,3.6978369,0.106156625,0.16246925,3.4873717,0.0757666,129
0.15362653,3.7367423,0.11191097,0.16420165,3.4968114,0.10049751,130
0.16090645,3.6786027,0.0997289,0.1449656,4.0172553,0.10828519,131
0.15965779,3.759812,0.13252608,0.1645726,3.4610038,0.15126006,132
0.16330491,3.6884608,0.11421851,0.16401994,3.4864104,0.05120036,133
0.16043706,3.68942,0.10428687,0.16125213,3.5498626,0.08275252,134
0.15792044,3.7033732,0.10758752,0.16324873,3.4744651,0.07627127,135
0.15161869,3.7279894,0.10652007,0.1633155,3.4865434,0.082420595,136
0.15241913,3.7305143,0.109395295,0.16391301,3.4730818,0.100248575,137
0.1643081,3.653551,0.10581283,0.16383547,3.475641,0.12708864,138
0.16365668,3.6415007,0.09450631,0.16497251,3.4477417,0.065185115,139
0.16462813,3.6645546,0.09318499,0.16471209,3.4889607,0.04696437,140
0.15917169,3.7176116,0.090607226,0.15730262,3.6013048,0.10146491,141
0.16487744,3.6983082,0.08897437,0.16082373,3.5689335,0.07261265,142
0.1556066,3.716721,0.09295834,0.16261888,3.5273495,0.15224735,143
0.16112006,3.6872337,0.09473389,0.16270697,3.4855683,0.067185864,144
0.16443549,3.6778262,0.09997148,0.16228044,3.5171666,0.09683692,145
0.1638682,3.6661403,0.08904731,0.1627397,3.4715953,0.07551373,146
0.15989552,3.6688733,0.09265929,0.16256632,3.4939506,0.061356496,147
0.16013406,3.6961062,0.10761559,0.16592832,3.4205282,0.07194791,148
0.16937408,3.6453972,0.09828579,0.16327971,3.492961,0.118646085,149
0.15839034,3.7136867,0.11692029,0.16031985,3.531252,0.13871016,150
0.16377741,3.6792994,0.1038771,0.16516928,3.4662013,0.104206145,151
0.16071093,3.6844766,0.0940852,0.16439039,3.4643548,0.07217795,152
0.1700343,3.6532397,0.09812772,0.16014065,3.554853,0.09082229,153
0.16043878,3.664475,0.094567694,0.16509905,3.4552383,0.07456765,154
0.16732238,3.635121,0.09409425,0.16585259,3.4353766,0.049459726,155
0.15707278,3.6687949,0.088501744,0.1648704,3.4473603,0.060142506,156
0.16433068,3.651239,0.10565362,0.16520268,3.4478326,0.066541575,157
0.15766665,3.6630557,0.09509948,0.1636551,3.4698908,0.13906173,158
0.16444711,3.640299,0.09587585,0.16459207,3.440027,0.09548893,159
0.14890543,3.7173629,0.1212196,0.16343391,3.4940395,0.075658895,160
0.15751855,3.6919544,0.10286532,0.1608273,3.5047045,0.06002647,161
0.1622364,3.6652372,0.10728229,0.16475947,3.4334533,0.0842031,162
0.16638221,3.6065822,0.086076684,0.16302237,3.4856138,0.15173973,163
0.1582287,3.6538844,0.09935014,0.16467273,3.4598038,0.08899456,164
0.16037771,3.6590114,0.1037687,0.16309695,3.4849613,0.08508893,165
0.15979722,3.6699715,0.09674449,0.16344883,3.4486735,0.06369049,166
0.15799265,3.6575985,0.08547851,0.16498251,3.4320333,0.04243773,167
0.16629508,3.6168034,0.087811545,0.16522285,3.435555,0.06518267,168
0.16053696,3.6386943,0.08511803,0.16198099,3.5181198,0.07620396,169
0.1599837,3.660574,0.08990211,0.16369283,3.533228,0.07286405,170
0.16655435,3.6677747,0.11378964,0.16438122,3.4540887,0.066850334,171
0.15866537,3.6915967,0.10659114,0.1627087,3.4867847,0.109444596,172
0.15617599,3.682001,0.10580307,0.16673715,3.4297903,0.07654801,173
0.1664041,3.622646,0.092722744,0.16562785,3.456017,0.071646355,174
0.16166556,3.6326644,0.09202747,0.16481707,3.4135444,0.065056466,175
0.15912704,3.63235,0.09685143,0.1653838,3.4129398,0.08156943,176
