train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.16576205,4.926411,0.33371857,0.2151392,4.4015217,0.27207303,0
0.18616597,4.5252886,0.34948626,0.21439493,4.3564587,0.2857425,1
0.19808441,4.416934,0.49161822,0.20991172,4.253717,0.70570254,2
0.17501824,4.46266,0.5888733,0.20968537,4.308431,0.6775798,3
0.17812692,4.4085307,0.5930831,0.062649034,5.5172915,1.2333771,4
0.18993248,4.289105,0.66108644,0.21439677,3.94859,0.3148094,5
0.18684229,4.198261,0.69435114,0.21368627,4.138327,0.29477048,6
0.19057019,4.100842,0.72672415,0.2172059,3.731311,0.6128684,7
0.18246874,4.112155,0.69723153,0.21706188,3.9181728,0.09157843,8
0.20407921,3.9443264,0.61451113,0.21894665,3.6526852,0.30787072,9
0.18455292,4.0039983,0.64390737,0.22198935,3.627504,0.18334588,10
0.19353783,3.9802773,0.62238216,0.21565899,3.6577284,0.5540011,11
0.19783972,3.8916597,0.49792224,0.008074653,9.176165,0.7977135,12
0.17808585,4.045615,0.48154053,0.21805635,3.5961578,0.60742784,13
0.19014402,3.9104276,0.3738494,0.21889375,3.826794,0.13339223,14
0.18620104,3.870545,0.34373555,0.21578301,3.7490559,0.34837914,15
0.20520364,3.816183,0.28929076,0.22055729,3.5759904,0.27712378,16
0.20227148,3.784569,0.28992558,0.21369259,3.5936532,0.6852926,17
0.19017367,3.899846,0.2785313,0.2229612,3.6892753,0.13256559,18
0.19888578,3.817595,0.24889532,0.21631171,3.5665617,0.6505563,19
0.19956553,3.8054504,0.22608821,0.22557758,3.5516798,0.10122602,20
0.18902384,3.8136048,0.17985448,0.2193599,3.772856,0.29571962,21
0.1927704,3.7630897,0.17329061,0.21469058,4.083781,0.5686437,22
0.20327868,3.7200465,0.16556971,0.22673632,3.4919899,0.076364495,23
0.20480818,3.7243888,0.15580022,0.21872362,3.6946151,0.3045973,24
0.20850669,3.6822484,0.15098533,0.22605632,3.387791,0.06306785,25
0.20342135,3.715548,0.1328367,0.23157704,3.3695967,0.04582442,26
0.19809084,3.9198709,0.2306008,0.21894184,3.810727,0.15810244,27
0.19610228,3.8447232,0.2125582,0.22835775,3.4841237,0.15475689,28
0.19539,3.7415414,0.14966339,0.22847675,3.4321558,0.117941104,29
0.18088542,3.7698166,0.13398711,0.22793418,3.4057536,0.1328046,30
0.19755845,3.6752608,0.12494766,0.22388428,3.3572624,0.26992345,31
0.20624359,3.6629016,0.12480232,0.22883558,3.4361796,0.07955748,32
0.21489051,3.6281035,0.11632218,0.22484009,3.4818292,0.22230236,33
0.19840415,3.6861129,0.12698154,0.2232579,3.395403,0.118055366,34
0.19385545,3.825358,0.16323134,0.21898142,4.290675,0.11578196,35
0.18786164,3.858425,0.22391108,0.22624147,3.4545512,0.1980717,36
0.20281191,3.6730313,0.13405783,0.2253707,3.4408169,0.11172975,37
0.19018282,3.7059581,0.10896159,0.2231669,3.4048214,0.113077074,38
0.19057253,3.693745,0.10576881,0.10941528,4.998285,0.21514104,39
0.20697021,3.637515,0.09073922,0.22656183,3.330827,0.13890913,40
0.19186854,3.6429126,0.092482515,0.22443914,3.4238453,0.11829219,41
0.20662989,3.644924,0.11707511,0.22513932,3.5893714,0.074298434,42
0.20883317,3.5914085,0.112579115,0.22640185,3.330072,0.10532291,43
0.204711,3.6398263,0.10294885,0.22196524,3.4434326,0.2722471,44
0.1980027,3.6066325,0.093731016,0.2250334,3.3337867,0.11398071,45
0.21076539,3.60452,0.095313706,0.230382,3.322959,0.12317555,46
0.20303419,3.6744437,0.09512589,0.22499645,3.4578493,0.17351638,47
0.20392217,3.6660616,0.13775174,0.22823799,3.3741608,0.15038915,48
0.20184395,3.6160111,0.114798844,0.14197248,4.196221,0.098907314,49
0.19586723,3.6685002,0.10553138,0.22283602,3.4295177,0.071085066,50
0.20342699,3.6792552,0.11072151,0.22355363,3.4634917,0.09529692,51
0.20803232,3.7046487,0.16318077,0.22599995,3.4459412,0.13503096,52
0.20583344,3.661809,0.121360056,0.22379218,3.4875188,0.08568718,53
0.20137088,3.6611474,0.10304991,0.2266149,3.597662,0.25849664,54
0.21488275,3.5775416,0.09183092,0.2289501,3.36895,0.094111145,55
0.20139666,3.571972,0.07384417,0.2233189,3.4443038,0.13428009,56
0.20829606,3.5778384,0.09097524,0.23363467,3.3433237,0.046526045,57
0.19396143,3.626169,0.092188135,0.22919758,3.3040018,0.046097443,58
0.19684204,3.5994604,0.09107086,0.22494484,3.3299978,0.116697736,59
0.19839112,3.6039977,0.09140166,0.22600779,3.3668857,0.09334467,60
0.20817605,3.5686374,0.08887977,0.22802599,3.2859104,0.09626257,61
0.21361639,3.5092533,0.070476614,0.23015727,3.272513,0.072482616,62
0.19582961,3.60746,0.08283419,0.23113853,3.2946742,0.04583555,63
0.2000721,3.6168778,0.08447795,0.23532163,3.2234726,0.07345629,64
0.20836234,3.5357835,0.081316836,0.231287,3.2817771,0.103022635,65
0.19179949,3.6044223,0.0918691,0.22833139,3.3806963,0.07362615,66
0.21369806,3.511051,0.09426905,0.22778529,3.4280455,0.12666142,67
0.20201136,3.5888944,0.09384704,0.22800982,3.3577662,0.06723958,68
0.21491617,3.4897869,0.07806969,0.23144257,3.2687235,0.12968595,69
0.19684897,3.6053853,0.12692897,0.23441443,3.2290304,0.039837003,70
0.19552764,3.6221461,0.08554874,0.2292494,3.3307226,0.043829955,71
0.2115709,3.50183,0.0675684,0.22819474,3.334397,0.030998014,72
0.20238042,3.5601223,0.0838523,0.23237485,3.294218,0.058426984,73
0.20482744,3.5318546,0.07166886,0.22888286,3.2923753,0.05042985,74
