train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.25167704,4.467114,0.2904329,0.271913,3.9259548,0.18221948,0
0.28703502,3.8902721,0.22264893,0.27270108,3.7835846,0.21908283,1
0.2902103,3.7441263,0.23570243,0.2737585,3.6527236,0.23087396,2
0.29104525,3.6134763,0.2217604,0.27312794,3.609756,0.17065734,3
0.29281077,3.5236723,0.21746697,0.27699685,3.408377,0.15785508,4
0.2887634,3.4955957,0.2107228,0.27706334,3.378118,0.12837906,5
0.2928318,3.433022,0.18888901,0.2779564,3.357298,0.121825695,6
0.29629406,3.3715165,0.17091341,0.28018603,3.2657871,0.11612848,7
0.28737554,3.4009643,0.17155316,0.28064916,3.2707994,0.10254706,8
0.29474765,3.342721,0.1554767,0.27907798,3.2801807,0.10380867,9
0.29623273,3.3105907,0.14890482,0.28197965,3.2083306,0.07954051,10
0.3018889,3.2771385,0.1409136,0.2811823,3.203379,0.09203386,11
0.29918483,3.2694628,0.14232218,0.15169163,4.4144163,0.17631386,12
0.29952022,3.2603455,0.13365085,0.28287497,3.1949482,0.08617145,13
0.29322323,3.2696848,0.12818691,0.2820455,3.1711698,0.08056337,14
0.29410747,3.2471054,0.12494072,0.28361017,3.1387777,0.060936376,15
0.29310086,3.2431002,0.12172486,0.28371343,3.1486862,0.0965808,16
0.29803497,3.2078135,0.11751672,0.28243536,3.1550434,0.06329002,17
0.29971835,3.1948364,0.11670655,0.2804915,3.3173375,0.091737084,18
0.29868886,3.1915932,0.11425346,0.28355375,3.1217258,0.08804027,19
0.2980067,3.1775694,0.11232907,0.28519273,3.082588,0.0695865,20
0.30260548,3.1600294,0.10753999,0.28569868,3.087848,0.06870214,21
0.2978596,3.152741,0.104227014,0.2828002,3.157212,0.06797013,22
0.29982486,3.1369436,0.10094361,0.27938592,3.4626095,0.07082897,23
0.29822698,3.1343226,0.09851424,0.28550708,3.0695274,0.065872386,24
0.2997417,3.1168523,0.09863772,0.28524825,3.0864575,0.07091271,25
0.3024381,3.1049466,0.093661115,0.28678492,3.051004,0.054678094,26
0.30066782,3.108109,0.09650609,0.28585333,3.0892546,0.06383182,27
0.3042116,3.0872543,0.09274051,0.28512087,3.0675669,0.0886107,28
0.30112407,3.089496,0.08947679,0.2862561,3.0767362,0.062626965,29
0.30340788,3.0729098,0.09196812,0.28686342,3.0506322,0.06317697,30
0.29638135,3.0969322,0.08919309,0.28693613,3.0519545,0.04882882,31
0.30840352,3.033798,0.085492544,0.28757495,3.0457058,0.058972735,32
0.30502963,3.0436473,0.08275765,0.2877966,3.0305336,0.07083876,33
0.30395162,3.042087,0.08563037,0.2878402,3.0189266,0.058667447,34
0.3031706,3.0399342,0.08297645,0.2872748,3.0358477,0.062906526,35
0.3044349,3.0276926,0.08086125,0.28660756,3.057597,0.058690585,36
0.30158648,3.0343852,0.081392094,0.28601694,3.0610387,0.056025755,37
0.295394,3.058203,0.07760105,0.28770962,3.0324268,0.061570644,38
0.3032741,3.029419,0.07949081,0.28859073,3.020913,0.055573564,39
0.30756536,3.0079648,0.07799432,0.28717408,3.0459728,0.06689226,40
0.30324525,3.016748,0.07883797,0.28778443,3.0601935,0.0563748,41
0.30563918,3.0025594,0.07702416,0.28719702,3.0514266,0.0768829,42
0.30226478,3.0121975,0.07396113,0.28597236,3.0855236,0.06058694,43
0.3086347,2.9783366,0.077234656,0.28549537,3.0678632,0.053355467,44
0.30640957,2.9751332,0.07190519,0.28989765,2.9785752,0.06925529,45
0.3041123,2.9835794,0.07348979,0.28908086,2.982835,0.056208875,46
0.3046902,2.984459,0.0717505,0.28861693,3.017047,0.044569004,47
0.30326757,2.9895244,0.07281964,0.28667092,3.0418694,0.054195102,48
0.30365065,2.9638846,0.06817872,0.28664908,3.0517778,0.056699306,49
0.3059861,2.9590952,0.071723394,0.28919902,2.9775398,0.05304709,50
0.29962152,2.9829988,0.07025382,0.28819975,3.0352278,0.049537882,51
0.30373332,2.9696226,0.07050923,0.2883748,3.0493653,0.049201835,52
0.30650237,2.949945,0.06660091,0.28652292,3.0851905,0.046956528,53
0.30857012,2.9498155,0.066686794,0.2892181,2.985549,0.054760143,54
0.30489567,2.9413567,0.06389702,0.29006064,2.9753716,0.059181157,55
0.30473754,2.9445994,0.064899296,0.28811392,3.021561,0.055756092,56
