train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.1523002,4.8066874,0.3156644,0.18983907,4.3901725,0.25021502,0
0.17533097,4.3849206,0.28925428,0.19236927,4.128168,0.24072254,1
0.17548896,4.2993107,0.373749,0.18844582,3.9958906,0.49354032,2
0.1819166,4.1698303,0.42334178,0.19413872,3.868042,0.3039954,3
0.1820503,4.0987773,0.39958894,0.19640115,3.7785444,0.24579646,4
0.18295796,4.024267,0.37737125,0.19386084,3.8507562,0.21807241,5
0.18273786,3.9785817,0.34139952,0.19935139,3.7260203,0.16635847,6
0.1861219,3.9422026,0.32135952,0.19947688,3.6824565,0.23366195,7
0.18665999,3.9258678,0.31349376,0.1961632,3.732673,0.1671736,8
0.18632276,3.9037025,0.30330798,0.20113504,3.5961514,0.26120022,9
0.1895289,3.8549967,0.28043872,0.19946633,3.5672996,0.32441705,10
0.18234274,3.9015515,0.26588392,0.20099059,3.6237266,0.15289493,11
0.18796788,3.8380933,0.24206276,0.20150426,3.5206463,0.18513364,12
0.18694733,3.8477004,0.25210568,0.20086761,3.5723865,0.2041798,13
0.18876497,3.8284593,0.23447333,0.20417602,3.507991,0.14956668,14
0.18559973,3.8254294,0.20368807,0.20288418,3.564174,0.17401582,15
0.1888144,3.8208842,0.21350595,0.20339288,3.4909286,0.16566913,16
0.1914236,3.794674,0.2128096,0.2029396,3.4973278,0.20430759,17
0.1864597,3.8130112,0.21896233,0.20434387,3.4833052,0.12573972,18
0.18831484,3.7839842,0.19507575,0.2009687,3.5553646,0.12161532,19
0.18629517,3.8096972,0.18951681,0.20509188,3.4624312,0.11937691,20
0.18691301,3.7663245,0.18658423,0.2045933,3.4979606,0.13632634,21
0.18562357,3.7723508,0.18557405,0.20591988,3.4545646,0.10130028,22
0.18880403,3.7473683,0.19190076,0.2035644,3.5042431,0.09313487,23
0.1904926,3.7393045,0.17966957,0.20239969,3.5602903,0.13836248,24
0.18577492,3.7433684,0.18274722,0.2063906,3.4371884,0.10279403,25
0.1922692,3.7188036,0.17364873,0.20621164,3.4471424,0.109273046,26
0.19190156,3.7263596,0.17176446,0.20495893,3.4984055,0.103035904,27
0.19035232,3.7455676,0.16230199,0.20565164,3.4510093,0.0889465,28
0.19230184,3.7083519,0.16023867,0.20574826,3.4245594,0.100150555,29
0.19261192,3.7031667,0.16004868,0.2052485,3.4479113,0.12692395,30
0.19367564,3.6754963,0.15589018,0.20548473,3.4078324,0.08859608,31
0.19610168,3.6602483,0.15148255,0.20588845,3.424385,0.095940806,32
0.19369665,3.6577065,0.15330046,0.2061029,3.3975003,0.112145096,33
0.18622856,3.6953273,0.15412459,0.20636813,3.427966,0.08401781,34
0.18849874,3.6884236,0.1583106,0.2062618,3.3847022,0.08806753,35
0.18871969,3.688107,0.15498894,0.20626555,3.4076073,0.07963311,36
0.18862073,3.6640348,0.14451528,0.20602554,3.40832,0.10163894,37
0.19098718,3.6399496,0.14634009,0.20777859,3.3771663,0.10225898,38
0.19059527,3.6587527,0.1449939,0.20656946,3.3648233,0.13276358,39
0.19295372,3.6581786,0.14821228,0.20639312,3.3779862,0.11127906,40
0.19035934,3.6497362,0.14503814,0.20669876,3.365663,0.08729943,41
0.19469526,3.6300707,0.1388422,0.20552121,3.4177797,0.0851996,42
0.19151393,3.7210572,0.14896856,0.20336135,3.4339387,0.09526004,43
0.19181612,3.6737635,0.14723907,0.20742832,3.386428,0.095126666,44
0.19261645,3.6413822,0.1391438,0.2054605,3.4173157,0.09379041,45
0.19387671,3.6245644,0.137796,0.20522153,3.3876889,0.08609671,46
0.19396472,3.6025317,0.12976474,0.20702758,3.3668237,0.101312764,47
0.18836837,3.6505668,0.14212094,0.20483859,3.4265518,0.12406216,48
0.19420375,3.6027071,0.13026316,0.206875,3.3501835,0.06977103,49
0.193015,3.604966,0.13474551,0.2070222,3.4111729,0.092878275,50
0.186511,3.626749,0.13068506,0.20612088,3.3870661,0.09415144,51
0.19691595,3.581865,0.12953646,0.20777524,3.3538315,0.09667478,52
0.19232602,3.5963302,0.12967935,0.20411396,3.4844923,0.13975422,53
0.19055337,3.6403224,0.14260966,0.2071181,3.3776016,0.08254088,54
0.1900149,3.613323,0.1254961,0.20780773,3.3756971,0.07987129,55
0.19300638,3.586172,0.13265112,0.20615862,3.3617158,0.0894592,56
0.19233236,3.5926824,0.1370719,0.2074881,3.361212,0.117035724,57
0.1937771,3.5697868,0.12610601,0.20590279,3.4153535,0.09977852,58
0.19450742,3.584628,0.14097139,0.2037833,3.4557831,0.124874815,59
0.19603351,3.5624437,0.1265898,0.20611298,3.4096878,0.11613853,60
0.19476877,3.5705566,0.12658015,0.20918548,3.3319454,0.07869012,61
0.20108856,3.5216906,0.118407756,0.20841603,3.36811,0.08542954,62
0.19413924,3.5452359,0.117202416,0.207147,3.400052,0.08196523,63
0.19369075,3.567456,0.11639934,0.20680867,3.371723,0.08854145,64
0.19533548,3.5654428,0.11862172,0.20814663,3.3266425,0.069979,65
0.19999602,3.5457423,0.12431535,0.20743214,3.374851,0.08040405,66
0.197126,3.5361745,0.11642406,0.20451745,3.3914368,0.07642317,67
0.19308904,3.579277,0.11834067,0.2096677,3.2962093,0.07628993,68
0.1925841,3.56036,0.121421404,0.20912021,3.3078594,0.10036951,69
0.19818375,3.5211656,0.115023874,0.21124312,3.2707245,0.066275895,70
0.19441503,3.5254505,0.11264188,0.20908889,3.3057547,0.087781705,71
0.19475749,3.5252283,0.11285119,0.20853485,3.3105788,0.07513826,72
0.19950026,3.5075626,0.11532597,0.20838493,3.3313298,0.08947995,73
0.20261183,3.4779613,0.109327406,0.20928681,3.291066,0.084519796,74
0.19468802,3.5117338,0.11406964,0.2097861,3.2744732,0.08985745,75
0.19774061,3.492894,0.11592178,0.2094971,3.308443,0.09033187,76
0.19893865,3.4873455,0.11054002,0.20969991,3.2910838,0.07693452,77
0.19599576,3.5165849,0.113124475,0.2090609,3.2976606,0.08345707,78
0.19694641,3.503995,0.1097783,0.20958613,3.305825,0.053399473,79
0.19673708,3.5029685,0.11203275,0.20917037,3.2904594,0.09021256,80
0.19834699,3.4933717,0.10762341,0.20903142,3.3079944,0.07331911,81
0.19580084,3.5186312,0.109691024,0.21039689,3.2625957,0.091367185,82
0.1983899,3.4871304,0.10473946,0.20371345,3.4119291,0.111732945,83
0.19768944,3.4861228,0.10582093,0.20400989,3.480615,0.105055474,84
0.19333063,3.5603685,0.11732154,0.20990919,3.2826686,0.07245785,85
0.19854386,3.5103054,0.11564891,0.20796226,3.295366,0.080647044,86
0.19917822,3.4790478,0.11141234,0.20780577,3.349849,0.07421297,87
0.19542368,3.50719,0.112842955,0.21079259,3.2490761,0.07482749,88
0.1986793,3.4861367,0.11254861,0.21013416,3.269275,0.08258598,89
0.19577414,3.4819486,0.112436324,0.21068363,3.2841914,0.07831674,90
0.19242693,3.498494,0.10979098,0.20907168,3.2696514,0.07753871,91
0.19555429,3.488162,0.11299932,0.20875777,3.3069859,0.102035984,92
0.19769455,3.4852598,0.1075234,0.21044865,3.2705345,0.07347782,93
0.19297476,3.4925456,0.10688767,0.21079019,3.2448444,0.07927132,94
0.19921488,3.4853652,0.11251411,0.21144609,3.2583575,0.062174093,95
0.19602875,3.4822643,0.10626911,0.20751931,3.3390236,0.07230891,96
0.19982392,3.4762611,0.11143036,0.20964418,3.2879486,0.09021734,97
0.19595698,3.4700656,0.10255386,0.21110879,3.2589781,0.061874498,98
0.19689596,3.4588375,0.099769026,0.20918779,3.3171673,0.0664344,99
0.1935165,3.4947262,0.11222088,0.20691572,3.40301,0.07138616,100
0.19408488,3.483276,0.10850226,0.20669684,3.348173,0.05743278,101
0.19692229,3.4693058,0.10683854,0.20331784,3.5695853,0.090663336,102
0.19790041,3.5149636,0.123620294,0.20895684,3.3134122,0.07657061,103
0.19914427,3.4814146,0.11356159,0.2109002,3.258403,0.08185811,104
0.20282082,3.4447086,0.11250129,0.2104919,3.2558753,0.07247367,105
0.19871613,3.4555814,0.10795631,0.2092362,3.332131,0.07323282,106
0.19845939,3.4513988,0.10453865,0.21180072,3.2429783,0.065375,107
0.19632867,3.4585207,0.1017178,0.21165639,3.2282572,0.068598226,108
0.19975871,3.4318373,0.10250656,0.21015091,3.2727666,0.0779522,109
0.19589518,3.4562206,0.099394485,0.20836094,3.3827362,0.06778868,110
0.19870405,3.453392,0.10321338,0.21074912,3.251884,0.051581312,111
0.1995559,3.4394286,0.10020005,0.21193494,3.2304828,0.07245233,112
0.20043035,3.42969,0.09977157,0.21077447,3.2454228,0.07666348,113
0.19388252,3.4443114,0.09350978,0.21114273,3.2394416,0.07142869,114
0.20014429,3.419159,0.090202674,0.21126677,3.2525332,0.06412418,115
0.19670703,3.4482014,0.095548175,0.2101492,3.2811725,0.07365491,116
0.19717912,3.4611413,0.101868734,0.20338888,3.503369,0.06885951,117
0.20030862,3.4333189,0.0996991,0.21096504,3.2300417,0.071317226,118
0.19544253,3.43885,0.093953885,0.2116245,3.2274017,0.07140275,119
0.2031331,3.4109585,0.095227964,0.20962235,3.285721,0.07409614,120
0.19620506,3.4385622,0.09157745,0.2137388,3.2229402,0.05927557,121
0.19708806,3.4105582,0.08657279,0.21149173,3.231475,0.05426568,122
0.19745383,3.438391,0.08911305,0.21210301,3.2223644,0.07433473,123
0.199387,3.4258766,0.09455643,0.21188033,3.2429168,0.054727975,124
0.19835731,3.443119,0.09541407,0.21180427,3.2430897,0.06256585,125
0.19741815,3.4481893,0.09261707,0.21099739,3.2492013,0.067862526,126
0.20037675,3.4253392,0.094882786,0.21184213,3.2102196,0.0592702,127
0.19856043,3.4292753,0.090113536,0.21117015,3.2432919,0.06606413,128
0.20159602,3.4236965,0.0951007,0.2089659,3.2686694,0.06721566,129
0.20275767,3.4025438,0.090482,0.20523542,3.4661472,0.073364,130
0.20111509,3.419929,0.09694768,0.20867127,3.2972224,0.06728508,131
0.1972819,3.4361916,0.09801598,0.2125531,3.210807,0.07277089,132
0.19375269,3.4331307,0.09045173,0.21273653,3.2064872,0.07311179,133
0.19949557,3.3979404,0.09020561,0.21194161,3.214173,0.07400739,134
0.1968785,3.420514,0.0913501,0.21102609,3.2429626,0.100558825,135
0.20302267,3.4067204,0.09400584,0.21281056,3.2135265,0.07374392,136
0.19941923,3.3956897,0.0868777,0.21244732,3.2261682,0.05823693,137
0.19700073,3.421398,0.09514983,0.21235852,3.2259228,0.076499,138
0.20164745,3.411654,0.09437301,0.21236482,3.2129078,0.053600192,139
0.1995046,3.3880758,0.08651719,0.21233875,3.2142212,0.05885741,140
0.20100161,3.4122877,0.08759361,0.21049798,3.25757,0.068752214,141
0.19944339,3.408556,0.08911834,0.21370988,3.1930592,0.05818988,142
0.1974504,3.4011216,0.08877301,0.20512803,3.5279613,0.07542219,143
0.19905135,3.4064503,0.08680438,0.21284735,3.20109,0.06385496,144
0.19924754,3.3904228,0.087388955,0.21293192,3.2042484,0.06178456,145
0.19619155,3.413319,0.084568724,0.21246727,3.1997588,0.068838194,146
0.19809425,3.404368,0.0848586,0.213079,3.2264454,0.058925584,147
0.1978711,3.4053,0.08463678,0.2112765,3.2638311,0.057092384,148
0.20087776,3.396008,0.089264385,0.21230496,3.2286522,0.05646758,149
0.19932604,3.4021485,0.09117988,0.21142669,3.2534323,0.07287028,150
0.20164236,3.3790336,0.08614101,0.21267585,3.2105215,0.07093214,151
0.1936632,3.404983,0.08585843,0.21164744,3.2047756,0.07035034,152
0.2015248,3.360188,0.08477284,0.21260658,3.1908245,0.060645573,153
0.20355745,3.365615,0.08194023,0.21177663,3.2265956,0.0827683,154
0.20272772,3.3679452,0.086796,0.21161611,3.2146928,0.056323886,155
0.19868562,3.3856566,0.08414506,0.21208766,3.215044,0.06515919,156
0.20009291,3.3713012,0.08207168,0.21354274,3.1889744,0.068315655,157
0.19933186,3.373093,0.08321334,0.21237502,3.2038069,0.06495103,158
0.20009764,3.3714552,0.081016466,0.21236184,3.2284513,0.077911645,159
0.20105408,3.3731058,0.083228484,0.21394463,3.1847541,0.05562599,160
0.20223753,3.3812425,0.08620357,0.21265201,3.2114487,0.057401877,161
0.19459929,3.3990183,0.07988505,0.21390288,3.1915858,0.05476281,162
0.19995397,3.3792577,0.082422115,0.21335562,3.1926334,0.06983144,163
0.20170654,3.3688571,0.08431859,0.21398178,3.1758416,0.07106215,164
0.20043351,3.3666055,0.082773745,0.21267976,3.206281,0.064166434,165
0.19615054,3.3918302,0.0835052,0.21333714,3.2009118,0.060994934,166
0.20751536,3.3456662,0.08603828,0.21241173,3.2006054,0.08302562,167
0.19954458,3.3534603,0.08492282,0.21411408,3.1780436,0.068579055,168
0.19957876,3.366642,0.08059791,0.21257661,3.22078,0.077257596,169
0.20154543,3.3562443,0.08119092,0.21000752,3.246976,0.070773765,170
0.19643332,3.3991048,0.08280252,0.21056762,3.2790267,0.07876934,171
0.1982821,3.3889792,0.08265011,0.21046263,3.2382429,0.06762698,172
0.19989792,3.3779774,0.084483035,0.21283576,3.2000852,0.06040085,173
0.20524809,3.3380375,0.08389866,0.21277739,3.194588,0.07091678,174
0.20094696,3.3486829,0.079515085,0.21186738,3.223501,0.05896728,175
0.19664118,3.3670187,0.07875079,0.21337329,3.197138,0.057137802,176
0.20168951,3.3740163,0.08629461,0.21300296,3.1987667,0.06661727,177
0.19981277,3.3418849,0.07865323,0.21363612,3.1952891,0.050665546,178
0.20051315,3.3450463,0.08148346,0.21322644,3.2076836,0.060710404,179
0.20397523,3.343734,0.078968436,0.21215189,3.225749,0.06425934,180
0.20433496,3.3411794,0.080205925,0.21259117,3.1987422,0.07182894,181
0.20097807,3.3374898,0.079579316,0.21405797,3.1882827,0.048384037,182
0.20248535,3.3511174,0.07970279,0.21359996,3.1798096,0.04779845,183
0.20066106,3.3392956,0.07745511,0.212444,3.2160587,0.06778734,184
0.20411909,3.342052,0.07823308,0.21385446,3.1974268,0.06471111,185
0.20526953,3.3467104,0.0781722,0.2155809,3.1481576,0.04508125,186
0.20062844,3.3760874,0.08619546,0.21485798,3.1726716,0.056510273,187
0.19599617,3.38165,0.08355624,0.2139243,3.1835978,0.079516076,188
0.20371908,3.3444884,0.08071719,0.21320945,3.1919,0.0495898,189
0.20215721,3.345987,0.08092609,0.21396251,3.1969485,0.05295357,190
0.20157552,3.3403883,0.08028263,0.21135533,3.2249231,0.060790036,191
0.19905767,3.3504019,0.07944555,0.21307568,3.2113857,0.059660792,192
0.19785433,3.369811,0.081254,0.21378723,3.1938543,0.03620562,193
0.19733542,3.5179334,0.10407887,0.20611964,3.3748775,0.063322045,194
0.19617502,3.4257314,0.08306658,0.21247761,3.1975343,0.048844036,195
0.19752492,3.384161,0.080381624,0.21348949,3.1917467,0.04781422,196
0.20048864,3.3527405,0.078155056,0.2119524,3.226918,0.054979492,197
0.19739044,3.3662581,0.079654604,0.21159054,3.2629247,0.049927033,198
0.20104153,3.3426168,0.07665826,0.21452837,3.1539404,0.06658835,199
